case_id,종목명,종목코드,시장,업종,벤치마크,이슈유형,기준일,핵심일자,유형코드,스코어총점,밴드,최근_초과,RS_최저,RS_최저일,RS_최고,RS_최고일,RS_현재,결과태그,핵심패턴태그,케이스파일,대시보드,거래대금상위15중상승,개인순매수_억,외국인순매수_억,기관순매수_억,외인부호일치,개인역부호일치,유통비율,평균회전율_유동시총,최근20일회전율,회전율부호일치
1,이수페타시스,007660,KOSPI,PCB(고다층MLB),KOSPI,유상증자,2024-11-08,공시 2024-11-08(장마감후),G(F55%+C45%)·희석률13.84%,5,중립·판단보류,+98.7%p,68.6,2024-12-12,304.4,2025-11-27,137.8,결과_상승,악재분해|철회반등|희석돌파|규제개입|공시신뢰훼손|발행가상향|상대강도반납,cases/유상증자/2024-11_이수페타시스_007660.md,dist/007660_dashboard.html,14/15,-7671,-3165,10800,4/4,4/4,73.5%,4.59%,1.20%,2/4
2,삼성SDI,006400,KOSPI,2차전지·ESS,KOSPI,유상증자,2025-03-13,공시 2025-03-14(장중),C실질100%(형식상타법인취득78.6%)·희석률14.67%,2,중립·판단보류(감점강등),+14.5%p,68.9,2025-07-10,137.1,2026-04-29,105.6,결과_횡보,사이클역행증자|수요지연|대주주참여|발행가하향|실질분류,cases/유상증자/2025-03_삼성SDI_006400.md,dist/006400_dashboard.html,12/15,-12009,-1950,14428,2/4,2/4,72.0%,1.03%,0.82%,4/4
3,에코프로머티리얼즈,450080,KOSPI,2차전지 전구체,KOSPI,지수편입,2023-11-17,발표 2023-12-08 / 편입 2023-12-15,I4-코스피200특례-L,-26,회피,-208.1%p,21.0,2026-07-09,407.7,2024-01-10,23.1,결과_하락,거품편입|선반영과열|재료소진|편출위험,cases/지수편입/2023-12_에코프로머티리얼즈_450080.md,dist/450080_dashboard.html,11/15,1395,-5842,4788,3/4,3/4,53.6%,2.81%,0.83%,4/4
4,알테오젠,196170,KOSDAQ,바이오(ALT-B4),KOSDAQ,지수편입,2024-03-05,발표 2024-05-15 / 편입 2024-05-31,I1-MSCI정기리뷰-N,14,I1형 우량,+101.2%p,83.2,2024-04-05,292.0,2024-11-14,207.8,결과_상승,덤편입|선반영없음|종속변수편입,cases/지수편입/2024-05_알테오젠_196170.md,dist/196170_dashboard.html,9/15,-9636,4671,5011,3/4,3/4,79.6%,1.85%,1.23%,3/4
5,포스코퓨처엠,003670,KOSPI,2차전지 소재,KOSPI,유상증자,2025-05-12,공시 2025-05-13 / 신주상장 2025-08-08,G(C실질73.3%+운영자금26.7%)·희석률12.91%,-4,중립·판단보류(감점강등→부정),-102.7%p,41.6,2026-06-25,134.0,2025-10-24,59.9,결과_하락,혼합용도|운영자금|사이클역행증자|수요지연|대주주참여|발행가상향|상대강도반납,cases/유상증자/2025-05_포스코퓨처엠_003670.md,dist/003670_dashboard.html,,-3288,749,2497,1/4,3/4,36.8%,1.34%,1.18%,4/4
6,LS마린솔루션,060370,KOSDAQ,해저케이블 시공·해상풍력,KOSDAQ,유상증자,2025-05-26,공시 2025-05-26(장마감후) / 신주상장 2025-08-28,C시설자금100%·희석률37.46%,1,중립·판단보류(감점강등→부정),+69.1%p,90.8,2025-05-30,176.5,2025-07-02,161.6,결과_상승,시설투자|주주배정|발행가상향|대주주참여|희석돌파|기대선반영|공시신뢰훼손|사이클초입|반복증자,cases/유상증자/2025-05_LS마린솔루션_060370.md,dist/060370_dashboard.html,15/15,-667,86,581,1/4,3/4,29.2%,5.41%,0.63%,3/4
7,에코프로머티리얼즈,450080,KOSPI,2차전지 전구체,KOSPI,유상증자,2025-03-26,공시 2025-03-26 / 납입 2025-04-07 / 전환청구 개시 2026-04-09,G(E75.8%+운영자금24.2%)·제3자배정RCPS·잠재희석률6.84%,-10,회피(부정→필수감점 강등),-199.3%p,19.2,2026-07-09,101.6,2025-03-27,21.2,결과_하락,실질분류|대주주불참|반복증자|규제개입|공시신뢰훼손|사이클역행증자|개인받이,cases/유상증자/2025-03_에코프로머티리얼즈_450080.md,dist/450080_rcps_dashboard.html,,3858,-4732,704,3/3,3/3,53.6%,1.92%,0.83%,3/3
8,SK이노베이션,096770,KOSPI,정유·에너지·배터리,KOSPI,유상증자,2025-07-29,공시 2025-07-30 / 납입 2025-08-18 / 신주상장 2025-09-05,A채무상환100%·제3자배정단순자금·희석률10.66%,-11,부정(반복증자 감점→회피),-83.0%p,30.6,2026-06-25,104.3,2025-07-30,59.9,결과_하락,채무상환|반복증자|시장가배정|PRS|유가민감|배터리캐즘,cases/유상증자/2025-07_SK이노베이션_096770.md,dist/096770_dashboard.html,11/15,-6439,7644,6320,1/4,2/4,38.8%,0.79%,1.71%,1/4
9,한화에어로스페이스,012450,KOSPI,방산·항공우주·조선,KOSPI,유상증자,2025-03-20,공시 2025-03-20(장마감후) / 제3자배정 상장 2025-05-15 / 주주배정 상장 2025-07-21,G(C실질81.0%+E관련19.0%)·합산희석률11.60%,4,중립·판단보류(감점강등→부정),-105.2%p,43.5,2026-06-30,126.3,2025-05-07,58.5,결과_상승후반납,수주연계증설|발행가상향|대주주참여|기대선반영|상대강도반납,cases/유상증자/2025-03_한화에어로스페이스_012450.md,dist/012450_dashboard.html,12/15,-15892,9712,6257,3/4,3/4,62.7%,1.38%,0.53%,
11,LIG디펜스앤에어로스페이스,079550,KOSPI,방산·유도무기·항공우주,KOSPI,유상증자,2026-06-25,공시 2026-06-26(장 시작 전) / 정정 2026-09-04 / 납입 예정 2026-11-13,C시설자금100%·제3자배정비상장우선주·경제적희석률4.97%,5,중립·판단보류(필수감점→부정),+6.7%p,97.1,2026-06-30,150.5,2026-08-10,108.6,결과_진행중,수주연계증설|발행가하향|시설투자,cases/유상증자/2026-06_LIG디펜스앤에어로스페이스_079550.md,dist/079550_dashboard.html,,-896,1909,-978,,,60.9%,1.06%,0.84%,
