date,phase,category,impact,title,detail,verified,source
2025-02-06,PRE,실적,긍정,2024년 연결 영업이익 흑자전환,"2023년 -375억원에서 2024년 +16억원으로 회복. 당기순이익은 -35억원",확정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250206800257
2025-03-28,T0,공시,부정,1000억원 주주배정 유상증자 결정,"장중 공시. 신주 30,210,000주, 증자비율 44.13%, 예정발행가 3,310원. 시설 845억원+운영 155억원",확정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250328000577
2025-04-22,T0,실적,긍정,2025년 1분기 영업이익 30억원,"매출 478억원, 영업이익 30억원. 기존 제품군의 실적 회복이 확인됐지만 증자 납입 전이므로 조달자금 성과는 아님",확정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250422800162
2025-05-29,T1,일정,부정,1차 발행가 3085원 확정,예정발행가 3310원 대비 6.8% 하향,확정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250529800313
2025-07-04,T1,일정,부정,최종 발행가 2955원 확정,"예정가 대비 10.7% 하향, 최종 조달액 892.71억원",확정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250704800277
2025-07-10,T1,일정,중립,구주주·우리사주 청약률 83.40%,"발행예정 30,210,000주 중 25,195,389주 청약. 일반공모 물량 5,014,611주 발생",확정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250710800070
2025-07-15,T1,일정,긍정,실권주 일반공모 87.9대1,"5,014,611주 모집에 440,807,728주 청약. 인수기관 자기계산 인수 물량 없음",확정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250715800243
2025-07-16,T1,공시,긍정,OCI홀딩스 269.8억원 실제 참여,"9,130,857주 취득, 지분율 11.32%→17.11%. 배정·초과청약과 일반공모 56,160주 포함",확정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250715000306
2025-07-28,T1,일정,중립,신주 3021만주 상장,증자 후 보통주 98664671주,확정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250716000113
2025-09-17,T2,실적,긍정,CP-012 임상 1b 긍정적 톱라인,파킨슨병 아침무동증 치료 후보의 안전성·내약성 및 의도한 방출 프로파일 확인,확정,https://www.bukwang.co.kr/board/board.php?bo_table=news&idx=389&pg=2
2025-10-20,T2,계약,긍정,콘테라파마·룬드벡 RNA 공동연구,"중증 신경질환 대상 RNA 신약개발 전략적 연구협력. 2025년 기술매출에 기여",확정,https://www.bukwang.co.kr/board/board.php?bo_table=news&cate=001&idx=391
2025-10-21,T2,실적,긍정,3분기 흑자·중간배당 결정,"3분기 매출 478억원, 영업이익 10억원. 5분기 연속 흑자와 주당 100원 중간배당",확정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251021800153
2026-01-05,T2,계약,긍정,한국유니온제약 최종 인수예정자 선정,스토킹호스 공개입찰을 거쳐 300억원 규모 인수 추진,확정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260105800307
2026-02-09,T2,실적,긍정,2025년 매출 2007억원·영업이익 142억원,"매출 +25.4%, 영업이익 +775.4%, 순이익 124억원 흑자전환",확정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260209800759
2026-03-24,T2,공시,긍정,고배당기업·기업가치 제고 계획,"2025년 배당성향 98.21%, 배당금 123억원. 당일 +17.7%, 다음 날 상한가",확정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260324801768
2026-04-27,T2,계약,중립,한국유니온제약 75.14% 취득 결정,"회생기업에 300억원 제3자배정 유상증자 참여. 제조처 확보와 생산능력 확대 목적",확정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260427800994
2026-06-02,T2,실적,긍정,라투다 추가 적응증 3상 IND 승인,양극성장애 우울삽화 단독요법·보조요법 적응증 확대 추진,확정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260602800918
2026-07-21,T2,실적,부정,상반기 매출 성장·이익 감소,"2026년 상반기 매출 1,048억원(+15.9%)이나 영업이익 25억원(-50.0%), 순이익 25억원(-59.4%)",확정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260721800615
2026-08-26,T2,공시,중립,공장 자동화창고 244.95억원 투자,기보유 공장부지에 2027-11 완공 예정,확정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260826800391
2026-08-31,T2,공시,긍정,한국유니온제약 회생절차 종결,서울회생법원 종결 결정으로 정상화 단계 진입,확정,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260831800733
