date,phase,category,impact,title,detail,verified,source
2025-05-12,T0,시장,중립,기준일 — 공시 전 마지막 정상 종가,종가 119419원. 다음날 공시 반영이 시작된다,확정,시세데이터
2025-05-13,T0,공시,부정,1조 1000억 유상증자 이사회 결의 — 당일 -2.5%,"주주배정 후 실권주 일반공모. 신주 11,483,000주, 증자전 보통주 77,463,220주 → 희석률 12.91%. 예정 발행가 95,800원. 자금용도는 타법인증권취득 6,307억(57.0%) + 운영자금 2,952.6억(26.7%) + 시설자금 1,810억(16.4%). 세부로는 캐나다 GM JV 양극재 1단계 3,534억, 구형 흑연 생산법인 설립 2,773억, 광양 전구체 1,178억, 광양 양극재 5단계 632억",확정,DART 주요사항보고서/뉴시스
2025-05-14,T0,시장,부정,공시 첫 반영 거래일 -4.0%,거래량 급증. 운영자금이 조달액의 4분의 1을 차지한 점이 부담,확정,시세데이터
2025-05-23,T0,시장,부정,기간 내 최저 종가 97028원,기준일 대비 -18.7%,확정,시세데이터
2025-05-26,T1,공시,중립,증권신고서 정정,,확정,DART 20250526000490
2025-06-13,T1,공시,부정,1차 발행가액 확정 — 당일 -4.0%,,확정,DART 20250613000018
2025-06-17,T1,일정,중립,신주배정기준일,,보도,언론보도
2025-07-17,T1,공시,긍정,최종 발행가액 96400원 확정 — 조달 1조 1070억,"예정가 95,800원 대비 +0.6%. 발행가가 예정가 위에서 확정된 드문 사례 — 삼성SDI(-17.3%)와 정반대",확정,DART 20250717000011
2025-07-18,T1,시장,긍정,발행가 확정 반영 +19.6% · 거래대금 6562억 (기간 최대),"불확실성 해소. 개인 -844억 순매도를 외국인 +483억·기관 +341억이 받았다. 이 날 상대강도가 100을 회복(D+47거래일)",확정,시세데이터
2025-07-21,T1,일정,중립,우리사주조합·구주주 청약 (~07-22),,보도,언론보도
2025-07-23,T1,공시,긍정,청약 결과 — 청약률 97.67%,"1,148만3천주 중 1,121만5,715주 청약",확정,DART 20250723800061/글로벌이코노믹
2025-07-29,T1,일정,중립,납입 완료 — 증권발행실적보고서,포스코홀딩스가 지분율(59.7%)만큼 배정된 신주 100%를 5256억으로 인수,확정,DART 20250729000070
2025-08-08,T1,일정,중립,신주 상장 — 오버행 해소 시점,상장주식수 77463220주에서 88946220주로,확정,DART
2025-08-11,T2,시장,긍정,+8.3% · 개인 -564억 외인 +207억 기관 +358억,사유 미확인 — 확인 필요,미확인,자동탐지
2025-10-14,T2,계약,긍정,단일판매·공급계약 체결 — 당일 +5.7%,LFP 양극재 관련 대형 공급계약. 이후 10월 랠리의 출발점,확정,DART 20251014800279
2025-10-16,T2,시장,긍정,+9.9% · 거래대금 2495억,,확정,시세데이터
2025-10-24,T2,시장,긍정,+18.9% · 상대강도(RS) 최고 134.0,"개인 -1,119억 순매도를 외국인 +577억·기관 +562억이 흡수. 이 지점이 초과수익의 정점",확정,시세데이터
2025-10-27,T2,실적,중립,3Q25 실적 발표,,확정,DART 20251027800146
2026-03-13,T3,시장,부정,-9.3% · 개인 +2268억 대량 매수,"외국인 -1,168억·기관 -1,118억 동반 순매도를 개인이 받았다. 하락 국면의 전형적 수급 구조",확정,시세데이터
2026-04-30,T3,실적,긍정,1Q26 실적 — 영업이익 177억 흑자전환,매출 7575억(-10.4% YoY, +35.9% QoQ),확정,DART 20260430800421
2026-06-25,T3,시장,부정,상대강도(RS) 최저 41.6,기준일 대비 초과수익 완전 소멸,확정,시세데이터
2026-07-16,T3,계약,긍정,단일판매·공급계약 체결 2건,,확정,DART 20260716800786
2026-07-30,T3,실적,긍정,2Q26 실적 발표,,확정,DART 20260730800288
2026-08-07,T3,계약,긍정,LFP 양극재 첫 대규모 공급 합의 — +5.6%,"계약금액 1조149억원(2025년 매출의 34.5%), 계약기간 2027년 10월~2032년 9월, LFP 양극재 19만톤 이상. 다만 이 날 개인 +496억 매수 · 외국인 -332억 매도",보도,한국경제/글로벌이코노믹
2026-08-21,T3,계약,부정,단일판매·공급계약 해지 정정공시 — -5.1%,어느 계약인지 원문 확인 필요,확정,DART 20260821800175
2026-09-04,T3,시장,중립,데이터 기준일,"명목 +53.7%이나 KOSPI가 +156.5% 올라 초과 -102.7%p, RS 59.9",확정,시세데이터
