date,phase,category,impact,title,detail,verified,source
2025-03-13,T0,시장,미확인,공시 전일 -4.2% · 거래량 2.5배,이사회 결의 공시(3/14) 전일에 이미 하락. 사전 반영 여부 확인 필요 — 기준일로 사용한 마지막 정상 종가,미확인,시세데이터
2025-03-14,T0,공시,부정,2조원 유상증자 이사회 결의 — 당일 -6.2%,"주주배정 후 실권주 일반공모. 신주 11,821,000주(증자비율 16.8%), 예정 발행가 169,200원. 자금용도는 타법인증권취득 1조 3,008억(78.6%, 미국 GM 합작법인 출자)과 시설자금 3,541억(21.4%, 헝가리 증설·국내 전고체 라인). 장중 공시라 당일 종가에 충격이 이미 반영됨",확정,DART 주요사항보고서
2025-03-24,T1,공시,중립,주요사항보고서·증권신고서 1차 자진 정정,금감원 유상증자 중점심사 대상 1호였으나 당국 보완요구 없이 자진정정만으로 진행,확정,DART
2025-03-28,T1,공시,중립,증권신고서 2차 자진 정정,,확정,DART
2025-04-09,T1,공시,부정,1차 발행가액 146200원 확정,"예정가 169,200원 대비 -13.6%. 시장이 자금용도를 승인하지 않고 있다는 신호",확정,DART 발행조건확정
2025-04-30,T1,공시,중립,주요사항보고서·증권신고서 3차 정정,미국 상호관세 발표 충격으로 주가가 한 달여 만에 20% 하락한 국면,확정,DART
2025-05-19,T1,공시,부정,최종 발행가액 140000원 확정 — 조달 2조원에서 1조 6549억으로 축소,"예정가 169,200원 대비 -17.3%. 발행가가 예정가 아래로 계속 깎였다는 것은 증자 기간 내내 시장이 거부했다는 뜻",확정,DART 20250519000130
2025-05-19,T1,계약,긍정,삼성전자 유상증자 참여 3198억,구주주 배정 참여. 출자 후 지분율 19.54%. 최대주주가 자기 돈을 넣은 긍정 신호,확정,DART 20250519000138
2025-05-23,T1,시장,부정,기간 내 최저 종가 160200원,구주주 청약 기간에 저점. 기준일 대비 -19.8%,확정,시세데이터
2025-05-30,T1,일정,중립,증권발행실적보고서 — 납입 완료,,확정,DART
2025-06-13,T1,일정,중립,신주 상장 — 오버행 해소 시점,,보도,언론보도
2025-07-10,T2,시장,부정,상대강도(RS) 최저점,"EV 캐즘 지속. 유증 공시 4개월 뒤가 상대강도 바닥 — 이 케이스는 초기 충격이 아니라 T1~T2 초입에서 갈렸다",확정,시세데이터
2025-10-28,T2,실적,긍정,3Q25 영업손실 5913억에도 주가 +9.5% 급등,"매출 3조 518억, 영업손실 5,913억으로 적자 지속. 그러나 46파이 원통형·각형 기반 110GWh 이상 글로벌 완성차 공급계약과 국내 최초 ESS 중앙계약시장 수주를 확보. 시장은 실적이 아니라 수주에 반응",확정,삼성SDI IR
2026-01-22,T2,시장,긍정,+18.7% 급등 · 거래량 10.3배 (기간 내 최대),외국인·기관 동반 매수. 전고체 배터리와 ESS 수요 기대. 2026년 ESS 매출 전년 대비 50% 이상 성장 전망,보도,언론보도
2026-02-02,T2,실적,중립,4Q25 실적 발표,,확정,DART
2026-02-24,T2,시장,미확인,+7.7% · 거래량 4.6배,사유 미확인 — 공시 확인 필요,미확인,자동탐지
2026-04-28,T2,실적,긍정,1Q26 실적 발표,,확정,DART
2026-04-29,T2,시장,긍정,기간 내 최고 종가 712000원 · RS 최고,기준일 대비 +256%,확정,시세데이터
2026-07-30,T2,실적,긍정,2Q26 영업이익 2038억 — 7개 분기 만의 흑자전환,"매출 3조 7,700억(+18.5% YoY). ESS·UPS·BBU 등 AI 데이터센터향 고출력 제품 수요가 실적 개선을 견인. 미국 주요 ESS 고객사와 장기공급계약 체결, 국내 차세대 전력망 ESS 수주 확보",확정,삼성SDI IR
2026-09-04,T2,시장,중립,데이터 기준일,"유증 후 약 18개월. ESS·AI 데이터센터 수요가 실제로 도착하면서 상대강도가 100을 회복",확정,시세데이터
