date,phase,category,impact,title,detail,verified,source
2026-03-31,사전,기업,중립,LIG넥스원에서 현재 사명으로 변경,"정기주주총회에서 LIG디펜스앤에어로스페이스로 상호 변경. 종목코드 079550은 동일",확정,DART 정기주주총회결과 / 회사 정관
2026-05-07,사전,실적,긍정,1Q26 영업이익 1711억·수주잔고 25.31조,"매출 1조1679억·영업이익 1711억·지배순이익 1399억. 수주잔고는 2025년 매출의 5.9배",확정,DART 20260507800328 / 1분기보고서
2026-06-25,기준,시장,중립,공시 전 마지막 종가 775000원,"다음 날 07:30경 공시 전의 깨끗한 기준점. 당일 주가는 -5.95%, KOSPI는 +5.42%",확정,네이버 수정주가 / 금융위원회
2026-06-26,T0,공시,중립,비상장 우선주 5000억 제3자배정,"876153주×570676원. 구미 3하우스·김천 2하우스 신규 구축과 기존 시설 증설. 국민성장펀드·민간 금융권 프로젝트펀드가 인수",확정,DART 20260626000001 / 금융위원회
2026-06-26,T0,시장,중립,첫 반영일 -5.16%·초과 +0.65%p,"종가 735000원. KOSPI가 -5.81% 내려 명목 하락과 달리 지수 대비 추가 충격은 관찰되지 않음",확정,네이버 수정주가
2026-06-30,T0,시장,부정,RS 최저 97.1,"종가 719000원. 기준일 대비 명목 -7.23%, KOSPI 대비 초과 -2.77%p",확정,네이버 수정주가
2026-07-03,T0,시장,긍정,기준일 종가 회복,"종가 800000원. 기준일 대비 +3.23%, KOSPI 대비 초과 +12.74%p",확정,네이버 수정주가
2026-07-24,T0,계약,긍정,L-SAM 최초 양산 1202억 계약,"한화에어로스페이스에 L-SAM ABM 구성품을 2029년 10월까지 공급. 계약금·선급금 있음. 당일 초과 +9.26%p",확정,DART 20260724800282
2026-07-29,T1,시장,부정,기간 내 최저 종가 620000원,"전일 대비 -11.05%, KOSPI 대비 -5.06%p. 기준일 대비 명목 -20.0%",확정,네이버 수정주가
2026-08-06,T1,실적,부정,2Q26 영업이익 1057억·주가 -12.03%,"매출 1조1101억·영업이익 1057억·지배순이익 826억. 수주잔고 24.57조. 당일 KOSPI 대비 -7.45%p",확정,DART 20260806800228 / 네이버 수정주가
2026-08-10,T1,시장,긍정,RS 최고 150.5,"종가 823000원. 당일 +11.07%, 초과 +10.41%p. 외국인 +353억·개인 -299억",확정,네이버 수정주가 / 키움 ka10059
2026-08-13,T1,시장,긍정,기간 내 최고 종가 837000원,"기준일 대비 +8.0%, KOSPI 대비 초과 +38.4%p. 신규 설비의 이익 기여 전 가격",확정,네이버 수정주가
2026-08-21,T1,시장,부정,-11.69% 급락·개인 501억 순매수,"KOSPI +0.88%와 반대로 하락해 초과 -12.57%p. 기관 -503억을 개인이 받음",확정,네이버 수정주가 / 키움 ka10059
2026-09-04,T1,공시,부정,발행가 하향·신주 증가·납입 연기,"발행가 570676→462581원(-18.9%), 신주 876153→1150000주(+31.3%), 조달액 5000→5319.7억(+6.4%), 납입 9월16일→11월13일",확정,DART 20260904000208
2026-09-04,T1,조건,중립,상장 유인·손해배상 조항 추가,"5년 내 우선주 상장 추진 설명, 6년째부터 미상장 추가배당 1.0~2.0%, 일정 조건의 상장 요청권과 손해배상 조항을 명시",확정,DART 20260904000208
2026-09-07,T1,시장,중립,기준일 대비 명목 -15.0%·초과 +6.7%p,"종가 659000원. KOSPI는 기준일 대비 -21.7%. 납입 전 진행 중이며 최근 이틀 개인 +154억·외국인 -159억",확정,네이버 수정주가 / 키움 ka10059
