date,phase,category,impact,title,detail,verified,source
2025-07-29,T0,시장,중립,기준일 — 공시 전 마지막 종가,"종가 111,500원. 공시는 다음날 장 종료 2분 전에 제출됐다",확정,시세데이터
2025-07-30,T0,공시,긍정,2조원 제3자배정 유상증자 결정 — 당일 +5.1%,"신주 18,018,012주를 주당 111,000원에 발행. 조달액 전액 채무상환. SK온-엔무브 합병과 총 8조원 자본조달 계획도 함께 발표돼 재무 불확실성 완화 기대가 반영됐다",확정,DART 20250730000249·SK이노베이션 IR
2025-07-31,T0,실적,부정,"2Q25 영업손실 4,176억원 — 당일 -7.9%","석유사업 -4,663억원, 배터리사업 -664억원. Dubai 분기 평균은 66.9달러로 전분기보다 10달러 낮았고 유가·환율 하락의 재고효과가 정유 손익을 눌렀다. SK온 합병법인 기준은 609억원 흑자",확정,SK이노베이션 2Q25 IR·시세데이터
2025-08-18,T1,공시,긍정,유상증자 2조원 납입 완료,"예정 18,018,012주와 1조 9,999억 9,933만원이 전액 납입됐다",확정,DART 20250818800478
2025-09-05,T1,일정,중립,신주 상장,"신주 전량 1년 보호예수. 즉시 매도 오버행은 제한됐지만 주식수는 10.66% 희석됐다",확정,DART 주요사항보고서
2025-10-31,T2,실적,긍정,"3Q25 영업이익 5,735억원","정유 3,042억원 흑자로 전환. Dubai 유가와 경유·등유 크랙 회복이 2분기 재고 충격을 뒤집었다. 배터리사업은 -1,248억원, SK온 합병법인은 179억원 흑자",확정,SK이노베이션 3Q25 IR
2026-01-28,T2,실적,중립,2025년 말 순차입금 22.5조원으로 감소,"2분기 말 33.3조원에서 줄어 자본확충·자산 효율화의 재무 효과가 확인됐다. 다만 4Q 배터리사업 영업손실은 4,414억원으로 확대됐고 전사 2025년 세전손실은 5.82조원이었다",확정,SK이노베이션 4Q25 IR
2026-06-25,T3,시장,부정,RS 최저 30.6,"명목 주가보다 KOSPI의 상승 속도가 훨씬 빨라 상대강도가 기준일의 3분의 1 아래로 내려갔다",확정,시세데이터
2026-06-26,T3,시장,부정,"기간 내 최저 종가 89,500원",기준일 대비 -19.7%,확정,시세데이터
2026-09-04,T3,시장,중립,보호예수 만료 직전 마지막 관측,"종가 138,300원으로 기준일 대비 +24.0%지만 KOSPI 대비 -83.0%p·RS 59.9. 보호예수 해제 뒤 수급은 미관측",확정,시세데이터
