date,phase,category,impact,title,detail,verified,source
2024-02-22,PRE,계약,긍정,+11.8% · 거래량 7.6배,머크(MSD) 키트루다 SC 제형 관련 국면 진입,보도,언론보도
2024-02-23,PRE,계약,긍정,+25.0% · 거래량 11.8배 — 머크 키트루다SC 제형 독점계약,미국 머크와 키트루다 피하주사 제형변경 독점계약 체결. 마일스톤 총액 10억달러 규모. 이 계약이 시가총액을 끌어올려 MSCI 편입 요건을 충족시킨 실질 원인,보도,언론보도
2024-02-26,PRE,시장,긍정,+19.4% · 거래량 10.5배,계약 효과 지속,보도,언론보도
2024-03-05,P1,시장,중립,기준일 — 편입 기대 형성 직전,,확정,시세데이터
2024-03-06,P1,리포트,긍정,증권가 5월 MSCI 정기변경 편입 유력 리포트,유안타증권 등이 알테오젠·HD현대일렉트릭 편입 가능성을 High 로 제시,보도,한국경제/비즈니스포스트
2024-03-27,P1,시장,미확인,-10.9% · 거래량 9.1배,사유 미확인 — 확인 필요,미확인,자동탐지
2024-04-05,P1,시장,부정,상대강도(RS) 최저 83.2,편입 기대에도 불구하고 기준일 대비 언더퍼폼 — 선반영이 일어나지 않았다,확정,시세데이터
2024-05-15,P2,발표,긍정,MSCI 5월 정기변경 발표 — 한국지수 편입 확정,한국시간 새벽 발표. 알테오젠·HD현대일렉트릭·엔켐 편입. 당일 국내 증시는 석가탄신일 휴장,확정,MSCI/아주경제
2024-05-16,P2,시장,긍정,발표 첫 반영 거래일 +2.0%,통념과 달리 급등하지 않았다 — 편입 발표 자체의 가격 효과는 제한적,확정,시세데이터
2024-05-31,P3,편입,긍정,MSCI 리밸런싱 — 실제 편입일 · 거래량 6.4배,장 마감 후 지수 반영. 당일 +3.3%,확정,시세데이터
2024-06-04,P4,시장,긍정,+17.3% · 거래량 6.1배,편입 이후에도 상승 지속. 동인은 편입이 아니라 기술이전 모멘텀,보도,시세데이터
2024-11-14,P4,시장,긍정,상대강도(RS) 최고 292.0,기준일 대비 초과수익 정점,확정,시세데이터
2024-11-21,P4,규제,부정,-1.1% · 거래량 6.4배 — 특허 리스크 부상,할로자임이 머크를 상대로 특허무효심판(PGR) 제기,보도,언론보도
2024-11-22,P4,시장,부정,-15.7% · 거래량 5.9배,특허 이슈와 함께 키트루다SC 로열티율이 시장 기대(4~5%)를 밑돈다는 우려 확산,보도,언론보도
2026-01-21,P4,시장,부정,-22.3% · 거래량 9.1배,키트루다SC 로열티 이슈로 급락. 회사가 입장문 발표,보도,뉴시스/바이오스펙테이터
2026-09-04,P4,시장,중립,데이터 기준일,,확정,시세데이터
