date,phase,category,impact,title,detail,verified,source
2025-02-03,T0,공시,중립,100억 운영자금 제3자배정 공개,"글로벌씨앤디 대상 신주 7,564,296주·발행가 1,322원. 같은 날 300억원 CB와 최대주주 변경 주식양수도 계약도 함께 공개",확정,DART 20250203000002·20250203000003 / KIND
2025-02-03,T0,시장,긍정,공시 당일 상한가,"종가 2,100원으로 직전 거래일 1,616원 대비 29.95% 상승. 장중 공개라 당일 가격에 반영",확정,네이버 수정주가 / 이데일리
2025-02-04,T0,시장,긍정,이틀 연속 상한가,"종가 2,730원·전일 대비 30.0%. 다음 날 3,015원까지 오르며 1월 31일 대비 86.6% 상승",확정,네이버 수정주가
2025-02-07,T0,실적,부정,2024년 매출 47% 감소 잠정공시,"연결 매출 85.7억원·영업손실 83.5억원·순손실 92.2억원. 전방 디스플레이 투자 축소를 원인으로 제시",확정,KIND 20250207900802
2025-02-07,T0,정정,부정,첫 납입 연기,"납입일 2월 17일에서 3월 21일로 한 달 이상 연기",확정,DART 20250207000717
2025-03-20,T1,정정,부정,두 번째 납입 연기,"납입일을 4월 21일로 다시 연기. 글로벌씨앤디는 주식양수도 종결로 같은 날 최대주주가 됨",확정,DART 20250320001355 / KIND
2025-03-24,T1,지배구조,중립,넥사다이내믹스로 상호 변경,"정기주주총회에서 에스에이티에서 넥사다이내믹스로 상호를 바꾸고 신사업 목적을 추가",확정,KIND 20250324900830
2025-05-12,T1,목적변경,부정,현금 운영자금이 최대주주 부동산으로 변경,"100억원 현금안이 여수 웅천 상가 20개 호실 90억원 현물출자와 현금 10억원으로 변경. 양수목적은 유동성 확보·중장기 자산가치 제고",확정,DART 20250509000868·20250509000873
2025-05-30,T1,조달,중립,제3회 CB 151억원 납입,"최초 300억원이던 전환사채는 151억원으로 축소돼 현금 납입. 유상증자와 별개 조달",확정,KIND 20250530900765
2025-06-27,T1,정정,부정,현물출자 납입 7월로 연기,"법원 인가 등 절차로 납입일이 6월 30일에서 7월 30일로 변경",확정,DART 20250627000499
2025-07-30,T1,정정,부정,현물출자 납입 8월로 재연기,"납입일을 8월 14일·신주 상장을 9월 5일로 다시 미룸",확정,DART 20250730000197
2025-08-14,T1,납입,부정,현금 0원·부동산만 납입 완료,"현금 10억원 부분이 빠지고 상가 현물 90억원만 납입. 실제 신주 6,807,866주로 축소",확정,DART 20250814003275 / KIND 20250814903110
2025-09-05,T1,상장,부정,현물출자 신주 680.8만주 상장,"증자 후 보통주 28,823,752주·최종 희석률 23.62%. 기준일 대비 주가 -32.2%",확정,KRX 추가상장 / DART
2025-11-14,T2,실적,부정,3분기 누적 영업손실 76억원,"연결 매출 112.6억원·영업손실 76.0억원·순손실 99.6억원. 현금은 2024년 말 101.6억원에서 19.0억원으로 감소",확정,DART 20251114002051
2026-01-30,T2,반복조달,부정,10억 운영자금 소액 유증 납입,"에스에스1호투자조합 대상 신주 874,890주·발행가 1,143원. 2월 23일 상장",확정,DART 20260130000608 / KIND 20260130901057
2026-03-23,T2,실적,부정,2025년 감사보고서도 대규모 손실,"연결 매출 130.1억원·계속영업 영업손실 94.6억원·순손실 142.4억원·영업현금유출 81.0억원. 회사 전체 수입임대료는 전년보다 0.22억원 증가",확정,DART 20260323001172
2026-07-31,T2,시장,부정,주가 852원·RS 저점,"기준일 대비 주가 -59.4%, KOSDAQ 상승까지 반영한 상대강도는 28.9로 최저",확정,네이버 수정주가
2026-08-24,외생,지배구조,중립,새 경영권·230억 조달 패키지 공시,"경영권 변경 계약과 20억·130억원 제3자배정, 80억원 CB가 같은 날 공시. 이후 급등은 2025년 현물출자와 분리 필요",확정,DART·KIND 20260824 공시
2026-09-07,외생,시장,긍정,외생 랠리로 기준일 대비 106.4%,"종가 4,335원·최근 초과수익 +89.6%p. 다만 2026년 8월 신규 패키지 이후 상승이므로 2025년 증자 성공의 증거가 아님",확정,네이버 수정주가
