date,phase,category,impact,title,detail,verified,source
2023-11-20,사전,공시,중립,직전 조달 — 제2회 사모 CB 300억 발행결정,전환가 53500원·표면이자 0%·만기이자 3%·전환청구 개시 2024-11-22. 필수 감점 규칙(최근 3년 내 2회 이상 조달)의 근거,확정,DART 20231120000583
2024-06-28,사전,시장,중립,사상 최고가 135400원,이후 하락 추세 전환. D-day 종가 47700원은 이 고점 대비 -64.8%,확정,시세데이터
2025-03-12,사전,시장,긍정,거래량 평균의 15.6배·+26.2%,당일 회사 공시 없음. 매각 추진 보도인지 업종 재료인지 미확인,미확인,시세데이터
2025-05-12,사전,시장,긍정,거래량 6.0배·+19.5%,당일 회사 공시 없음,미확인,시세데이터
2025-05-22,T0,공시,중립,기준일 — 이사회 결의 및 경영권 양수도 MOU 체결,종가 47700원(+5.2%). 직전 3거래일 +35.3%. 발행가 기준주가 산정 기산일은 05-21,확정,DART 20250523000001
2025-05-23,T0,공시,부정,유상증자 결정 공시 — 제3자배정 1450억,신주 3615960주·발행가 40100원(할인율 0%)·희석률 26.53%. 시설 450억 + 타법인취득 1000억(대상 미정). 당일 -9.1%·거래량 9.5배,확정,DART 20250523000001
2025-05-26,T0,시장,부정,이틀째 -11.9%,공시 이틀 합계 -19.9%. 거래량 6.3배,확정,시세데이터
2025-06-23,T0,시장,부정,T0 저점 33400원,D+20 초과 -39.3%p·RS 64.0. T0 구간 개인 +156억 순매수(거래대금의 15.6%)·기관 -113억. 공시일 포함 시 개인 +210억·기관 -162억,확정,시세데이터
2025-07-18,T1,시장,긍정,명목 주가 회복 48300원,D+39거래일에 D-day 종가를 넘어섰으나 상대강도(RS)는 끝내 100을 회복하지 못했다,확정,시세데이터
2025-08-29,T1,공시,부정,본계약(SPA) 체결 — 구주 매각 단가 70000원 공개,2002788주·1401.95억. 당일 종가 43800원 대비 +59.8% 프리미엄. 신주 발행가 40100원 대비 +74.6%,확정,DART 20250829900956
2025-09-01,T1,공시,부정,정정 — 납입일 08-29→10-17·상장 09-12→10-31·배정대상자 변경,어센트에쿼티파트너스 → 뷰티시너지2025 사모투자합자회사. 일정 2개월 연기,확정,DART 20250829002243
2025-10-02,T1,공시,부정,정정 — 배정대상자 3번째 변경,뷰티시너지2025 PEF → 뷰티시너지 주식회사(SPC). 인수 주체가 두 번 바뀌었다,확정,DART 20251002000611
2025-10-17,T1,공시,중립,납입 완료·구주 종결·최대주주 변경·임시주총,실제발행 3615960주=예정 100%. 최대주주 배은철 외 2인(66.03%) → 뷰티시너지(41.22%). 이사 7인 중 5인 교체·창업자 대표 사임. 인수자금 자기자금 1351.95억+차입금 1500억(KB증권 등·담보 회사 보통주),확정,DART 20251017900528 · 20251017900530
2025-10-31,T2,공시,중립,신주 3615960주 상장,전량 1년 보호예수(해제 2026-10-17). 상장 유통물량 순증 0,확정,DART 20251017900530
2025-11-24,T2,공시,중립,CB 90억 만기 전 취득·소각,전환이 아닌 현금 상환. 잔액 210억,확정,DART 20251124900317
2026-02-05,T2,공시,긍정,청주공장 신축 결정 790억,당초 유증 시설자금 450억의 1.76배. 착공 2026-02-23·준공 2027-09-22 예정. 다만 재원은 '내부보유자금 및 차입금'으로 기재,확정,DART 20260205900810
2026-02-13,T3,실적,부정,2025년 실적 — 영업이익 -22.9%·순이익 -56.1%,매출 2885억(+2.0%)으로 사상 최대인데 영업이익 223억·순이익 142억. 회사 설명은 '다품종 소량 생산 구조 전환에 따른 단기 수익성 저하',확정,DART 20260213901969
2026-02-23,T3,공시,중립,CB 잔액 210억 조기상환·소각 — 잔액 0,전환가 53500원에 도달하지 못해 전환 0원. 조달 300억이 전액 현금으로 나갔다,확정,DART 20260223901373
2026-03-31,T3,공시,중립,차건아 각자대표 선임,인수인 측 인사. 배수아·차건아 각자대표 체제,확정,DART 20260331901683
2026-05-26,T3,공시,긍정,자기주식 취득 신탁 50억 체결,PE 체제의 주가 방어 개시. 계약기간 2026-05-27~11-30,확정,DART 20260526000181
2026-06-02,T3,시장,부정,D+250 — 초과수익 -102.5%p,종가 19290원·RS 28.3. 아카이브 유상증자 케이스 중 최악 수준,확정,시세데이터
2026-07-30,T3,시장,부정,최저 종가 16910원,D-day 대비 -64.5%. RS 최저는 27.2(2026-05-21),확정,시세데이터
2026-08-12,T3,공시,긍정,자사주 신탁 50억 재체결,08-06 기존 계약 해지(50억 전량 집행 완료) 후 재체결. 계약기간 2026-08-13~2027-02-12,확정,DART 20260812000327 · 20260806000477
2026-08-10,T3,실적,부정,2Q26 — 영업이익 16.0억(-81.6% YoY)·순손실 -62.3억,상반기 누계 매출 1442억(+3.1%)·영업이익 45.7억(-67.9%)·순손실 -11.5억,확정,DART 20260810900119
