date,phase,category,impact,title,detail,verified,source
2024-03-29,사전,조달,부정,"제3자배정 유상증자 5.28억원","운영자금 목적. 2025년 공모 전 반복 조달의 첫 번째 확인 건",확정,"DART 20260320001061 사업보고서"
2024-06-24,사전,조달,부정,"제3자배정 유상증자 55.00억원","채무상환 목적. 석 달 뒤 다시 조달했다",확정,"DART 20260320001061 사업보고서"
2024-07-03,사전,조달,부정,"제3자배정 유상증자 10.00억원","운영자금 목적. 2024년 세 차례 유상증자 합계 70.28억원",확정,"DART 20260320001061 사업보고서"
2025-02-14,사전,공시,중립,"코스닥 이전상장 일반공모 결정","공모주 130만 주. 신주모집 857,987주와 자기주식매출 442,013주가 섞인 구조. 코넥스 종가 21,950원·거래량 101주",확정,"DART 20250214002211"
2025-03-24,사전,가격,긍정,"공모가 11,200원 확정 — 희망밴드 상단","주관사 평가주당가액 16,136원 대비 30.59% 할인. 코넥스 종가는 19,500원이지만 거래량은 6,021주",확정,"DART 20250324000424"
2025-03-26,사전,청약,긍정,"일반청약 1,384.48대 1","일반투자자 배정 325,000주에 449,956,140주 청약. 기관 배정분 중 의무보유확약은 8.96%",확정,"DART 20250328000853"
2025-03-28,사전,납입,긍정,"공모대금 납입 완료","공모·자기주식매출과 주관사 의무인수 포함 총 현금유입 152.88억원. 순사용계획 145.60억원",확정,"DART 20250328000853"
2025-04-04,T0,상장,긍정,"코스닥 이전상장 — 첫 종가 16,100원","공모가 대비 +43.75%, 마지막 코넥스 종가 대비 -17.82%. 거래량 36,839,523주·거래대금 6,495.1억원. 개인 +299.7억원, 기관 -198.8억원",확정,"KRX·키움 시세 및 수급"
2025-09-03,T1,시장,부정,"상장 후 저점 11,440원 — 공모가 회귀","공모가보다 2.14% 높은 수준. 상장일 종가 대비 -28.94%",확정,"시세데이터"
2025-09-23,T2,테마,긍정,"휴머노이드 손 관절 부품 협의 보도로 로봇 기대 부각","종가 16,250원·거래대금 1,167.1억원. 사업 성과가 아니라 공급 협의와 개발 기대가 가격을 재평가",확정,"언론 보도·시세데이터"
2026-03-06,T2,리서치,긍정,"휴머노이드 관절 부품 성장성 리포트 부각","종가 150,000원. 개인 -77.8억원, 외국인 +59.3억원, 기관 +18.9억원",확정,"NH투자증권 리서치·시세데이터"
2026-03-10,T2,시장,긍정,"기간 최고 종가 169,900원","상장일 종가 대비 +955.3%, 공모가 대비 +1,417.0%",확정,"시세데이터"
2026-03-20,T3,실적,부정,"2025 사업보고서 — 영업이익 -59.6%·공모자금 집행률 26.7%","매출 369.31억원(-1.4%), 영업이익 14.56억원(-59.6%), 순손실 0.54억원. 순시설자금 145.38억원 중 38.82억원 사용",확정,"DART 20260320001061"
2026-07-10,T3,조달,부정,"400억원 전환사채 발행 결정","0% 표면·만기이자, 전환가 54,431원. 잠재 734,875주(10.8%), 리픽싱 하한 46,267원, 콜옵션 32.7%",확정,"DART 20260714000488"
2026-08-14,T3,실적,중립,"반기보고서 — 공모자금 집행률 29.4%","누적 사용 42.78억원으로 반년간 3.96억원 증가. 국내 가동률 3%, 베트남 85%. 로봇부품은 개발 단계이며 2028년 전후 상용화 목표",확정,"DART 20260814004093"
2026-09-07,T3,시장,중립,"데이터 기준일 — 종가 49,550원","공모가 대비 +342.4%, 코스닥 첫 종가 대비 +207.8%. 3월 고점 대비 -70.8%",확정,"시세데이터"
