date,phase,category,impact,title,detail,verified,source
2025-01-02,사전,공시,중립,PT. Green Eco Nickel 지분 28% 취득 결정,취득금액 532.6억(약정 $36.2백만). 유상증자 3개월 전에 인수 계획이 먼저 공시됐다,확정,DART 20250102800662
2025-02-11,사전,실적,부정,2024년 잠정실적 — 매출 2998억·영업손실 647억,유상증자 D-day 시점에 이미 공개돼 있던 적자. 사이클 위치 판단의 근거,확정,DART 20250211800077
2025-03-26,T0,공시,부정,유상증자 결정 — 제3자배정 RCPS 3890억,신주 512만주(상환전환우선주) 발행가 75974원. 기준주가 67908원 대비 11.876% 할증. 당일 종가 -0.45%로 시장은 사실상 무반응,확정,DART 20250326001115
2025-03-28,T0,시장,부정,-4.33% (초과 -2.44%p),공시 이틀 뒤부터 하락 시작. 이 시점부터 T0 낙폭이 붙기 시작한다,확정,시세데이터
2025-04-02,T0,시장,부정,-4.61% · 5거래일 누적 -19.6%,미국 상호관세 발표 국면과 겹쳐 종목·지수가 동시 하락. T0 낙폭의 상당 부분은 시장 요인,확정,시세데이터
2025-04-07,T0,시장,부정,-8.35% (KOSPI -5.57%),관세 쇼크 당일. 초과수익 기준으로는 -2.78%p로 시장 하락분이 대부분,확정,시세데이터
2025-04-07,T0,공시,중립,유상증자 100% 납입 완료,실제발행 512만주·3890억 전액 납입. 우선주 1년 의무보유(전매제한) 등록,확정,DART 20250407800945
2025-04-23,T0,구분,중립,T0 종료 (D+20) — 초과 -10.6%p,회전율 1.24%/일(전체 평균의 0.44배). 개인 +565억 · 외국인 -476억,확정,시세·수급데이터
2025-06-25,T1,공시,부정,시설투자 계획 9573억 → 7553억으로 축소·연기,사유는 고객사 수요 일부 이연. 종료일 2025-08-31 → 2026-09-30. 유증 3개월 뒤 회사가 스스로 수요 지연을 인정,확정,DART 20250625800495
2025-06-30,T1,공시,부정,삼성SDI 전구체 공급계약 2057억 → 1551억 감액,판매물량 변동에 따른 계약금액 감소(-24.6%). 계약기간도 2025-06-30 종료,확정,DART 20250630800844
2025-09-12,T1,공시,중립,PT. Green Eco Nickel 지분 28% 취득 완료,최종 취득금액 550.85억($37.5백만). 유증 자금의 첫 실집행 확인,확정,DART 20250911800442
2025-10-22,T1,규제,부정,금융위원회 과징금 8.486억 — 증권신고서 제출의무 위반,자본시장법 119조 위반(모집). 10-24 금감원 경고(간주모집). 별도 공시 없이 정기보고서에만 기재됐고 당일 주가는 +7.42% 상승,확정,DART 20260313001274 사업보고서
2026-01-02,T1,회계,중립,PT. Green Eco Nickel 연결 자회사 편입,지분 28%지만 K-IFRS 1110호 지배력 획득으로 연결. 2026년 1분기부터 연결재무제표 작성,확정,DART 20260814001623 반기보고서
2026-04-08,T1,오버행,중립,우선주 전매제한(1년 의무보유) 해제일,예수 2025-04-14 → 반환 2026-04-13. 당일 주가 76600원으로 전환가 75974원을 상회. 회전율 5.97%,확정,DART 20260320000475 사업보고서
2026-04-09,T2,오버행,중립,전환청구기간 개시,이날부터 우선주 512만주를 보통주로 전환 청구 가능. 잠재희석 6.84%가 현실화될 수 있는 구간 진입,확정,DART 20250326001115
2026-04-27,T2,시장,긍정,기간 내 최고 종가 86400원 (D-day 대비 +29.1%),전환가 75974원을 13.7% 상회. 그럼에도 2026-06-30 기준 전환권 행사는 0건,확정,시세데이터
2026-05-16,T2,오버행,부정,IPO 보호예수 3244만주 반환 예정일,상장 시 2년 6개월 보호예수분(발행주식의 46.4%). 이 시점 이후 주가가 무너졌으나 인과는 미확인,미확인,DART 20260320000475
2026-06-30,T2,시장,부정,-8.76% (초과 -9.73%p),6월 월간 최저 42400원. 4월 최고 86400원 대비 두 달 만에 반토막,확정,시세데이터
2026-07-29,T2,시장,부정,기간 내 최저 종가 28600원 (D-day 대비 -57.2%),전환가 75974원의 37.6% 수준. RCPS 투자자는 전환가치가 사실상 소멸,확정,시세데이터
2026-08-14,T2,공시,긍정,2026년 상반기 연결 영업이익 51억 흑자전환,매출 3453억(2025년 연간 3925억의 88%를 반기에 달성). 유증자금 3890억은 100% 집행 완료,확정,DART 20260814001623
2026-09-04,T2,시장,중립,데이터 기준일 — 초과 -199.3%p · RS 21.2,최근 20일 회전율 0.83%로 전체 평균 2.81%의 30% 수준,확정,시세데이터
