date,phase,category,impact,title,detail,verified,source
2025-05-16,T0,자금조달,부정,제5회 CB 210억원 발행 결정,"운영자금 80억원·타법인증권취득 130억원. 최초 전환가 17,533원, 전환가능주식 1,197,741주. 이번 유상증자보다 5개월 앞선 반복 조달",확정,DART 20250516000317
2025-10-27,T0,공시,긍정,BTQ 대상 71.8억원 전략적 제3자배정,"신주 452,058주×15,884원. 시장가 무할인, 희석률 3.26%, 1년 의무보유·당사자 합의 2년 매도제한. 양자보안 칩 설계 인프라 시설자금 100%",확정,DART 20251027000262
2025-10-28,T0,계약,긍정,BTQ 양자보안칩 개발용역 143.61억원 — +10.0%,"USD 10m, 2024년 매출의 215%. 2025-10-27~2029-11-30, 5회 마일스톤 지급. 전날 유증과 같은 USD 15m 전략협약의 매출 계약 부분",확정,DART 20251028900086
2025-10-31,T0,시장,긍정,공시 후 4거래일 고점 20,350원,"기준일 대비 +27.6%. 개발계약과 전략투자가 동시에 만든 초기 재평가",확정,시세데이터
2025-11-24,T1,공시,부정,납입일 11월 24일에서 12월 15일로 연기,"신주 상장 예정일도 2025-12-12에서 2026-01-06으로 연기",확정,DART 20251124000166
2025-11-25,T1,시장,부정,기간 저점 12,910원 — -8.1%,"기준일 대비 -19.1%. 첫 납입 연기 공시 다음 거래일",확정,시세데이터
2025-12-15,T1,공시,부정,납입일 12월 19일로 재차 연기,"신주 상장 예정일도 2026-01-15로 변경. 당일 -4.2%",확정,DART 20251215000349
2025-12-19,T1,공시,긍정,71.8억원 전액 납입 완료 — +3.9%,"신주 452,058주 발행. 2026-01-15 상장, 1년 의무보유",확정,DART 20251219900138
2026-01-15,T1,일정,중립,BTQ 배정 신주 상장,"신주는 1년 의무보유, 당사자 합의상 2년간 전량 매도하지 않기로 함",확정,DART
2026-02-13,T2,실적,부정,2025년 잠정실적 — 매출 40.2억·영업손실 88.6억,"매출 -39.9% YoY, 영업손실은 2024년 66.9억원보다 확대. 유증·계약 체결 직후 연간 실적에는 기여가 제한적",확정,DART 20260213901914
2026-05-19,T2,시장,긍정,글로벌 빅테크향 보안칩 양산 보도 — 상한가,"아이씨티케이 발표와 하나증권 리포트가 글로벌 고객 확대 기대를 자극. BTQ 계약과 별개의 고객·제품일 수 있어 인과를 합치지 않음",보도,아이씨티케이 PR/이데일리/하나증권
2026-05-26,T2,오버행,부정,제5회 CB 53.5억원 전환청구,"328,661주, 당시 발행주식의 2.35%. 주가 급등 국면에 별도 조달의 잠재 희석이 현실화",확정,DART 20260526900635
2026-05-27,T2,시장,긍정,"기간 최고 36,350원 — +18.0%","기준일 대비 +127.9%. 미국 양자산업 지원 기대와 하나증권 목표가 6만원 상향. 외국인 +181.9억원·기관 +25.2억원, 개인 -209.5억원",확정,시세데이터/뉴스핌
2026-05-28,T3,시장,부정,단기 과열·CB 오버행 부각 — -13.8%,"전날까지 급등한 뒤 차익실현. 유상증자 신주는 보호예수 중이므로 즉시 매도물량은 제5회 CB 전환분",보도,시세데이터/재경일보
2026-06-30,T3,실적,중립,BTQ 계약 누적 33.27억원 인식·시설자금 0원 사용,"반기보고서 기준 BTQ 개발용역 수주총액 146.27억원 중 누적 기납품액 33.27억원·잔고 113.00억원. 유상증자 시설자금 71.8억원은 전액 미사용",확정,DART 반기보고서 20260814003391
2026-07-23,T3,오버행,부정,"제5회 CB 전환가 15,777원으로 하향","미전환 130억원의 전환가능주식이 823,984주로 증가. 9월 7일 종가 15,000원보다 높은 전환가지만 잠재 희석은 남음",확정,DART 20260723900556
2026-09-07,T3,시장,중립,"데이터 기준일 15,000원","기준일 대비 -6.0%, KOSDAQ -8.9%, 초과 +3.0%p. 5월 고점의 기대를 대부분 반납",확정,시세데이터
