date,close,volume,inst_net,frgn_net,frgn_hold,frgn_rate
2023-10-23,474000,371565,52434,-100746,32677056,47.52%
2023-10-24,480000,359957,38869,-81767,32595694,47.40%
2023-10-25,445500,588982,-29310,-187135,32405376,47.13%
2023-10-26,423000,789835,97158,-149451,32255108,46.91%
2023-10-27,452000,558062,101468,-21225,32235726,46.88%
2023-10-30,452000,490326,81335,-80603,32158585,46.77%
2023-10-31,425500,458098,16187,-97528,32044955,46.60%
2023-11-01,425500,389358,71347,-88363,31956561,46.47%
2023-11-02,451000,445802,132697,-79677,31877048,46.36%
2023-11-03,454000,323288,50249,-101868,31775259,46.21%
2023-11-06,506000,979940,-6066,-12037,31765778,46.20%
2023-11-07,466000,642838,-79625,-49651,31704984,46.11%
2023-11-08,450000,380310,-30603,-2678,31653462,46.03%
2023-11-09,439500,354047,-61836,-14639,31642913,46.02%
2023-11-10,420000,387751,-39391,-69692,31561973,45.90%
2023-11-13,417000,277544,-13345,-29052,31543931,45.87%
2023-11-14,435000,373809,95442,-34647,31509047,45.82%
2023-11-15,448500,385615,37954,-23757,31512945,45.83%
2023-11-16,455000,243428,11795,1376,31515616,45.83%
2023-11-17,444000,216245,-2191,-43338,31473710,45.77%
2023-11-20,460500,237729,55117,-12390,31457711,45.75%
2023-11-21,466000,305803,38843,-18251,31432589,45.71%
2023-11-22,471500,214222,17580,-29367,31399713,45.66%
2023-11-23,475000,191498,20096,-26059,31370375,45.62%
2023-11-24,463000,250887,-11174,-51847,31309564,45.53%
2023-11-27,453500,206628,4916,-35745,31273564,45.48%
2023-11-28,455000,219732,33340,-65434,31207203,45.38%
2023-11-29,471500,245968,32406,4213,31204985,45.38%
2023-11-30,472000,383120,-12815,-12023,31193178,45.36%
2023-12-01,447000,436363,-83720,-115553,31089146,45.21%
2023-12-04,439500,471966,-17034,-90944,30998149,45.08%
2023-12-05,444000,193240,8983,-4142,31018517,45.11%
2023-12-06,433500,350012,-25318,-136517,30868897,44.89%
2023-12-07,443500,268573,18493,43533,30912851,44.95%
2023-12-08,450000,220251,11364,-260,30912851,44.95%
2023-12-11,446000,305967,-35986,-39138,30886158,44.92%
2023-12-12,445500,234611,-6877,13130,30896649,44.93%
2023-12-13,429500,311146,-51493,-115047,30744486,44.71%
2023-12-14,448500,484805,117340,-35996,30736474,44.70%
2023-12-15,452500,478586,5108,20364,30787728,44.77%
2023-12-18,451500,214655,-18577,-14729,30702610,44.65%
2023-12-19,450500,213617,11555,-20839,30685079,44.62%
2023-12-20,462000,308987,42934,33197,30742619,44.71%
2023-12-21,451000,243286,-33283,-76158,30728641,44.69%
2023-12-22,450500,166640,9407,4653,30794282,44.78%
2023-12-26,447000,141182,27851,-20508,30833691,44.84%
2023-12-27,455500,173135,909,27416,30858606,44.88%
2023-12-28,472000,301048,35151,75708,30931227,44.98%
2024-01-02,467000,195216,6379,-27516,30891732,44.92%
2024-01-03,446500,350254,-74596,-123944,30764746,44.74%
2024-01-04,445000,201870,-49344,-13374,30786454,44.77%
2024-01-05,445000,172950,-27733,-3694,30843933,44.85%
2024-01-08,436000,213935,-32483,-68082,30784653,44.77%
2024-01-09,432000,210683,-676,-56970,30760585,44.73%
2024-01-10,416500,562351,-78431,-220074,30564415,44.45%
2024-01-11,416500,331233,-8353,-33890,30584494,44.48%
2024-01-12,408000,369362,-29270,-45740,30619587,44.53%
2024-01-15,400000,337909,-5728,-36952,30582395,44.47%
2024-01-16,395000,312693,-26007,-85852,30495252,44.35%
2024-01-17,379000,511751,-14641,-108561,30386225,44.19%
2024-01-18,376500,477618,11617,-103768,30274224,44.03%
2024-01-19,374000,329271,-11831,-44942,30229149,43.96%
2024-01-22,358000,571765,16417,-109262,30129643,43.82%
2024-01-23,358500,533096,52930,-107878,30021776,43.66%
2024-01-24,354000,519692,4734,-133662,29888066,43.46%
2024-01-25,347500,436330,-2337,-42838,29873684,43.44%
2024-01-26,360500,597180,79801,-53373,29902544,43.49%
2024-01-29,379000,557298,30291,28291,29931128,43.53%
2024-01-30,374500,524836,24385,-44767,29885720,43.46%
2024-01-31,372500,352675,13756,-55869,29819094,43.36%
2024-02-01,377500,305271,-7794,-21101,29791962,43.32%
2024-02-02,393000,380372,55141,11467,29803556,43.34%
2024-02-05,387000,327198,-73261,-6318,29797333,43.33%
2024-02-06,374000,348821,-30101,-44226,29788572,43.32%
2024-02-07,382000,454296,71980,1221,29783927,43.31%
2024-02-08,385000,368228,-15705,-30594,29752804,43.27%
2024-02-13,391000,253552,39921,-9841,29743041,43.25%
2024-02-14,386500,205747,-16066,-24782,29707814,43.20%
2024-02-15,386000,258465,18702,-81657,29628127,43.09%
2024-02-16,404500,521244,82122,60376,29749521,43.26%
2024-02-19,394500,346748,-9271,-115381,29647846,43.12%
2024-02-20,395000,231525,-362,-10209,29638219,43.10%
2024-02-21,400000,178105,16066,-20875,29617659,43.07%
2024-02-22,395000,204188,-19588,-39575,29575407,43.01%
2024-02-23,388500,239275,-26695,-50207,29516519,42.92%
2024-02-26,391000,183001,-1679,9936,29523351,42.93%
2024-02-27,381000,260974,-1891,-85627,29437430,42.81%
2024-02-28,381500,191287,-1417,-12346,29426889,42.79%
2024-02-29,377000,246129,-38502,-3226,29423447,42.79%
2024-03-04,374500,302231,7727,-119017,29303591,42.61%
2024-03-05,366500,296735,-28235,-74489,29228732,42.51%
2024-03-06,364500,220362,-1344,-66352,29162374,42.41%
2024-03-07,412000,1771829,101228,150788,29313889,42.63%
2024-03-08,426000,1764503,129148,-57440,29257731,42.55%
2024-03-11,413500,533937,4228,-46062,29211773,42.48%
2024-03-12,459500,1470069,157128,-18316,29178580,42.43%
2024-03-13,459500,1060664,37608,-78235,29099840,42.32%
2024-03-14,446000,799779,-44645,-37168,29061469,42.26%
2024-03-15,425000,785190,-43416,-50130,29011632,42.19%
2024-03-18,444000,569305,61826,920,29012661,42.19%
2024-03-19,451000,655915,-25135,21472,29035727,42.23%
2024-03-20,453000,910857,4560,-13175,29021736,42.20%
2024-03-21,455500,537490,40556,-3430,29018566,42.20%
2024-03-22,472500,779394,69338,96555,29091611,42.31%
2024-03-25,486000,840495,28348,16212,29122845,42.35%
2024-03-26,473000,822461,26269,-75459,29066015,42.27%
