date,close,volume,inst_net,frgn_net,frgn_hold,frgn_rate
2023-10-23,22900,1314259,-94197,260169,6049321,9.56%
2023-10-24,24850,2114198,185393,-32172,5970940,9.44%
2023-10-25,24050,1551452,-92629,-99442,5808018,9.18%
2023-10-26,22600,1351598,-159008,325996,6186426,9.78%
2023-10-27,22500,1202226,-65185,98553,6344754,10.03%
2023-10-30,22600,795752,-50189,88238,6313665,9.98%
2023-10-31,21650,1488168,-31992,45995,6360954,10.06%
2023-11-01,21550,965734,-85499,109258,6470026,10.23%
2023-11-02,23900,2358561,132834,-155331,6331087,10.01%
2023-11-03,23700,1261462,14039,-107444,6163621,9.75%
2023-11-06,25800,2095337,102343,-39979,6160174,9.74%
2023-11-07,26750,4152331,239704,-430008,5726901,9.05%
2023-11-08,26500,2055124,44880,-164922,5570442,8.81%
2023-11-09,26000,1101120,945,-63797,5768636,9.12%
2023-11-10,27150,2200904,83032,-13467,5753436,9.10%
2023-11-13,25150,1662277,-113921,-77620,5676582,8.98%
2023-11-14,26900,1510063,22012,280538,5957948,9.42%
2023-11-15,31300,9975589,532845,324554,6293361,9.95%
2023-11-16,31750,4655857,108473,-78886,6218070,9.83%
2023-11-17,30950,2655596,-88265,18211,6166887,9.75%
2023-11-20,31150,2566315,-76127,-159303,6009675,9.50%
2023-11-21,32300,4750178,177630,-197843,5862020,9.27%
2023-11-22,31800,2802563,-89140,-201083,5782408,9.14%
2023-11-23,29450,3157540,-371358,-245135,5536052,8.75%
2023-11-24,29450,1720681,-19197,72731,5614199,8.88%
2023-11-27,29300,2223156,14945,129463,5740756,9.08%
2023-11-28,30350,1939326,20030,141563,5867052,9.28%
2023-11-29,29800,1207402,-2818,-34097,5833671,9.22%
2023-11-30,30350,2007440,41990,-77999,5757199,9.10%
2023-12-01,28950,1674155,-50779,-117217,5637267,8.91%
2023-12-04,28000,1489240,-11815,194961,5830330,9.22%
2023-12-05,26550,1853376,-190099,209836,6044555,9.56%
2023-12-06,26750,1111859,-43156,-52176,5994500,9.48%
2023-12-07,26900,1218776,120326,-29637,5965887,9.43%
2023-12-08,29000,2928660,293599,229161,5973117,9.44%
2023-12-11,29200,1653733,226010,-198505,6002080,9.49%
2023-12-12,29100,1261473,197269,-163404,5840963,9.24%
2023-12-13,29900,2836004,225481,-37579,5804698,9.18%
2023-12-14,30200,1960044,338546,-164395,5577988,8.82%
2023-12-15,29950,1685971,238609,-120731,5451288,8.62%
2023-12-18,31350,2591721,320995,220068,5653916,8.94%
2023-12-19,31800,3405543,233602,-104070,5535835,8.75%
2023-12-20,31550,1323223,62058,-33282,5491809,8.68%
2023-12-21,31050,1496111,-51210,-5043,5498965,8.69%
2023-12-22,29400,1951948,-55572,-212577,5292920,8.37%
2023-12-26,28600,1386351,-12673,62311,5360869,8.48%
2023-12-27,29450,1065525,6103,-22810,5391743,8.53%
2023-12-28,29450,721376,-10583,-38131,5350373,8.46%
