date,close,volume,inst_net,frgn_net,frgn_hold,frgn_rate
2023-10-23,55400,869614,56008,3101,5175621,10.00%
2023-10-24,55600,1827014,154043,-35260,5093609,9.84%
2023-10-25,54800,972023,59432,-175025,4893476,9.45%
2023-10-26,58800,2811004,103457,-238089,4671582,9.02%
2023-10-27,60000,1745035,97260,-240775,4680975,9.04%
2023-10-30,62200,1625594,98708,-106421,4533493,8.76%
2023-10-31,62400,1029512,7070,-65802,4516308,8.72%
2023-11-01,62800,860826,116327,-72184,4492867,8.68%
2023-11-02,68200,1753990,39981,102871,4609409,8.90%
2023-11-03,68800,1056110,28048,-114117,4495487,8.68%
2023-11-06,71900,1674574,-13459,132496,4624876,8.93%
2023-11-07,70600,1226612,-56010,77176,4680556,9.04%
2023-11-08,65500,5031530,-65853,17806,4757743,9.19%
2023-11-09,62200,1412157,-51125,69637,4824155,9.32%
2023-11-10,64700,1297988,50779,5785,4862326,9.39%
2023-11-13,61500,637032,1855,56251,4911200,9.49%
2023-11-14,65500,818109,31185,59029,4970472,9.60%
2023-11-15,72300,1495398,43505,134584,5080394,9.81%
2023-11-16,70100,755145,-28197,-42734,5034644,9.72%
2023-11-17,69200,732120,-23287,-53619,4946480,9.55%
2023-11-20,67900,508243,19372,12752,4926912,9.52%
2023-11-21,71700,1030144,15429,86126,5012828,9.68%
2023-11-22,73500,1723789,-18452,13847,5068112,9.79%
2023-11-23,73100,678399,-18686,32256,5046308,9.75%
2023-11-24,74100,1002745,-886,-280,5001103,9.66%
2023-11-27,73100,602531,651,14109,5020334,9.70%
2023-11-28,79000,1903038,99996,266057,5379676,10.39%
2023-11-29,78600,2006220,68172,119279,5497154,10.62%
2023-11-30,80000,585816,-896,32861,5464765,10.56%
2023-12-01,82600,1094026,45742,82207,5569793,10.76%
2023-12-04,78500,827085,32420,-84641,5481541,10.59%
2023-12-05,74500,1113788,-16441,96732,5501756,10.63%
2023-12-06,73600,546222,33420,-51686,5426374,10.48%
2023-12-07,73400,594523,38819,-25327,5358520,10.35%
2023-12-08,73900,720512,36574,12217,5428520,10.49%
2023-12-11,72700,393758,3997,-20842,5398447,10.43%
2023-12-12,72100,460173,-14324,-4767,5293625,10.23%
2023-12-13,69600,678198,-12751,81040,5328141,10.29%
2023-12-14,69400,811450,61439,-18221,5263899,10.17%
