date,close,volume,inst_net,frgn_net,frgn_hold,frgn_rate
2023-11-17,57200,40145574,-2316610,-2392005,520397,0.76%
2023-11-20,74300,9254377,-76602,35761,562441,0.82%
2023-11-21,96500,16373917,-170643,-107571,448059,0.66%
2023-11-22,91200,14743137,-103602,-123157,312344,0.46%
2023-11-23,99100,7749291,-19231,103728,427477,0.63%
2023-11-24,99100,4624663,-43903,-84835,348952,0.51%
2023-11-27,124600,12950817,42741,463304,808752,1.19%
2023-11-28,133000,8556058,10499,-305261,497464,0.73%
2023-11-29,136500,9396619,5656,-82824,414006,0.61%
2023-11-30,137000,2990214,7482,-9102,408633,0.60%
2023-12-01,136400,2075076,-12419,649,409931,0.60%
2023-12-04,137500,2831258,20854,2675,411171,0.60%
2023-12-05,131800,1776760,-37709,-3265,409543,0.60%
2023-12-06,121700,2385104,-566,2679,412968,0.61%
2023-12-07,127000,3509075,22049,46794,439151,0.64%
2023-12-08,134400,3798928,66454,108140,439151,0.64%
2023-12-11,140200,2978251,106362,48799,612801,0.90%
2023-12-12,140400,1665699,83771,27685,640483,0.94%
2023-12-13,140500,1273230,32000,49116,689898,1.01%
2023-12-14,140500,1979256,155430,-143534,550658,0.81%
2023-12-15,169000,10527968,577842,-8288,544086,0.80%
2023-12-18,213000,9396125,182886,232248,774134,1.13%
2023-12-19,205500,4131277,-11980,-135682,637399,0.93%
2023-12-20,205000,2029032,-1070,-1133,636870,0.93%
2023-12-21,198900,1172815,-10843,19378,654428,0.96%
2023-12-22,188500,1806021,19893,-11592,641959,0.93%
2023-12-26,175800,1346763,44277,42813,683361,0.99%
2023-12-27,171600,2251525,24590,-105501,574765,0.83%
2023-12-28,188500,3733300,82420,28921,604712,0.88%
2024-01-02,199900,1456489,7417,124850,730943,1.06%
2024-01-03,206000,1415030,-36435,52264,784676,1.14%
2024-01-04,213000,1266301,-585,29977,815962,1.18%
2024-01-05,201000,4721579,-42402,-11372,803541,1.16%
2024-01-08,216000,2475378,50176,123126,925694,1.34%
2024-01-09,220500,2185045,80363,102749,1029182,1.49%
2024-01-10,240000,3096010,158303,216622,1221848,1.77%
2024-01-11,231000,2594482,206331,-376983,813426,1.18%
2024-01-12,230500,1053992,42226,631,815417,1.18%
2024-01-15,216500,1247839,71623,-103286,710757,1.03%
2024-01-16,223500,1292167,63870,58353,768551,1.11%
2024-01-17,226500,961362,123522,31291,797935,1.16%
2024-01-18,215500,807242,59186,-54538,744043,1.08%
2024-01-19,216500,1565348,85602,-17959,729555,1.06%
2024-01-22,192000,1360571,-25481,29602,759472,1.10%
2024-01-23,170000,2370339,-14743,131741,893492,1.30%
2024-01-24,173000,1795752,-13157,-111559,780862,1.13%
2024-01-25,157100,2072291,4953,100750,880146,1.28%
2024-01-26,159700,2352915,31803,49978,929731,1.35%
2024-01-29,144300,1633449,-11944,-23554,905708,1.31%
2024-01-30,145100,2192952,-56338,28899,933395,1.35%
2024-01-31,149400,1014112,2533,-22771,911662,1.32%
2024-02-01,173600,2487279,189893,-109126,803991,1.17%
2024-02-02,176000,1597108,61795,-5675,797439,1.16%
2024-02-05,165200,1013801,-8214,-60960,736700,1.07%
2024-02-06,159200,1410165,-846,-10060,728207,1.06%
2024-02-07,165500,1791531,46421,22484,724358,1.05%
2024-02-08,171900,1336069,131219,65832,790134,1.15%
2024-02-13,209500,3457333,108333,147287,944996,1.37%
2024-02-14,200000,1945642,85691,-50364,892465,1.29%
2024-02-15,200500,1180513,59987,62057,955448,1.39%
2024-02-16,198600,705346,59990,-11040,943946,1.37%
2024-02-19,187600,869252,-119086,29807,975563,1.41%
2024-02-20,190400,1293694,28661,36892,1005639,1.46%
2024-02-21,188100,798663,16791,31709,1032399,1.50%
2024-02-22,194900,1316223,28410,46066,1052344,1.53%
2024-02-23,202000,922796,15570,66468,1112839,1.61%
2024-02-26,190600,1004062,-46489,-63775,1071090,1.55%
2024-02-27,191000,1232077,54145,70355,1141451,1.65%
2024-02-28,189400,784473,-14465,-3525,1137230,1.65%
2024-02-29,193100,2205534,-212729,304498,1442104,2.09%
2024-03-04,180700,1143650,-83209,-3708,1437034,2.08%
2024-03-05,167500,1035716,-55171,59509,1496352,2.17%
2024-03-06,162300,748725,-65861,15650,1511234,2.19%
2024-03-07,163000,555060,13226,6123,1516957,2.20%
