security_id,ticker,name,sector,price,market_cap_eok,listed_shares,float_shares,float_ratio,float_market_cap_eok
KRX:005930,005930,삼성전자,업종 원천 미연결,255500,14937242,5846279000,4415596000,75.5,11277617.71
KRX:000660,000660,SK하이닉스,업종 원천 미연결,1647000,12031209,730492000,543154000,74.4,8951219.496
KRX:402340,402340,SK스퀘어,업종 원천 미연결,1041000,1373329,131924000,89272000,67.7,929743.733
KRX:009150,009150,삼성전기,업종 원천 미연결,1401000,1046459,74694000,54938000,73.6,770193.824
KRX:373220,373220,LG에너지솔루션,업종 원천 미연결,358500,838890,234000000,47474000,20.3,170294.67
KRX:005380,005380,현대차,업종 원천 미연결,383500,785246,204758000,134229000,65.6,515121.376
KRX:207940,207940,삼성바이오로직스,업종 원천 미연결,1447000,669830,46291000,11800000,25.5,170806.65
KRX:105560,105560,KB금융,업종 원천 미연결,172000,610063,354688000,284758000,80.3,489880.589
KRX:028260,028260,삼성물산,업종 원천 미연결,367000,595155,162168000,99923000,61.6,366615.48
KRX:032830,032830,삼성생명,업종 원천 미연결,297500,595000,200000000,91444000,45.7,271915.0
KRX:012450,012450,한화에어로스페이스,업종 원천 미연결,1055000,543994,51563000,32308000,62.7,341084.238
KRX:055550,055550,신한지주,업종 원천 미연결,110300,517804,469450000,373800000,79.6,412171.984
KRX:034020,034020,두산에너빌리티,업종 원천 미연결,79200,507324,640561000,441271000,68.9,349546.236
KRX:000270,000270,기아,업종 원천 미연결,126500,493872,390413000,235102000,60.2,297310.944
KRX:329180,329180,HD현대중공업,업종 원천 미연결,436500,458156,104961000,32167000,30.7,140653.892
KRX:006400,006400,삼성SDI,업종 원천 미연결,548000,441609,80586000,58018000,72.0,317958.48
KRX:068270,068270,셀트리온,업종 원천 미연결,188100,437553,232617000,151750000,65.2,285284.556
KRX:034730,034730,SK,업종 원천 미연결,573000,415440,72503000,36111000,49.8,206889.12
KRX:012330,012330,현대모비스,업종 원천 미연결,422000,379043,89821000,58596000,65.2,247136.036
KRX:086790,086790,하나금융지주,업종 원천 미연결,134300,368476,274368000,236586000,86.2,317626.312
KRX:066570,066570,LG전자,업종 원천 미연결,201500,328213,162885000,104747000,64.3,211040.959
KRX:035420,035420,NAVER,업종 원천 미연결,213500,324683,152076000,136814000,90.0,292214.7
KRX:000810,000810,삼성화재,업종 원천 미연결,663000,296013,44647000,31063000,69.6,206025.048
KRX:010120,010120,LS ELECTRIC,업종 원천 미연결,195300,292950,150000000,76103000,50.7,148525.65
