date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2025-11-03,58900,223.4,-2.4,57.7,-55.8,-62.2,-0.3,5.4,0.0,0.0,1.9,-0.6,0.0,0.7,-0.2
2025-11-04,59000,266.5,-35.4,19.5,14.7,11.9,-0.2,4.3,0.0,0.0,0.3,-1.6,0.0,1.2,0.1
2025-11-05,56000,296.8,5.0,-57.2,55.4,73.8,-10.0,-4.2,0.0,0.0,-1.9,-2.4,0.0,-3.1,-0.1
2025-11-06,55600,221.0,-5.9,63.6,-57.9,23.3,-1.7,-78.9,-0.0,0.0,2.4,-2.9,0.0,0.1,0.1
2025-11-07,53400,190.1,19.8,-27.8,7.1,10.5,-0.1,-4.1,0.0,0.0,3.2,-2.5,0.0,0.8,0.1
2025-11-10,61800,1939.8,-208.5,192.0,19.7,8.9,-0.8,6.3,0.0,0.0,1.4,3.9,0.0,-2.7,-0.4
2025-11-11,69100,3549.3,-302.4,274.8,59.5,-9.1,1.9,27.0,-0.1,0.0,17.9,21.9,0.0,-32.4,0.5
2025-11-12,71500,1204.9,-183.6,168.9,13.3,31.8,0.8,11.8,0.0,0.0,7.7,-38.8,0.0,0.3,1.2
2025-11-13,67500,846.5,134.5,12.0,-148.3,17.0,7.3,-8.2,0.0,0.0,-58.9,-105.5,0.0,3.1,-1.3
2025-11-14,67600,783.7,-128.7,52.5,78.2,61.0,0.8,-26.2,0.5,0.2,32.8,9.1,0.0,-1.6,-0.5
2025-11-17,70400,1213.0,-49.4,24.6,10.4,23.9,0.6,63.3,-0.0,0.0,-4.8,-72.6,0.0,14.4,-0.0
2025-11-18,67500,450.7,-5.0,34.0,-24.7,31.8,0.8,-33.2,0.0,0.0,5.5,-29.7,0.0,-3.7,-0.5
2025-11-19,65700,319.4,-17.8,52.7,-34.2,12.5,1.8,-53.1,-0.1,0.0,1.9,2.9,0.0,-0.8,0.1
2025-11-20,66400,306.1,-1.5,-28.2,28.5,21.4,0.2,4.6,0.0,0.0,1.2,1.1,0.0,1.4,-0.2
2025-11-21,61900,332.9,-2.2,28.6,-29.5,48.3,-4.8,-50.0,0.0,0.0,-4.9,-18.0,0.0,2.5,0.6
2025-11-24,60800,220.3,-6.5,24.7,-18.4,-2.5,0.0,-3.1,0.0,0.0,1.1,-13.8,0.0,0.7,-0.5
2025-11-25,61900,164.3,-7.8,5.7,0.4,4.7,0.1,-6.0,0.0,0.0,-0.5,2.2,0.0,1.6,0.1
2025-11-26,61900,175.8,28.4,-7.4,-23.4,4.1,-3.7,-0.8,0.0,0.0,-21.6,-1.2,0.0,2.3,0.0
2025-11-27,63600,248.4,-25.7,-57.9,86.2,23.0,0.1,51.4,0.0,0.0,-4.6,16.3,0.0,-2.3,-0.2
2025-11-28,63600,215.1,2.4,-38.0,38.7,8.9,0.0,34.2,0.0,0.0,-0.9,-3.5,0.0,-2.8,-0.3
2025-12-01,64500,304.2,3.2,0.8,-3.4,-4.4,-0.1,7.1,0.0,0.0,-2.0,-4.1,0.0,-0.7,0.1
2025-12-02,65000,168.2,-11.2,7.9,4.6,1.5,-1.0,2.8,0.0,0.0,2.7,-1.4,0.0,-1.2,-0.1
2025-12-03,65600,192.7,-36.7,43.9,-7.0,-11.8,3.0,3.9,0.0,0.0,0.0,-2.1,0.0,-0.3,0.1
2025-12-04,64400,232.2,11.2,30.1,-42.1,13.9,-3.3,-29.4,0.0,0.0,-9.3,-14.0,0.0,0.9,0.0
2025-12-05,64800,132.4,-18.0,14.2,4.2,-2.7,-0.0,-3.7,0.0,0.0,11.8,-1.3,0.0,-0.4,0.0
2025-12-08,66100,203.5,-32.2,11.5,24.1,-17.8,-0.0,44.6,0.0,0.0,1.4,-4.0,0.0,-3.5,0.1
2025-12-09,64900,219.1,44.5,-34.2,-11.2,1.2,-0.1,-11.1,0.0,0.0,-1.7,0.6,0.0,0.9,0.0
2025-12-10,66200,308.7,-44.6,33.0,8.2,-11.3,-1.4,13.8,0.0,0.0,2.4,4.7,0.0,3.4,0.0
2025-12-11,66500,264.1,-37.4,-18.1,46.2,9.7,7.4,6.8,0.0,0.0,22.4,-0.1,0.0,8.6,0.8
2025-12-12,67600,260.1,-53.8,-4.3,64.4,7.7,1.0,14.9,0.0,0.0,32.2,8.7,0.0,-5.8,-0.5
