date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2024-03-04,6450,10.7,3.5,-3.4,-0.2,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2024-03-05,6660,18.2,0.6,0.6,0.1,0.1,0.0,0.0,0.0,0.0,-0.1,0.1,0.0,-1.2,0.0
2024-03-06,6720,18.8,-0.9,0.7,0.3,0.0,0.0,0.3,0.0,0.0,-0.0,0.0,0.0,-0.1,0.0
2024-03-07,6420,17.1,3.8,-4.0,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,6600,16.4,-1.9,4.6,-3.9,-1.0,0.0,-0.0,0.0,0.0,0.0,-2.9,0.0,1.2,0.0
2024-03-11,6640,19.5,2.3,1.8,-4.0,-0.0,0.0,-0.6,0.0,0.0,0.1,-3.5,0.0,-0.1,0.0
2024-03-12,6500,16.1,7.1,-3.0,-4.1,-0.0,0.0,-0.3,0.0,0.0,0.0,-3.8,0.0,0.0,0.0
2024-03-13,6470,13.8,3.1,0.8,-4.0,-0.0,0.0,0.2,0.0,0.0,0.0,-4.2,0.0,0.0,0.0
2024-03-14,6430,15.1,4.5,-1.9,-2.6,-0.0,0.0,-0.0,0.0,0.0,0.0,-2.6,0.0,0.1,0.0
2024-03-15,6390,7.7,1.8,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,6480,9.7,-1.8,1.8,-0.3,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.3,0.0
2024-03-19,6350,14.7,5.0,-5.1,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2024-03-20,6540,38.2,-5.5,5.3,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.0
2024-03-21,6520,12.8,0.7,-0.3,-0.4,0.0,0.0,0.0,0.0,0.0,-0.4,-0.0,0.0,0.0,0.0
2024-03-22,6700,41.9,-5.7,5.5,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.2
2024-03-25,7290,887.6,25.2,-25.3,1.2,-0.0,0.0,0.0,0.0,0.0,2.0,-0.8,0.0,-0.5,-0.6
2024-03-26,7150,151.7,-9.2,9.2,-0.1,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.2,-0.1
2024-03-27,7300,574.2,31.8,-31.2,-4.3,-3.1,0.0,0.0,0.0,0.0,0.7,-1.9,0.0,-0.1,3.9
2024-03-28,7090,304.5,-9.9,11.2,-1.7,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1
2024-03-29,6660,94.5,6.1,-3.1,-2.7,0.0,0.0,0.0,0.0,0.0,-2.7,0.0,0.0,0.0,-0.3
2024-04-01,6710,36.4,-5.0,6.0,-0.9,0.0,0.0,0.0,0.0,0.0,-0.9,-0.0,0.0,0.0,-0.0
2024-04-02,6460,34.3,7.6,-7.8,0.0,0.1,0.0,-0.0,0.0,0.0,-0.1,0.0,0.0,0.2,0.1
2024-04-03,6420,19.2,-0.1,-0.4,-0.1,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.2,0.4
2024-04-04,6350,15.6,3.9,-4.1,0.0,0.1,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.2,0.0
2024-04-05,6210,19.0,2.2,-2.1,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-08,6030,20.8,0.1,-0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
2024-04-09,6030,9.0,1.8,-1.9,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-11,5970,19.3,6.2,-2.8,-0.2,-0.2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3
