date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2024-01-02,352000,1181.4,114.3,-24.7,-90.6,-62.8,-1.6,-3.0,-0.0,0.0,-16.9,-6.2,0.0,2.2,-1.1
2024-01-03,332000,1916.7,-232.0,171.3,70.7,15.1,4.3,11.9,-0.3,0.0,45.9,-6.1,0.0,-9.3,-0.7
2024-01-04,330500,1441.3,-50.4,149.3,-102.9,-38.4,-2.6,-45.2,0.0,0.2,-14.6,-2.2,0.0,6.3,-2.4
2024-01-05,343000,2042.6,-102.0,119.5,-15.8,-27.9,-3.4,35.5,0.0,0.1,-4.8,-15.3,0.0,-3.2,1.6
2024-01-08,330500,1609.0,388.8,-170.8,-215.4,-44.2,-30.1,-11.3,-1.9,-0.2,-95.9,-31.9,0.0,-4.0,1.4
2024-01-09,327500,836.8,2.2,-22.6,17.9,11.9,-3.8,-9.8,0.0,0.0,19.8,-0.1,0.0,2.2,0.3
2024-01-10,320500,1057.5,-42.5,87.0,-27.9,11.6,-4.5,-10.8,0.0,0.0,-32.7,8.6,0.0,0.9,-17.4
2024-01-11,322500,1477.1,-81.2,92.5,-6.2,57.8,3.9,-77.5,0.0,-1.0,4.3,6.3,0.0,-3.6,-1.6
2024-01-12,314000,1452.8,8.8,10.0,-7.6,8.6,-5.7,-18.7,0.0,0.2,0.7,7.3,0.0,-10.8,-0.4
2024-01-15,306000,1121.4,-58.7,142.0,-90.4,-3.9,-10.2,-17.7,0.0,0.1,-57.7,-1.1,0.0,7.9,-0.8
2024-01-16,303500,1070.4,74.0,57.7,-132.4,-1.8,-2.3,-128.0,-0.1,-0.0,9.8,-10.1,0.0,1.0,-0.3
2024-01-17,288500,1469.3,143.4,22.7,-160.8,-25.5,-5.2,-44.4,-0.3,0.3,-86.1,0.6,0.0,-5.2,-0.2
2024-01-18,284500,1492.7,32.6,88.8,-134.8,-31.4,-0.6,-11.5,0.0,0.2,-81.0,-10.5,0.0,11.3,2.1
2024-01-19,278500,1371.7,51.8,110.1,-168.2,-25.3,-8.7,-94.4,0.0,0.0,-34.5,-5.3,0.0,5.5,0.8
2024-01-22,263000,1795.4,-185.7,152.6,36.7,34.1,-13.1,-11.3,-0.1,0.1,26.9,0.0,0.0,1.1,-4.8
2024-01-23,265500,1421.3,-153.0,45.7,104.0,44.1,-3.8,-0.2,-0.0,0.0,63.9,0.1,0.0,0.9,2.4
2024-01-24,261000,1163.5,119.0,-60.2,-64.5,-7.4,-14.2,-26.7,0.0,-0.1,-11.9,-4.2,0.0,5.2,0.4
2024-01-25,251000,1536.4,-78.9,213.6,-142.3,28.4,-12.3,-28.2,0.0,0.0,-130.1,-0.1,0.0,8.6,-1.0
2024-01-26,267000,1824.3,-87.8,55.8,36.9,-28.8,10.6,3.2,0.4,0.1,32.6,18.9,0.0,-6.0,1.0
2024-01-29,258000,1465.5,122.1,-109.8,-2.4,-23.9,-5.5,-16.7,0.0,0.0,49.1,-5.3,0.0,-4.4,-5.5
2024-01-30,254000,1554.2,-38.1,74.3,-31.1,-31.1,-3.5,-12.8,0.0,0.0,14.6,1.6,0.0,-4.4,-0.6
2024-01-31,253500,793.1,-25.4,-0.0,26.3,-23.6,-1.4,2.6,0.0,-0.0,48.0,0.8,0.0,-1.3,0.4
2024-02-01,260000,1774.1,124.8,-141.8,12.3,33.3,-9.2,-17.6,0.3,-0.0,7.3,-1.7,0.0,2.9,1.8
2024-02-02,264500,1189.8,-82.2,-31.5,123.7,64.3,14.4,15.9,0.6,0.0,33.3,-4.9,0.0,-9.3,-0.7
2024-02-05,265000,872.2,-14.8,-43.2,57.2,-44.3,8.2,8.7,1.0,0.1,86.5,-2.9,0.0,1.1,-0.3
2024-02-06,260000,792.2,-6.4,-1.1,11.8,24.2,-7.0,-3.3,-0.0,0.0,7.5,-9.6,0.0,-2.1,-2.1
2024-02-07,269000,2144.8,-110.9,69.4,43.8,12.2,4.6,6.7,0.1,0.0,21.2,-1.0,0.0,-2.8,0.5
2024-02-08,282500,1874.7,-222.2,20.9,209.4,-27.9,14.4,49.4,0.0,2.5,166.4,4.6,0.0,-9.9,1.9
2024-02-13,276000,1350.7,250.8,-291.7,38.5,0.1,-3.5,-19.5,0.0,3.1,59.1,-0.8,0.0,3.9,-1.6
2024-02-14,285500,1541.0,-214.3,110.2,102.5,-43.8,2.1,5.7,0.0,0.0,145.4,-6.9,0.0,1.1,0.4
2024-02-15,300500,2282.1,-92.4,22.8,73.8,-92.5,-11.1,25.7,0.0,-2.1,202.1,-48.3,0.0,-4.5,0.4
2024-02-16,303000,1678.4,-130.6,-89.0,228.3,5.7,4.7,35.5,0.2,-2.6,182.4,2.4,0.0,-8.4,-0.3
2024-02-19,296500,1127.4,-17.8,-67.5,80.9,6.6,-2.8,-8.3,0.0,-1.6,100.0,-12.9,0.0,5.4,-1.0
2024-02-20,304500,1765.0,-333.9,238.5,98.2,-19.1,5.8,-32.6,-0.7,0.0,149.7,-5.0,0.0,-1.3,-1.5
2024-02-21,307500,1295.7,-97.2,-17.1,109.7,-19.2,13.4,-35.6,-0.0,0.0,148.3,2.9,0.0,0.8,3.8
2024-02-22,305500,1232.2,7.2,-139.2,134.1,17.1,11.1,-22.1,0.0,0.0,129.5,-1.5,0.0,-1.4,-0.7
2024-02-23,314500,1553.9,-262.8,74.4,192.4,24.3,4.4,18.2,0.0,-0.0,147.5,-2.0,0.0,-1.0,-3.0
2024-02-26,318000,1169.6,-67.1,-78.8,141.5,-12.8,5.7,13.8,0.0,0.1,134.8,-0.1,0.0,4.2,0.2
2024-02-27,309500,1421.4,-118.8,49.8,70.5,-24.6,5.4,12.2,0.0,0.0,78.3,-0.9,0.0,0.2,-1.6
2024-02-28,313000,1291.1,57.0,-108.5,50.7,-45.3,1.0,7.5,0.2,0.2,87.4,-0.4,0.0,1.8,-1.0
2024-02-29,317000,964.0,-152.5,48.9,95.4,-19.1,2.4,-43.7,-1.1,6.3,157.6,-6.9,0.0,8.0,0.1
2024-03-04,334500,1841.3,-480.0,124.4,377.6,127.5,14.8,30.1,-0.3,-0.2,195.3,10.3,0.0,-20.0,-2.0
2024-03-05,317000,1651.4,368.0,-141.7,-228.4,-83.1,-11.9,-54.0,0.0,-5.3,-73.4,-0.6,0.0,-0.3,2.5
2024-03-06,310000,1012.0,190.3,-107.5,-86.8,-51.3,-8.8,-22.4,-0.3,0.0,3.4,-7.3,0.0,3.2,0.8
2024-03-07,316500,1063.5,-84.4,25.4,50.8,-29.6,-3.2,37.9,0.0,0.0,49.5,-3.8,0.0,4.7,3.5
2024-03-08,320500,994.0,-250.8,99.0,166.5,56.3,0.4,10.3,-0.2,0.0,95.8,4.0,0.0,-13.9,-0.8
2024-03-11,317000,680.2,-20.3,-34.4,56.2,4.5,-1.1,-3.2,0.0,0.0,56.1,-0.1,0.0,-1.5,-0.0
2024-03-12,336000,1738.1,-636.0,180.5,436.3,198.4,20.4,52.3,3.3,-0.1,104.9,57.1,0.0,21.6,-2.4
2024-03-13,334500,1259.3,91.7,-131.0,51.7,22.8,-4.2,-42.8,0.0,0.0,77.6,-1.7,0.0,-12.5,0.1
2024-03-14,323500,2068.5,492.2,247.8,-742.3,15.6,23.9,-767.1,-0.1,0.0,58.0,-72.7,0.0,-0.4,2.6
2024-03-15,316500,1091.0,184.2,-62.6,-121.4,-63.4,-16.9,-30.1,0.0,0.0,-6.7,-4.2,0.0,-2.1,1.9
2024-03-18,322000,936.4,-161.5,53.0,63.1,17.3,-8.4,-36.8,0.4,0.0,88.8,1.7,0.0,44.6,0.8
2024-03-19,321500,920.8,29.9,-11.5,-17.9,-20.6,1.8,-14.2,0.0,0.0,15.1,0.0,0.0,0.8,-1.3
2024-03-20,315500,768.2,137.4,-80.2,-57.6,5.3,-0.4,-12.0,0.0,0.1,-48.8,-1.8,0.0,1.1,-0.7
2024-03-21,318500,899.8,-125.4,95.6,32.9,64.2,-5.9,-13.7,-1.1,1.0,-9.4,-2.3,0.0,-3.6,0.5
2024-03-22,318500,639.9,81.4,-20.4,-82.4,-30.4,-5.2,-9.4,0.0,0.0,-36.7,-0.7,0.0,20.1,1.4
2024-03-25,320500,887.4,-74.2,79.1,-4.3,-28.0,-1.2,2.5,0.0,0.0,20.3,2.0,0.0,-0.2,-0.4
2024-03-26,314500,1017.4,210.4,-66.9,-140.7,-12.5,-4.7,-30.4,-0.1,-0.9,-78.9,-13.1,0.0,-5.4,2.5
2024-03-27,312000,813.2,-21.0,45.1,-20.6,17.8,-11.6,-7.4,0.0,0.1,-19.6,0.2,0.0,-3.6,0.1
2024-03-28,302500,1053.9,216.1,-100.3,-113.8,-24.3,-5.5,-33.1,-4.7,0.0,-32.6,-13.7,0.0,-3.3,1.4
2024-03-29,303500,825.4,-19.6,18.9,-8.0,-0.9,-6.9,-0.5,-0.1,-0.1,0.0,0.6,0.0,7.7,1.0
2024-04-01,296000,761.5,-8.2,-44.7,51.1,21.0,-0.9,-1.4,-0.0,0.0,30.3,2.2,0.0,2.1,-0.3
2024-04-02,287000,949.2,-48.0,119.8,-71.0,1.2,-21.6,-15.2,-0.3,0.0,-34.8,-0.2,0.0,-1.4,0.5
2024-04-03,271000,1139.8,87.5,18.7,-107.9,-8.0,-7.5,-36.4,-2.7,0.0,-49.9,-3.4,0.0,0.6,1.1
2024-04-04,274500,788.3,6.5,54.6,-62.8,-12.1,-5.6,-2.6,0.0,0.1,-40.0,-2.5,0.0,2.8,-1.0
2024-04-05,267000,570.1,121.5,11.0,-136.9,-44.0,-1.7,-21.3,0.0,0.2,-68.8,-1.3,0.0,2.9,1.6
2024-04-08,281500,1478.5,-206.4,96.6,114.2,83.5,3.2,15.1,-0.3,0.7,10.6,1.4,0.0,-3.6,-0.8
2024-04-09,280000,1072.5,92.8,-62.0,-32.4,14.1,7.4,16.1,0.0,0.1,-79.2,9.1,0.0,0.5,1.1
2024-04-11,282500,737.7,36.6,-16.4,-21.6,25.2,6.5,-18.4,0.0,-0.0,-51.8,17.0,0.0,1.4,-0.1
2024-04-12,268000,1027.9,451.5,-239.4,-220.3,-95.0,-4.7,-38.5,-0.1,0.0,-69.6,-12.4,0.0,6.5,1.8
2024-04-15,264000,665.4,-33.5,32.5,2.8,11.0,-0.9,17.5,0.0,0.0,-23.6,-1.2,0.0,-1.2,-0.7
2024-04-16,257000,882.3,-50.1,174.4,-122.2,-26.9,-0.6,-17.9,0.0,0.1,-75.3,-1.6,0.0,1.8,-3.9
2024-04-17,249000,771.1,190.0,-78.3,-111.7,-16.8,-8.8,-6.2,0.0,0.0,-78.6,-1.3,0.0,-0.6,0.6
2024-04-18,258500,932.6,-19.8,81.4,-65.7,-38.5,9.6,-2.8,0.0,-0.1,-33.9,0.0,0.0,4.6,-0.5
2024-04-19,253500,693.9,95.6,-11.2,-87.9,-61.0,-1.7,0.2,0.0,0.0,-22.2,-3.2,0.0,2.1,1.4
2024-04-22,277000,1364.1,-254.2,166.5,100.7,37.1,9.2,9.3,0.0,0.0,33.2,11.8,0.0,-9.0,-4.0
2024-04-23,275000,894.7,145.8,-95.2,-55.7,8.2,-3.0,-4.0,0.0,0.1,-55.1,-1.7,0.0,4.0,1.1
2024-04-24,297000,2446.2,-247.3,107.6,137.0,-46.6,7.6,31.2,2.0,0.2,142.4,0.4,0.0,3.5,-0.8
2024-04-25,280500,1612.2,488.4,-235.4,-262.0,-129.8,-8.5,-4.2,0.0,0.1,-92.1,-27.4,0.0,7.7,1.3
2024-04-26,281000,1063.5,130.7,-56.7,-73.4,2.0,-30.9,31.2,1.4,0.0,-52.9,-24.2,0.0,1.1,-1.8
2024-04-29,286000,904.4,-107.7,137.1,-28.3,32.1,-5.4,-1.0,0.0,0.0,-59.4,5.3,0.0,-0.8,-0.3
