date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2024-01-02,467000,910.9,364.5,-162.8,-204.5,-120.5,-4.4,-38.1,-4.4,0.1,-32.2,-5.0,0.0,1.8,1.0
2024-01-03,446500,1581.9,-219.7,275.1,-53.3,-50.3,-0.5,-8.7,0.3,-0.3,13.3,-7.1,0.0,0.6,-2.7
2024-01-04,445000,895.8,265.7,-60.2,-218.7,-122.5,-11.3,4.8,0.6,-0.2,-79.9,-10.3,0.0,12.2,1.0
2024-01-05,445000,770.6,150.1,-17.5,-123.6,-56.0,-5.1,-0.8,0.0,-0.4,-45.6,-15.6,0.0,-10.2,1.2
2024-01-08,436000,938.8,434.1,-300.1,-142.2,-38.2,-8.0,-14.6,0.4,0.1,-56.0,-26.0,0.0,7.0,1.2
2024-01-09,432000,919.2,249.2,-248.6,-2.5,50.5,-0.8,-20.2,0.0,-1.5,-25.0,-5.5,0.0,1.1,0.6
2024-01-10,416500,2355.9,1253.2,-927.1,-327.3,-11.9,-29.8,-65.6,1.2,0.1,-197.7,-23.6,0.0,-2.6,3.9
2024-01-11,416500,1385.2,172.9,-144.0,-34.3,-122.5,5.2,95.6,1.2,0.0,2.2,-16.1,0.0,3.1,2.2
2024-01-12,408000,1512.3,313.8,-187.7,-119.5,-19.1,-9.1,-32.0,-4.9,5.7,-56.1,-4.0,0.0,-6.8,0.1
2024-01-15,400000,1350.9,170.0,-148.3,-22.6,115.0,-10.2,-17.9,-5.2,-0.3,-95.6,-8.5,0.0,0.1,0.8
2024-01-16,395000,1247.6,439.6,-345.0,-103.8,-58.4,3.0,4.6,-0.4,4.1,-57.1,0.4,0.0,6.2,3.0
2024-01-17,379000,1966.6,453.8,-417.9,-55.9,-3.6,-6.2,-21.6,-6.2,9.0,-25.4,-2.0,0.0,18.4,1.6
2024-01-18,376500,1801.3,341.8,-389.1,44.3,38.9,-10.9,2.2,10.7,0.7,2.1,0.5,0.0,2.1,0.9
2024-01-19,374000,1242.0,208.2,-169.5,-44.5,-23.2,-0.8,-12.5,-0.1,0.0,-6.7,-1.2,0.0,5.2,0.5
2024-01-22,358000,2069.0,332.2,-396.8,60.0,148.0,-18.8,-50.8,-2.6,7.6,-26.0,2.5,0.0,3.8,0.9
2024-01-23,358500,1911.1,169.2,-386.9,190.0,173.3,4.3,16.0,0.4,-0.5,-0.7,-2.9,0.0,27.7,-0.0
2024-01-24,354000,1846.3,448.4,-475.0,17.2,-6.1,-7.8,-1.9,2.3,0.2,21.0,9.4,0.0,9.2,0.2
2024-01-25,347500,1520.6,154.8,-149.4,-8.0,49.6,-21.4,-16.4,-0.8,2.8,-4.6,-17.0,0.0,2.4,0.2
2024-01-26,360500,2147.9,-94.8,-193.4,290.4,-10.0,40.7,52.2,2.4,0.4,95.1,109.6,0.0,-2.3,0.1
2024-01-29,379000,2099.2,-216.6,108.3,114.5,-88.0,42.5,131.7,1.2,-0.5,31.0,-3.4,0.0,-5.5,-0.7
2024-01-30,374500,2008.2,73.4,-173.2,93.2,-30.4,22.8,16.7,-7.7,-38.0,106.0,23.8,0.0,4.1,2.5
2024-01-31,372500,1328.0,153.9,-210.7,52.4,0.5,17.4,24.1,0.7,2.0,38.5,-30.9,0.0,3.7,0.8
2024-02-01,377500,1135.0,103.4,-78.1,-28.5,-7.2,6.4,1.8,-1.0,-0.1,26.4,-54.9,0.0,3.1,0.1
2024-02-02,393000,1483.0,-263.9,44.6,215.8,118.7,36.7,31.2,3.6,-13.3,42.8,-3.9,0.0,3.3,0.2
2024-02-05,387000,1281.0,308.9,-23.4,-286.9,-280.3,2.4,-3.7,-0.0,0.3,4.4,-10.1,0.0,1.8,-0.4
2024-02-06,374000,1312.6,275.3,-167.6,-112.8,-12.6,-9.3,-38.6,0.0,0.0,-25.6,-26.7,0.0,4.2,0.8
2024-02-07,382000,1763.0,-288.8,7.3,280.7,106.9,9.2,76.3,-0.1,0.0,52.1,36.3,0.0,1.3,-0.5
2024-02-08,385000,1433.8,177.4,-124.4,-57.4,-117.2,10.7,4.3,-0.1,0.1,17.4,27.4,0.0,2.3,2.1
2024-02-13,391000,989.2,-117.1,-37.7,155.7,157.6,-11.6,-5.6,0.6,-15.0,36.2,-6.5,0.0,-0.6,-0.3
2024-02-14,386500,791.1,151.0,-96.6,-61.5,-69.1,12.6,2.8,0.0,0.0,-4.0,-3.8,0.0,5.4,1.7
2024-02-15,386000,1003.6,243.6,-316.8,72.8,56.1,7.2,1.2,0.0,0.0,8.9,-0.7,0.0,0.2,0.1
2024-02-16,404500,2099.7,-572.7,243.2,330.4,75.4,37.3,87.4,0.1,1.0,105.6,23.7,0.0,-0.6,-0.3
2024-02-19,394500,1380.8,482.3,-460.9,-36.8,-33.4,-4.9,-5.0,-0.4,-1.1,18.9,-10.8,0.0,13.7,1.8
2024-02-20,395000,907.6,34.7,-39.4,-1.4,-34.1,0.1,-9.7,0.0,0.8,54.3,-12.9,0.0,6.6,-0.4
2024-02-21,400000,707.2,11.2,-82.6,64.2,35.7,0.4,-1.6,-0.3,0.0,21.9,8.2,0.0,7.7,-0.4
2024-02-22,395000,812.4,230.8,-158.3,-77.5,-5.9,-4.4,-6.8,0.0,0.0,-57.1,-3.2,0.0,4.2,0.8
2024-02-23,388500,937.0,316.6,-199.2,-104.2,-17.6,-5.7,-34.6,-0.2,0.0,-37.0,-9.0,0.0,-15.8,2.5
2024-02-26,391000,715.3,-29.2,38.6,-6.5,4.8,3.2,-9.7,0.0,0.0,6.9,-11.7,0.0,-3.3,0.4
2024-02-27,381000,1006.9,334.9,-332.0,-7.1,-2.5,0.1,0.6,0.2,0.0,-2.7,-2.8,0.0,3.0,1.1
2024-02-28,381500,737.5,52.0,-47.6,-4.9,10.4,-3.4,-4.0,0.6,0.0,3.9,-12.3,0.0,-0.3,0.8
2024-02-29,377000,931.4,160.7,-13.0,-145.6,-130.4,-5.8,2.7,-0.8,0.6,-2.6,-9.3,0.0,-3.0,0.8
2024-03-04,374500,1139.4,413.0,-452.0,29.7,48.7,-5.4,-4.8,0.0,0.1,-10.2,1.3,0.0,6.1,3.2
2024-03-05,366500,1092.6,379.4,-275.6,-103.6,-35.9,-15.3,-11.8,0.2,0.6,-14.2,-27.3,0.0,-1.5,1.4
2024-03-06,364500,804.6,233.5,-242.4,-4.8,-2.1,-5.3,-12.1,-0.4,0.0,15.2,-0.1,0.0,13.7,0.0
2024-03-07,412000,7101.2,-1012.0,597.2,401.9,169.5,25.9,89.2,5.8,-1.4,24.7,88.2,0.0,16.0,-3.0
2024-03-08,426000,7616.2,-365.5,-242.7,555.9,4.9,41.3,164.6,-1.2,-1.2,216.1,131.5,0.0,57.5,-5.2
2024-03-11,413500,2224.3,141.2,-192.8,18.4,23.1,12.3,0.9,0.5,0.0,48.1,-66.5,0.0,32.7,0.5
2024-03-12,459500,6507.0,-680.4,-76.8,697.9,-8.2,41.6,156.7,5.5,-0.8,300.3,202.8,0.0,64.1,-4.8
2024-03-13,459500,4863.9,150.8,-359.6,171.9,-120.6,19.4,26.8,1.7,-0.5,221.2,24.0,0.0,34.6,2.3
2024-03-14,446000,3598.7,357.6,-172.7,-198.6,-43.1,-13.4,-22.0,2.5,0.0,-63.3,-59.3,0.0,8.7,5.0
2024-03-15,425000,3356.1,361.4,-214.1,-185.5,-17.6,-41.6,-126.7,2.1,0.8,11.3,-13.9,0.0,39.4,-1.3
2024-03-18,444000,2495.8,-289.5,6.2,270.6,83.9,0.2,54.3,-5.5,0.7,70.1,66.9,0.0,11.8,1.0
2024-03-19,451000,2931.5,12.0,95.9,-112.7,-162.7,-0.4,22.4,0.0,-0.6,53.8,-25.2,0.0,5.7,-0.8
2024-03-20,453000,4191.5,28.9,-64.4,20.6,-103.0,2.6,127.0,-4.6,-0.4,74.0,-75.1,0.0,10.9,3.9
2024-03-21,455500,2464.8,-181.7,-14.3,185.9,168.7,0.5,24.9,-2.6,-2.7,33.0,-36.0,0.0,11.3,-1.2
2024-03-22,472500,3644.1,-860.1,459.8,324.4,10.8,6.7,10.6,-2.6,-1.2,135.0,165.1,0.0,84.2,-8.3
2024-03-25,486000,4091.8,-202.6,83.6,137.8,-38.0,23.0,12.8,0.6,1.2,149.6,-11.4,0.0,-14.3,-4.5
2024-03-26,473000,3969.2,233.0,-364.4,128.8,146.8,2.5,14.4,0.0,0.5,57.9,-93.2,0.0,2.2,0.4
2024-03-27,480500,2789.8,-70.9,99.7,-19.4,17.0,10.9,13.4,0.0,0.0,-21.8,-38.9,0.0,-10.1,0.6
2024-03-28,477500,2332.4,11.7,-61.9,40.4,-30.9,1.9,31.4,0.0,0.2,58.6,-20.8,0.0,11.2,-1.4
2024-03-29,471000,2736.7,44.3,178.9,-217.4,-21.9,-15.6,-105.1,-2.8,0.0,-49.6,-22.4,0.0,-5.0,-0.9
2024-04-01,454000,2079.4,294.6,-111.5,-154.1,39.7,-61.1,-38.5,0.4,-0.2,-43.5,-50.9,0.0,-27.1,-1.9
2024-04-02,453000,1684.5,34.2,-6.9,-28.8,-42.6,-0.3,7.4,0.9,0.0,21.6,-15.8,0.0,1.6,-0.1
2024-04-03,428000,2600.6,423.2,-127.9,-295.0,-38.0,-28.4,-157.2,-1.7,-1.0,-47.6,-21.0,0.0,-1.5,1.2
2024-04-04,442000,1971.4,-243.4,307.8,-60.5,29.7,8.4,8.5,0.3,0.1,-77.8,-29.8,0.0,-4.8,0.9
2024-04-05,420500,1822.8,593.8,-236.8,-203.5,-51.3,-29.1,-59.2,0.0,0.0,-13.7,-50.2,0.0,-154.9,1.3
2024-04-08,420000,1920.5,59.6,-80.5,22.4,38.5,-6.0,0.2,0.1,1.9,0.1,-12.5,0.0,-0.0,-1.4
2024-04-09,411000,1305.1,380.8,-448.9,67.0,32.4,-3.4,13.3,0.0,0.5,27.0,-2.9,0.0,0.3,0.9
2024-04-11,407500,1297.2,164.1,169.0,-332.2,-243.5,8.4,-86.3,0.0,0.0,13.4,-24.2,0.0,-0.8,-0.2
2024-04-12,401000,1090.4,289.9,-112.5,-180.3,-94.0,0.1,-78.0,0.0,0.0,4.8,-13.3,0.0,1.3,1.7
2024-04-15,394000,1086.0,106.2,-123.3,13.7,-5.3,-5.2,-7.2,0.0,0.8,40.0,-9.3,0.0,2.6,0.8
2024-04-16,386500,948.8,47.4,22.9,-64.7,6.3,-1.2,-34.5,-1.9,0.7,-23.2,-10.8,0.0,-5.2,-0.4
2024-04-17,386000,1046.3,175.9,-157.2,-37.7,-26.4,-0.2,-2.0,1.1,0.1,-14.0,3.7,0.0,18.8,0.1
2024-04-18,405500,1297.2,-129.8,105.7,21.4,-72.8,11.4,43.0,3.0,0.0,37.2,-0.4,0.0,2.8,0.0
2024-04-19,401000,1343.8,236.8,-148.2,-96.9,-116.3,3.2,23.5,0.5,1.5,-6.9,-2.4,0.0,7.5,0.8
2024-04-22,421500,1414.9,-234.8,96.0,119.9,62.0,2.5,13.8,0.0,-0.7,42.1,0.2,0.0,19.2,-0.3
2024-04-23,407000,1217.1,286.4,-249.8,-35.8,9.6,-7.8,7.5,-0.1,-0.1,-40.2,-4.7,0.0,-1.1,0.3
2024-04-24,422000,1426.0,-201.3,-19.1,232.5,135.1,-11.7,35.2,2.4,0.8,76.4,-5.7,0.0,-12.2,0.1
2024-04-25,413500,1056.3,99.2,38.6,-142.4,-58.0,-2.3,-8.8,-0.0,-0.0,-70.0,-3.3,0.0,4.4,0.2
2024-04-26,408500,979.2,151.8,-83.9,-70.8,-30.2,-1.2,-15.2,0.0,0.0,-17.2,-6.9,0.0,2.4,0.6
2024-04-29,421000,974.6,-228.9,247.8,-27.2,-30.8,-4.6,13.6,0.0,-0.0,-17.3,11.9,0.0,8.9,-0.5
2024-04-30,434000,2073.2,-494.5,97.3,401.3,87.0,21.9,65.5,0.0,-0.1,216.3,10.7,0.0,-2.3,-1.8
2024-05-02,443500,2082.0,-330.1,287.7,37.0,-20.6,18.6,8.2,0.0,-0.4,37.0,-5.9,0.0,10.4,-5.0
2024-05-03,438000,865.6,-14.2,-2.1,11.0,7.2,-1.6,8.2,0.0,0.4,-0.8,-2.4,0.0,4.9,0.3
