date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2024-01-02,29800,328.2,30.1,-25.3,-0.5,-18.7,3.5,10.2,5.6,0.0,-2.9,1.8,0.0,-3.7,-0.6
2024-01-03,28300,376.2,-22.3,-12.3,52.6,-9.7,3.3,15.9,0.1,0.0,0.5,42.4,0.0,-15.0,-3.0
2024-01-04,28550,199.4,-3.2,7.7,-4.7,0.5,-1.8,-2.8,0.0,0.1,-1.1,0.2,0.0,0.1,0.1
2024-01-05,28550,149.5,-1.1,-4.8,7.0,1.9,0.3,-5.6,0.0,0.0,4.4,6.0,0.0,-0.5,-0.6
2024-01-08,28550,196.6,-0.2,-16.8,16.6,1.9,-0.1,-1.3,0.0,0.0,16.1,-0.1,0.0,-0.4,0.8
2024-01-09,29450,1974.5,-87.2,27.6,61.6,35.0,3.8,21.8,0.0,-0.1,-1.4,2.4,0.0,-2.9,1.0
2024-01-10,28800,392.0,39.5,-42.0,0.8,-14.4,2.5,7.0,0.4,0.0,4.3,0.9,0.0,0.7,1.1
2024-01-11,28850,228.2,1.3,-19.5,18.1,12.3,0.8,0.6,0.0,0.0,4.5,0.0,0.0,0.1,-0.0
2024-01-12,28500,217.1,20.7,-11.0,-10.3,-14.9,-0.1,0.0,0.0,0.0,4.7,0.0,0.0,0.7,-0.1
2024-01-15,28050,162.2,1.0,-10.2,10.5,4.9,-0.2,0.2,-0.1,0.1,4.3,1.2,0.0,-1.2,-0.1
2024-01-16,27150,316.6,20.8,12.2,-36.5,3.5,-0.4,-22.1,0.0,0.1,-13.2,-4.5,0.0,4.0,-0.5
2024-01-17,27200,222.4,-18.9,3.6,14.8,7.1,0.6,8.1,0.2,0.4,-2.2,0.5,0.0,0.4,0.1
2024-01-18,27500,279.5,2.9,-15.5,11.0,2.2,0.1,6.5,0.0,0.1,4.5,-2.3,0.0,1.6,0.0
2024-01-19,27900,271.1,-6.6,14.5,-6.1,-9.9,1.9,-3.2,0.0,0.0,4.0,1.0,0.0,-1.6,-0.2
2024-01-22,34000,4939.1,-564.5,409.4,107.1,1.4,10.6,56.5,0.0,-0.7,22.3,17.0,0.0,51.4,-3.4
2024-01-23,30750,2700.6,163.0,-190.9,11.9,-1.4,4.7,8.4,0.6,0.0,2.2,-2.5,0.0,13.0,3.0
2024-01-24,32000,1356.9,-60.8,19.0,43.5,20.1,2.6,7.3,0.0,0.1,28.2,-14.9,0.0,1.0,-2.6
2024-01-25,30450,1093.0,20.5,-32.9,28.3,-4.8,5.2,15.0,1.0,0.0,15.5,-3.6,0.0,-14.9,-1.0
2024-01-26,29600,512.8,36.9,-39.5,6.5,-3.4,2.2,-2.2,0.1,0.1,12.9,-3.1,0.0,-3.5,-0.3
2024-01-29,28700,578.6,25.8,11.7,2.6,3.7,2.7,-0.4,0.0,0.1,-3.4,-0.1,0.0,-41.5,1.3
2024-01-30,29600,445.8,6.2,-23.7,16.8,12.9,-1.1,-2.3,0.6,0.0,5.8,0.8,0.0,0.8,-0.2
2024-01-31,27500,456.6,123.1,-101.1,-22.6,-4.0,-0.5,-19.5,-0.1,0.1,4.4,-3.2,0.0,0.2,0.5
2024-02-01,27000,458.4,83.6,18.1,-103.5,-2.2,-3.9,-30.5,0.0,0.2,-55.9,-11.2,0.0,1.6,0.2
2024-02-02,28900,593.2,-111.8,88.9,24.4,2.8,0.5,3.4,-0.0,-0.1,0.7,17.2,0.0,-1.5,-0.0
2024-02-05,28300,324.2,40.5,-45.0,3.9,6.2,1.0,-0.6,-0.3,0.0,2.3,-4.8,0.0,0.4,0.3
2024-02-06,29850,664.8,-73.1,29.6,45.7,7.6,5.4,16.5,-0.3,-0.1,12.0,4.6,0.0,-1.9,-0.3
2024-02-07,29300,305.8,-19.0,1.8,17.1,8.1,1.2,0.6,-0.0,0.1,5.1,2.1,0.0,0.2,-0.0
2024-02-08,30450,836.6,17.3,-19.4,7.4,-21.3,4.3,8.7,0.8,-0.1,8.3,6.7,0.0,-5.3,0.0
2024-02-13,31250,892.3,-93.4,85.8,9.2,1.6,11.7,-1.3,0.0,-0.1,13.3,-15.9,0.0,0.7,-2.3
2024-02-14,31500,545.5,-59.3,36.1,24.6,0.5,5.0,12.4,0.0,0.0,8.6,-1.9,0.0,-0.7,-0.6
2024-02-15,31850,861.5,26.5,-33.6,16.0,5.6,1.2,-0.3,1.0,-0.1,2.0,6.7,0.0,-8.2,-0.7
2024-02-16,30000,676.5,56.0,-30.5,-28.4,9.6,-1.6,-24.4,0.0,0.1,-4.7,-7.4,0.0,2.7,0.2
2024-02-19,30350,322.0,6.0,11.7,-24.1,8.5,-2.6,-11.6,0.0,0.0,-0.9,-17.6,0.0,6.4,0.0
2024-02-20,30000,249.5,-3.3,-1.5,2.9,5.1,-1.1,-0.8,0.0,0.0,4.7,-5.1,0.0,1.3,0.6
2024-02-21,28950,384.9,77.8,-53.5,-21.6,1.8,-6.4,-3.4,0.0,0.1,-9.5,-4.2,0.0,-3.2,0.5
2024-02-22,30850,1228.8,-108.9,102.6,13.3,6.0,4.4,7.6,1.0,0.0,-3.0,-2.7,0.0,-5.7,-1.4
2024-02-23,30400,1049.2,1.0,-27.3,19.6,6.3,-0.7,11.6,-0.3,-0.1,11.5,-8.8,0.0,5.3,1.4
2024-02-26,30000,442.8,32.5,-25.7,-9.3,-2.3,0.5,-7.8,0.0,1.5,-2.0,0.8,0.0,2.0,0.6
2024-02-27,29150,325.5,21.8,-10.1,-10.6,-13.9,0.0,0.0,0.0,0.1,2.2,0.9,0.0,-1.4,0.3
2024-02-28,30600,630.0,-86.5,83.2,-1.3,-11.6,0.8,13.2,-0.1,0.0,-3.2,-0.4,0.0,5.1,-0.5
2024-02-29,30550,439.8,-4.1,8.7,-1.2,-1.0,1.3,6.0,0.0,0.0,-8.3,0.8,0.0,-3.3,0.0
2024-03-04,36700,6093.0,-575.4,402.0,132.0,-2.4,24.8,77.6,-1.5,-0.8,8.9,25.4,0.0,7.2,34.2
2024-03-05,38500,6766.1,-299.6,127.1,144.8,12.8,21.0,39.5,0.3,-0.9,13.8,58.4,0.0,36.9,-9.2
2024-03-06,39200,3868.3,-97.7,-0.9,56.3,-10.4,20.1,7.6,0.1,-0.5,2.5,36.8,0.0,45.3,-3.0
2024-03-07,38100,4714.5,-117.2,77.2,59.5,3.8,9.3,14.2,0.0,6.0,12.3,13.8,0.0,14.2,-33.8
2024-03-08,39200,4005.5,73.9,-112.8,102.3,7.4,15.9,49.8,0.0,1.1,11.8,16.3,0.0,-64.2,0.9
2024-03-11,37250,1872.0,84.1,-48.4,-43.6,8.4,4.3,-40.5,-0.4,3.1,8.4,-26.9,0.0,7.3,0.6
2024-03-12,37500,1067.9,43.6,-31.3,-15.3,-2.1,0.8,-0.4,0.2,0.0,-9.6,-4.2,0.0,2.6,0.4
2024-03-13,35500,3095.6,388.8,-237.3,-165.4,17.1,-6.2,-0.2,-1.4,0.7,-151.2,-24.2,0.0,12.7,1.2
2024-03-14,33200,1498.4,220.6,8.0,-214.2,11.5,-33.8,-9.6,-0.6,-5.7,-155.2,-20.8,0.0,-14.7,0.3
2024-03-15,33450,1303.2,-34.6,26.8,5.4,11.7,1.5,-9.1,0.0,0.3,1.9,-0.9,0.0,1.6,0.8
2024-03-18,37650,3432.4,-389.8,372.4,31.7,-14.1,-1.0,-13.9,-0.0,-1.4,32.9,29.3,0.0,-13.1,-1.2
2024-03-19,36650,1326.9,72.2,-84.8,12.5,6.4,3.6,8.6,0.0,0.0,-6.5,0.4,0.0,1.3,-1.3
2024-03-20,36550,1420.0,88.5,-102.1,15.7,-4.9,7.4,-5.7,0.1,0.0,13.1,5.7,0.0,-2.5,0.4
2024-03-21,37600,1178.2,-77.0,31.1,43.1,15.7,4.7,8.2,-0.4,-1.6,14.7,1.8,0.0,2.4,0.4
2024-03-22,37650,1287.5,-67.7,69.2,-5.2,0.8,1.1,-4.9,-0.2,-0.1,3.8,-5.6,0.0,3.7,0.0
2024-03-25,37600,701.1,2.9,-40.9,40.8,3.4,0.4,1.8,-0.4,0.0,26.6,9.1,0.0,-3.4,0.6
2024-03-26,39150,2323.9,-96.4,77.2,-0.7,-18.6,-0.8,18.5,-1.1,-0.3,24.2,-22.7,0.0,2.0,17.9
2024-03-27,43750,6175.7,-321.4,214.2,126.2,12.2,16.3,24.6,0.4,-0.8,50.0,23.5,0.0,-4.5,-14.6
2024-03-28,44900,5542.1,10.6,-41.8,29.1,-10.7,1.3,17.2,-0.6,0.1,11.1,10.8,0.0,4.2,-2.2
2024-03-29,42300,2474.2,233.7,-221.7,-7.0,-25.2,5.1,2.4,-0.3,-0.3,38.4,-27.2,0.0,-4.5,-0.6
2024-04-01,41400,1676.5,125.2,-111.4,-5.9,4.0,5.1,-12.4,0.0,0.0,-0.1,-2.6,0.0,-7.8,-0.1
2024-04-02,40900,1419.2,43.7,-60.2,13.0,3.9,-6.6,17.5,0.0,-0.6,0.7,-1.9,0.0,2.2,1.2
2024-04-03,40100,986.6,-36.4,43.0,-5.3,4.2,1.0,-7.6,0.0,0.1,0.2,-3.2,0.0,-0.4,-1.0
2024-04-04,41950,2523.1,188.2,-206.2,12.3,-7.8,2.1,23.0,0.0,-0.2,-5.6,0.7,0.0,3.1,2.5
2024-04-05,40150,907.0,86.5,-105.3,13.9,12.7,-7.7,-9.6,0.2,0.0,21.3,-3.0,0.0,4.0,0.9
2024-04-08,40450,1364.6,-116.0,103.4,6.1,10.4,-14.9,-3.9,-0.2,0.0,14.6,0.1,0.0,6.5,0.0
2024-04-09,40000,699.9,1.8,-6.3,5.8,-0.7,1.9,2.7,0.0,0.0,2.5,-0.6,0.0,-1.0,-0.2
2024-04-11,42450,2337.1,-239.7,177.8,61.7,-0.6,12.2,36.1,0.4,0.1,15.8,-2.3,0.0,1.5,-1.4
2024-04-12,42000,1776.7,20.1,3.5,-23.2,5.7,-6.2,-14.9,1.3,1.3,-0.9,-9.6,0.0,-1.0,0.7
2024-04-15,40500,907.3,192.1,-200.1,5.2,10.4,-26.5,-0.5,0.6,0.0,24.7,-3.5,0.0,3.4,-0.7
2024-04-16,37200,1212.6,96.4,-58.5,-29.6,8.6,-4.0,-30.5,-0.0,-0.8,-3.9,1.1,0.0,-10.3,2.0
2024-04-17,36800,705.6,-14.1,11.4,2.0,3.7,-0.9,1.9,0.2,0.1,-3.5,0.5,0.0,0.9,-0.3
