date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2025-11-24,438500,5565.3,1479.9,-560.8,-926.9,-111.8,-50.0,-105.4,0.0,-1.3,-733.2,74.8,0.0,6.4,1.3
2025-11-25,335500,6130.4,1945.2,-1957.5,-47.2,32.2,-44.9,90.8,0.0,-0.0,-179.6,54.3,0.0,45.9,13.7
2025-11-26,363000,8022.8,1435.6,-1508.8,34.8,7.4,-3.9,57.7,0.7,-0.1,-63.2,36.2,0.0,39.6,-1.3
2025-11-27,434500,12027.4,439.4,-509.8,26.7,25.3,21.2,35.7,-0.1,-1.8,-138.0,84.3,0.0,39.5,4.2
2025-11-28,429000,7431.7,852.0,-776.9,-70.7,15.6,-6.2,-20.4,0.0,0.1,-5.8,-54.0,0.0,-11.3,6.9
2025-12-01,398000,3584.7,1074.4,-930.7,-150.8,-1.5,-9.0,-48.0,0.1,0.0,-27.1,-65.3,0.0,9.0,-1.8
2025-12-02,442000,8253.0,-139.2,81.7,33.1,18.6,-5.5,13.3,0.0,0.0,-13.2,19.7,0.0,20.7,3.8
2025-12-03,549000,19279.5,92.5,-626.2,514.5,5.2,1.6,161.8,-0.7,0.6,113.8,232.2,0.0,25.3,-6.2
2025-12-04,557000,10824.6,325.5,-407.1,75.4,-16.2,-6.0,62.8,0.0,0.0,13.0,21.8,0.0,-4.3,10.4
2025-12-05,515000,7139.2,623.1,-507.7,-83.5,8.3,-10.6,-7.9,0.3,0.0,-28.9,-44.8,0.0,-30.8,-1.1
2025-12-08,515000,3540.2,354.9,-204.3,-148.8,-51.5,-7.0,-33.7,-0.8,0.0,0.4,-56.3,0.0,2.4,-4.1
2025-12-09,575000,12104.3,-724.2,510.9,126.7,-3.2,-2.5,12.7,0.0,-0.0,-24.9,144.4,0.0,95.5,-8.9
2025-12-10,565000,3588.4,531.4,-530.9,-0.7,-4.6,-1.9,-11.1,-0.5,0.0,9.3,8.0,0.0,-3.6,3.8
2025-12-11,569000,7467.8,2.6,-154.7,171.9,-34.7,0.3,118.1,1.0,0.0,12.3,74.9,0.0,-21.8,2.1
2025-12-12,661000,15877.0,-768.1,906.2,-110.7,25.3,-12.9,-2.1,-0.0,0.0,-67.0,-54.0,0.0,-20.1,-7.3
2025-12-15,709000,10985.8,-84.2,-54.7,116.4,-21.7,-1.8,122.8,-0.0,0.0,-17.0,34.1,0.0,16.4,6.1
2025-12-16,712000,9352.3,340.9,-464.5,72.3,-6.2,-3.4,13.0,-0.7,0.0,9.0,60.7,0.0,47.9,3.4
