date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2025-01-02,23950,64.8,8.1,-7.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.2
2025-01-03,24650,92.5,-6.9,6.2,1.9,-0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,-1.1,0.0
2025-01-06,25100,79.4,2.1,-8.5,5.6,-0.0,0.0,1.7,0.0,0.0,0.0,4.0,0.0,0.7,0.0
2025-01-07,25300,72.4,4.2,-4.5,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2
2025-01-08,25350,65.0,6.0,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.1
2025-01-09,24800,59.7,11.0,-10.0,-2.0,-0.1,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,1.3,-0.3
2025-01-10,25450,57.4,-6.7,6.2,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1
2025-01-13,24800,76.6,15.6,-15.2,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.7
2025-01-14,25050,87.9,-2.7,1.9,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.7
2025-01-15,24150,346.3,22.6,-24.6,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.3
2025-01-16,25700,111.9,-14.3,14.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.3,0.0
2025-01-17,26100,70.3,-8.6,9.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.3
2025-01-20,25700,56.3,10.4,-11.6,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5
2025-01-21,26300,84.5,-0.5,6.0,-5.1,-0.2,0.0,-0.7,0.0,0.0,0.0,-4.2,0.0,-0.6,0.1
2025-01-22,26000,50.8,7.1,-6.9,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5
2025-01-23,26250,34.6,-1.4,1.7,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.1
2025-01-24,25700,69.9,5.0,-4.8,-0.3,-0.3,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.1,0.0
2025-01-31,26000,79.4,-3.8,3.2,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
2025-02-03,25900,55.1,4.1,-3.8,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0
2025-02-04,26050,56.5,-12.7,12.5,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2025-02-05,25800,42.1,9.8,-9.9,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
2025-02-06,24950,71.6,7.2,-7.1,-0.4,-0.3,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.2,0.1
2025-02-07,25200,52.8,0.8,-0.0,-0.3,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
2025-02-10,24600,37.7,0.4,-0.5,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
2025-02-11,24450,32.8,-0.6,1.1,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.1
2025-02-12,24250,36.3,-0.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.1
2025-02-13,23900,40.8,-3.5,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2025-02-14,27100,532.0,-61.9,63.2,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-0.1
2025-02-17,28200,230.4,-10.1,10.5,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.0
2025-02-18,28900,191.1,-13.2,12.3,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.8,0.2
2025-02-19,28900,111.2,13.5,-13.8,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-0.1
2025-02-20,28100,126.6,13.6,-13.8,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
2025-02-21,27150,98.0,12.8,-13.8,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,-0.3
2025-02-24,28500,166.1,15.0,-9.5,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.7,1.1
2025-02-25,27850,97.5,8.5,-11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.9
2025-02-26,26900,75.9,5.5,-3.9,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9,0.5
2025-02-27,31550,1515.7,-93.7,85.3,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,-2.1
2025-02-28,30750,284.1,33.4,-29.5,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,-3.8,0.1
2025-03-04,30800,234.6,30.3,-32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-0.3
2025-03-05,29950,200.2,42.1,-31.1,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.8,0.0
2025-03-06,29150,172.8,5.2,-5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
2025-03-07,29250,116.7,2.9,-5.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,2.0
2025-03-10,26650,350.4,0.8,-1.6,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2025-03-11,26900,133.2,2.6,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5
2025-03-12,27000,81.7,-0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2025-03-13,25150,188.0,1.1,-1.5,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.4
2025-03-14,24700,166.5,0.9,-0.8,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.1
2025-03-17,26950,324.6,-7.4,7.6,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.2
2025-03-18,27600,155.8,-2.5,1.6,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4
2025-03-19,25850,279.7,8.5,-7.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.6
