date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2024-01-02,10810,11.6,-10.7,12.9,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,-1.8,-0.1
2024-01-03,10120,29.9,5.1,-5.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2024-01-04,10120,23.9,1.4,-0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,-0.9,-1.0
2024-01-05,9950,14.8,2.3,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
2024-01-08,9860,13.4,-0.3,1.2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2024-01-09,9900,7.4,0.4,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2
2024-01-10,9880,6.5,0.7,-1.3,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0
2024-01-11,10270,17.6,-2.2,-1.9,4.1,0.7,-0.0,0.2,0.0,0.0,-0.0,3.2,0.0,0.0,-0.0
2024-01-12,10010,10.4,1.8,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2024-01-15,9880,9.7,2.0,-0.6,-1.7,0.5,0.0,-1.7,0.0,0.0,-0.6,0.0,0.0,0.3,-0.1
2024-01-16,9940,5.6,1.2,-1.2,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2024-01-17,9850,10.2,0.3,-0.4,-1.2,-1.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,1.3,0.0
2024-01-18,9840,7.1,-0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2024-01-19,10000,12.2,-0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2
2024-01-22,9850,6.9,0.9,-0.3,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.5
2024-01-23,9900,8.7,-0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2024-01-24,9870,11.1,2.6,-1.8,-0.8,0.0,0.0,-0.5,0.0,0.0,0.0,-0.3,0.0,0.0,-0.1
2024-01-25,10110,14.8,-3.4,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.1
2024-01-26,10230,10.6,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1
2024-01-29,10290,19.3,-2.0,1.8,-0.0,0.1,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.1,0.1
2024-01-30,10180,8.7,1.2,-1.2,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2024-01-31,10200,6.6,0.7,-0.6,-0.2,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2024-02-01,10170,12.6,1.0,-1.1,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.3,0.0,0.1,0.0
2024-02-02,10170,13.2,0.0,0.5,-0.2,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,-0.3,0.0
2024-02-05,10040,14.3,2.5,-0.2,-1.9,0.0,0.0,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,-0.4
2024-02-06,9980,11.6,0.6,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1
2024-02-07,9970,9.4,2.0,0.1,-2.2,0.0,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.0
