date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2026-01-02,439000,541.5,-85.7,-100.3,177.3,31.1,4.6,70.1,-0.0,0.0,43.3,28.2,0.0,7.8,0.9
2026-01-05,468500,920.8,-89.1,-116.8,186.4,-23.3,4.8,22.9,1.0,0.0,89.8,91.1,0.0,16.7,2.7
2026-01-06,495000,1132.2,-212.6,-6.5,215.1,-57.1,19.1,31.8,0.1,9.9,143.4,67.9,0.0,2.7,1.3
2026-01-07,489500,884.7,-104.7,26.2,67.3,4.7,-13.0,26.5,-0.0,0.0,53.2,-4.1,0.0,10.0,1.3
2026-01-08,531000,1734.5,-383.2,82.8,310.4,-75.9,19.4,94.5,1.8,-8.4,218.7,60.2,0.0,-6.4,-3.7
2026-01-09,542000,1348.5,-195.9,-65.7,263.2,21.8,33.9,30.0,0.0,0.0,175.8,1.7,0.0,-2.0,0.3
2026-01-12,560000,1128.4,-162.2,-21.1,191.2,68.3,-1.8,31.3,0.1,0.0,29.6,63.8,0.0,-9.4,1.5
2026-01-13,570000,864.0,-146.2,-2.6,182.1,79.7,-0.6,0.9,0.1,5.5,68.9,27.5,0.0,-32.4,-0.9
2026-01-14,556000,827.1,-130.0,213.3,-85.1,64.5,-10.2,-19.9,0.0,-5.6,-54.4,-59.6,0.0,2.2,-0.4
2026-01-15,556000,972.6,-143.8,256.9,-96.8,90.0,-7.4,-4.1,-0.9,0.0,-11.1,-163.2,0.0,-15.0,-1.3
2026-01-16,535000,1005.2,-17.5,180.6,-149.1,118.8,-8.9,-31.2,0.0,0.0,-160.6,-67.4,0.0,-13.2,-0.8
2026-01-19,554000,686.9,-143.2,93.2,50.0,15.2,2.2,11.0,0.2,0.0,12.1,9.3,0.0,0.3,-0.4
2026-01-20,550000,837.9,-87.7,43.8,48.0,69.2,-4.1,15.2,0.0,0.0,-23.3,-9.0,0.0,-4.1,-0.0
2026-01-21,543000,687.6,-5.1,-69.7,77.3,102.0,0.8,-9.5,-0.0,0.0,-17.0,1.0,0.0,-0.1,-2.4
2026-01-22,529000,729.0,-7.8,21.1,-7.7,74.1,-16.6,-22.2,0.0,0.0,-21.2,-21.7,0.0,-3.4,-2.2
2026-01-23,528000,451.4,-16.9,78.0,-57.2,60.5,-24.4,-18.7,-0.2,-0.2,-43.4,-30.8,0.0,-4.2,0.4
2026-01-26,529000,433.0,48.7,-13.6,-27.8,13.7,0.4,-10.7,-0.3,-0.3,-16.5,-14.2,0.0,-7.9,0.6
2026-01-27,512000,533.2,62.6,-71.9,13.0,52.0,-10.8,-12.2,0.0,1.3,-9.6,-7.8,0.0,-3.6,0.0
2026-01-28,527000,536.2,-104.0,106.5,-2.4,-21.9,6.4,-11.6,0.5,0.0,12.7,11.6,0.0,-0.4,0.2
2026-01-29,525000,521.4,-22.7,11.7,12.2,22.2,-5.8,-9.6,0.0,0.0,-30.6,35.9,0.0,-0.9,-0.2
