date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2024-07-01,115300,724.9,-39.3,-13.5,59.6,35.2,11.6,-0.1,0.2,0.0,12.1,0.6,0.0,-0.2,-6.6
2024-07-02,111900,551.9,45.0,-57.7,19.6,24.6,3.9,-1.3,0.1,0.0,-7.7,0.1,0.0,-7.4,0.4
2024-07-03,114100,587.8,-47.3,-0.7,53.6,42.2,2.6,9.4,-0.1,0.0,-7.2,6.7,0.0,-5.4,-0.2
2024-07-04,114500,421.9,-22.6,-22.3,57.2,94.9,-2.4,-22.1,0.0,0.0,-15.6,2.4,0.0,-12.6,0.3
2024-07-05,112500,481.9,39.3,-53.1,11.6,54.6,-8.0,-2.6,-0.7,-0.2,-32.6,1.1,0.0,1.3,0.9
2024-07-08,111600,309.8,36.4,4.8,-40.7,-22.4,-1.9,0.1,0.0,0.0,-17.3,0.8,0.0,-1.5,1.0
2024-07-09,112500,414.1,-9.2,-4.0,14.9,15.3,-0.6,11.2,0.0,0.0,-15.6,4.4,0.0,-2.1,0.5
2024-07-10,108300,653.0,296.2,-117.4,-183.7,-44.9,-9.3,-72.2,-0.1,0.2,-47.9,-9.5,0.0,3.9,0.9
2024-07-11,107100,794.2,210.3,37.2,-256.0,40.4,-3.1,-234.7,-0.4,0.0,-21.0,-37.2,0.0,7.8,0.8
2024-07-12,108100,932.8,168.4,-74.4,-91.2,-25.8,10.0,-32.2,-0.4,0.0,-26.1,-16.7,0.0,-4.3,1.5
2024-07-15,108000,572.1,53.9,-36.5,-36.9,-22.5,-0.7,-3.7,0.0,0.0,-7.8,-2.1,0.0,18.8,0.7
2024-07-16,113300,1256.2,-261.9,168.2,96.8,13.5,6.5,32.5,0.0,0.0,27.4,16.9,0.0,-0.1,-3.0
2024-07-17,119700,4409.0,-680.0,320.1,382.4,54.2,23.1,107.0,-0.7,1.8,171.5,25.6,0.0,-23.8,1.4
2024-07-18,115900,3915.5,292.2,-55.1,-226.3,-215.0,1.6,-2.8,-0.9,-5.4,73.3,-77.1,0.0,-14.0,3.1
2024-07-19,112000,1165.1,202.2,-54.8,-142.6,-62.2,-8.8,-54.5,-1.7,-2.1,-5.5,-7.8,0.0,-0.5,-4.3
2024-07-22,107600,656.3,19.8,-8.9,-15.0,2.8,-6.2,-22.0,-0.0,0.0,-20.7,31.1,0.0,3.8,0.4
2024-07-23,106500,475.6,69.0,-54.2,-12.0,-4.4,1.7,-10.3,0.1,0.0,-5.8,6.7,0.0,-2.6,-0.1
2024-07-24,105000,497.9,105.6,-88.4,-18.9,21.2,-17.1,-19.6,0.0,-0.4,-19.8,16.8,0.0,1.1,0.6
2024-07-25,105700,407.0,-57.2,22.2,36.1,13.8,0.5,-3.0,0.6,0.0,16.8,7.4,0.0,-0.7,-0.3
2024-07-26,104800,258.6,26.3,-20.0,-6.5,30.3,-9.7,-36.1,0.6,0.0,8.5,0.0,0.0,0.1,0.1
2024-07-29,105000,205.7,-1.5,7.3,-10.2,13.9,-0.1,0.4,0.0,0.1,-24.6,0.1,0.0,4.5,-0.1
2024-07-30,104300,251.6,64.0,-17.9,-46.0,-2.2,0.9,-2.3,0.0,0.0,-43.1,0.7,0.0,-0.3,0.1
2024-07-31,104200,239.1,18.9,9.4,-26.7,11.3,-1.3,-29.3,0.2,-0.7,-7.0,0.1,0.0,-1.6,-0.0
2024-08-01,107200,447.4,-147.8,106.4,42.9,16.8,3.6,-3.8,0.0,0.0,17.4,8.8,0.0,-1.2,-0.3
2024-08-02,104300,423.1,111.6,-77.7,-34.4,-25.0,4.4,-6.5,0.4,0.0,-20.9,13.3,0.0,0.2,0.3
2024-08-05,92800,802.9,98.2,-32.5,-70.4,-45.9,-7.6,-4.5,-3.0,-0.0,-12.2,2.9,0.0,1.7,3.0
2024-08-06,99800,565.2,-169.7,54.2,116.6,25.4,6.7,37.4,0.0,0.0,33.4,13.7,0.0,1.6,-2.7
2024-08-07,98000,311.5,123.9,-71.2,-54.2,-27.5,-6.0,-1.0,0.0,0.0,-17.2,-2.6,0.0,1.2,0.3
2024-08-08,97700,366.4,54.8,-79.9,24.8,38.6,-1.1,-4.9,0.5,0.0,-19.3,11.0,0.0,0.2,0.1
2024-08-09,101000,394.9,-132.8,87.6,42.8,23.6,5.6,-15.8,0.0,0.1,28.0,1.2,0.0,2.0,0.5
2024-08-12,102000,128.9,-3.2,-6.8,10.3,15.4,0.9,1.1,0.0,0.0,-7.0,-0.0,0.0,-0.4,0.1
2024-08-13,102800,162.9,-25.2,11.6,14.1,6.2,2.1,3.6,0.0,0.0,2.3,-0.0,0.0,-0.6,0.2
2024-08-14,103400,297.2,36.0,-10.0,-26.1,16.2,-7.2,-8.0,0.0,0.0,-25.9,-1.3,0.0,1.0,-0.8
2024-08-16,102300,224.6,61.2,-55.8,-6.5,18.3,-2.5,-2.4,-0.6,0.0,-22.7,3.2,0.0,1.3,-0.1
2024-08-19,100200,240.6,66.8,-10.8,-54.2,1.9,4.1,-3.6,-0.2,0.0,-56.1,-0.2,0.0,-1.4,-0.3
2024-08-20,102400,234.6,-45.9,7.2,39.9,14.8,2.3,-0.2,0.0,-0.5,16.1,7.3,0.0,-1.3,0.1
2024-08-21,103800,250.7,-73.2,49.0,25.6,33.4,1.4,-1.5,0.0,-2.0,-6.4,0.6,0.0,-1.4,0.1
2024-08-22,106200,589.1,-130.9,76.4,55.0,3.5,12.2,1.8,0.4,0.6,31.9,4.8,0.0,0.4,-0.9
2024-08-23,105400,241.5,27.1,-27.3,0.2,21.1,-5.5,2.1,0.0,0.0,-16.6,-0.9,0.0,-0.1,0.1
2024-08-26,106500,250.0,-70.7,29.6,42.5,27.7,23.9,-1.2,0.0,0.1,-5.7,-2.2,0.0,-1.5,0.0
2024-08-27,109800,1240.1,-172.6,65.5,110.5,-5.9,26.2,31.6,0.9,0.4,52.4,4.9,0.0,-3.2,-0.2
2024-08-28,106800,364.2,51.1,-64.8,9.2,28.7,-1.7,-13.2,0.0,-0.1,-2.0,-2.6,0.0,3.1,1.3
2024-08-29,107900,277.9,-28.7,0.7,29.4,4.9,1.8,-1.1,0.0,0.0,17.4,6.4,0.0,-1.1,-0.3
2024-08-30,110000,342.0,-68.6,67.8,3.3,5.7,3.4,-3.5,0.0,0.0,-2.5,0.2,0.0,-2.5,0.1
2024-09-02,110400,525.5,-1.2,36.4,-34.4,-36.6,21.0,27.1,0.0,0.0,-24.7,-21.2,0.0,0.5,-1.3
2024-09-03,108900,240.5,15.6,7.7,-25.5,1.0,-6.2,-1.0,0.0,0.0,-17.8,-1.5,0.0,2.1,0.2
2024-09-04,107000,283.4,-84.1,53.5,31.8,-4.7,9.8,6.6,0.0,0.0,10.2,9.8,0.0,-1.0,-0.1
2024-09-05,107400,186.7,-39.0,7.1,32.8,18.7,2.0,5.2,0.0,0.0,-3.0,9.8,0.0,-1.1,0.2
2024-09-06,107200,295.4,-71.3,-21.6,94.8,3.8,37.6,45.9,-0.1,0.0,7.8,-0.2,0.0,-2.4,0.4
2024-09-09,108100,199.3,-55.5,25.6,34.8,5.9,6.8,3.4,0.0,0.1,11.1,7.4,0.0,-4.7,-0.2
2024-09-10,109700,262.2,-83.5,51.3,35.0,28.6,-0.7,5.7,0.0,0.0,-4.6,6.0,0.0,-2.3,-0.5
2024-09-11,110900,443.1,-165.1,44.0,123.0,67.0,0.7,-0.2,0.0,0.0,25.1,30.4,0.0,-0.8,-1.2
2024-09-12,111400,389.1,-72.0,-42.1,113.8,93.8,4.2,7.2,0.0,0.0,-13.0,21.7,0.0,0.4,-0.1
2024-09-13,110700,395.4,-117.4,54.3,68.9,24.7,-4.3,27.3,0.0,0.0,23.6,-2.3,0.0,-4.5,-1.3
