date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2024-01-02,91500,1827.1,692.5,-447.1,-245.9,-225.1,2.0,-13.4,0.0,0.0,1.4,-10.9,0.0,0.0,0.5
2024-01-03,90500,1244.0,-715.4,501.0,211.9,79.2,3.1,17.4,0.1,0.3,79.4,32.5,0.0,1.6,0.9
2024-01-04,88500,918.0,106.8,-10.6,-101.2,-49.2,-4.5,-30.1,0.0,0.0,-1.0,-16.4,0.0,4.6,0.4
2024-01-05,89500,967.3,-3.7,12.4,-25.7,0.6,-0.2,5.3,0.0,0.0,20.9,-52.2,0.0,2.8,14.2
2024-01-08,87300,689.9,14.0,41.6,-48.1,-19.6,2.8,-7.8,0.0,0.0,-9.3,-14.2,0.0,5.6,-13.0
2024-01-09,93000,1159.7,-84.3,41.6,51.6,41.2,5.5,22.2,0.1,0.0,2.9,-20.3,0.0,-9.8,0.9
2024-01-10,97300,1266.3,-63.5,-27.4,96.9,16.7,4.8,16.4,0.4,0.0,44.5,14.1,0.0,-4.6,-1.4
2024-01-11,93700,817.9,19.2,-38.2,12.8,13.8,-11.0,7.3,1.0,0.0,5.7,-3.9,0.0,5.9,0.2
2024-01-12,94800,628.1,-39.9,12.8,15.3,-29.8,4.2,6.5,0.0,0.0,11.1,23.4,0.0,8.8,2.9
2024-01-15,89300,1024.4,162.5,-125.7,-35.8,-34.8,2.1,-13.2,-0.2,0.0,-8.4,18.8,0.0,-0.3,-0.8
2024-01-16,90400,810.5,-105.8,98.0,27.3,0.8,2.1,2.3,0.0,0.0,-13.7,35.8,0.0,-14.6,-4.9
2024-01-17,87800,641.3,35.5,-74.8,45.5,14.1,3.2,22.4,0.0,0.0,4.5,1.3,0.0,-6.5,0.3
2024-01-18,83000,1062.8,-47.0,76.9,-23.4,-23.6,12.9,-5.6,-0.5,0.0,7.4,-14.2,0.0,-7.2,0.8
2024-01-19,75600,1878.1,294.4,-156.3,-158.6,-14.7,-1.6,-27.1,-0.8,0.0,-55.6,-58.7,0.0,20.4,0.1
2024-01-22,76500,660.8,-33.4,-24.7,62.4,34.8,2.2,2.0,0.3,0.0,21.1,2.0,0.0,-4.0,-0.4
2024-01-23,76000,687.0,60.8,-53.1,-1.8,-11.2,6.5,-3.7,0.0,0.0,10.9,-4.4,0.0,-6.1,0.3
2024-01-24,72500,610.1,38.1,34.0,-68.0,-36.0,-7.7,-12.3,0.0,0.0,0.9,-12.9,0.0,-5.6,1.5
2024-01-25,73600,379.9,28.1,-59.8,36.4,3.8,2.8,14.7,0.0,0.0,13.4,1.8,0.0,-4.7,0.0
2024-01-26,76600,635.8,44.6,-91.8,45.5,-7.1,-12.8,35.0,0.0,0.0,17.6,12.8,0.0,1.4,0.4
2024-01-29,74500,725.4,104.8,-78.4,-20.3,-7.7,-35.3,-5.9,0.0,0.0,20.8,7.7,0.0,-7.1,1.1
2024-01-30,80800,1056.8,-19.6,-48.3,60.2,-3.9,3.5,26.7,0.0,0.0,34.6,-0.7,0.0,9.0,-1.4
2024-01-31,77300,681.2,180.2,-192.4,6.7,-13.0,0.5,-0.1,0.0,0.0,5.8,13.6,0.0,4.9,0.6
2024-02-01,71400,1202.5,162.0,-115.5,-46.3,36.8,-13.2,-25.4,0.0,0.0,-12.9,-31.5,0.0,-2.8,2.6
2024-02-02,76400,615.6,-86.4,9.3,80.8,58.4,-5.8,1.9,0.0,0.0,17.2,9.0,0.0,-1.5,-2.2
2024-02-05,75900,616.0,126.6,-100.5,-34.4,-27.7,-2.8,1.6,0.0,0.0,-6.4,0.9,0.0,7.9,0.4
2024-02-06,77300,387.5,23.8,-12.2,-16.2,-26.2,0.2,0.5,0.0,0.0,5.3,4.0,0.0,4.5,0.1
2024-02-07,76700,392.8,10.3,-11.1,4.1,5.0,-2.5,4.2,0.0,0.0,-1.2,-1.4,0.0,-3.4,0.2
2024-02-08,76800,457.1,-14.1,11.0,0.7,-30.9,-1.7,-2.7,0.0,0.0,26.6,9.3,0.0,3.2,-0.7
2024-02-13,86600,1475.4,-152.6,0.5,161.7,4.3,5.1,47.0,-0.1,0.5,36.4,68.4,0.0,-9.9,0.3
2024-02-14,87000,1224.2,68.5,-107.3,36.2,-48.4,-1.8,6.1,0.0,0.0,23.2,57.0,0.0,2.5,-0.0
2024-02-15,87500,1086.7,-60.6,6.0,50.5,-6.9,7.7,12.4,0.0,0.0,8.9,28.5,0.0,4.3,-0.1
2024-02-16,90700,1158.6,-143.0,11.6,126.2,17.4,3.5,10.2,0.0,0.0,14.5,80.5,0.0,7.0,-1.8
2024-02-19,89400,634.8,77.1,-106.8,34.7,-7.3,5.7,0.2,0.2,0.0,5.3,30.6,0.0,-4.8,-0.1
2024-02-20,87100,583.1,-8.6,52.9,-37.1,-21.4,-4.2,-3.3,-0.1,0.0,-4.5,-3.7,0.0,-6.2,-0.9
2024-02-21,93900,1914.4,-130.0,91.3,25.8,-29.8,2.1,38.5,-0.1,0.5,23.9,-9.3,0.0,-3.6,16.5
2024-02-22,105000,5821.4,568.9,145.3,72.5,95.1,-14.2,-2.7,7.2,0.0,18.6,-31.4,0.0,-784.8,-1.9
2024-02-23,131200,12227.7,-118.2,396.1,-266.9,-21.1,-30.6,-9.1,0.5,-1.6,-126.9,-78.1,0.0,33.3,-44.3
2024-02-26,156600,12359.5,-115.3,179.0,-50.6,-110.9,-3.8,44.1,-0.5,0.0,78.6,-58.2,0.0,-20.0,6.9
2024-02-27,157500,6324.4,-88.5,125.4,-32.9,20.0,-9.9,-46.9,0.0,-1.7,-41.2,46.9,0.0,-11.0,7.1
2024-02-28,164500,3395.1,-233.6,179.3,29.0,0.6,-8.1,91.3,0.1,0.0,-32.9,-22.2,0.0,21.9,3.5
2024-02-29,160600,3984.1,266.4,-131.7,-179.3,64.1,-5.1,-80.3,-0.5,0.0,-13.1,-144.5,0.0,34.8,9.9
2024-03-04,167200,2476.9,-104.3,107.6,-14.4,17.7,-5.3,25.9,0.0,0.0,-17.3,-35.4,0.0,10.2,0.9
2024-03-05,192200,6002.3,-201.4,234.6,-12.8,-84.9,-9.7,147.7,-0.1,-0.6,-29.5,-35.8,0.0,-13.9,-6.5
2024-03-06,194200,2923.2,96.9,27.7,-104.8,-38.4,-11.8,22.3,0.0,0.0,-34.4,-42.4,0.0,-22.1,2.3
2024-03-07,184400,3041.0,255.4,-102.8,-159.7,35.1,-9.2,-11.8,0.0,0.0,-40.9,-132.9,0.0,5.7,1.3
2024-03-08,190800,2891.0,-162.1,207.7,-66.8,76.4,-14.6,11.0,-0.2,0.0,-42.2,-97.3,0.0,18.7,2.5
2024-03-11,180000,1876.1,219.4,-62.4,-141.2,-76.3,-6.4,-1.8,0.0,0.0,-32.2,-24.6,0.0,-11.4,-4.3
2024-03-12,193500,2835.1,-100.2,250.3,-142.9,-38.3,-12.2,-21.8,0.1,0.0,-24.2,-46.5,0.0,-6.6,-0.5
