date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2025-01-02,934000,513.1,245.0,-197.0,-56.4,-33.3,0.7,-29.6,0.0,0.0,4.8,1.1,0.0,8.2,0.3
2025-01-03,940000,414.2,24.0,-18.7,-6.2,35.4,-18.2,-26.4,-0.9,-0.4,14.8,-10.4,0.0,1.4,-0.4
2025-01-06,946000,422.1,0.3,-8.2,3.0,-11.7,0.1,8.6,0.0,0.1,1.0,4.9,0.0,4.7,0.1
2025-01-07,983000,1502.6,-549.0,509.9,73.1,10.7,17.0,10.6,4.5,0.3,15.0,15.0,0.0,-9.4,-24.7
2025-01-08,1008000,1077.1,-385.1,179.6,225.4,-9.1,17.1,74.7,0.3,0.7,136.7,5.0,0.0,-19.8,-0.1
2025-01-09,1006000,500.9,-71.0,-17.5,83.8,24.6,8.3,40.7,0.0,6.0,27.6,-23.3,0.0,5.4,-0.7
2025-01-10,1000000,426.3,3.4,-25.4,19.6,-45.6,-16.8,-4.0,0.2,0.5,108.5,-23.2,0.0,2.6,-0.1
2025-01-13,1012000,738.4,-68.9,2.9,73.4,-43.7,4.6,34.6,0.0,3.0,87.4,-12.5,0.0,-7.8,0.4
2025-01-14,1024000,1010.5,-9.2,-42.1,51.0,-22.5,-5.0,-30.2,5.1,1.0,85.0,17.5,0.0,0.7,-0.4
2025-01-15,1020000,737.7,-95.9,91.3,3.8,-25.3,-11.3,14.0,0.2,-0.8,57.0,-29.9,0.0,0.6,0.3
2025-01-16,1042000,896.7,-264.2,219.2,80.3,-6.4,-4.3,-51.8,-0.7,0.8,124.9,17.7,0.0,-32.8,-2.5
2025-01-17,1015000,489.1,120.0,-130.2,13.2,-35.4,-11.5,-18.7,0.6,-0.1,89.5,-11.2,0.0,-2.9,-0.1
2025-01-20,1015000,395.9,5.0,-30.7,26.0,-2.7,-2.0,-17.1,-0.0,0.0,43.7,4.3,0.0,-0.2,-0.1
2025-01-21,1001000,462.0,40.7,-62.3,24.0,6.4,0.0,-31.9,-4.0,-3.4,55.7,1.2,0.0,-2.9,0.5
2025-01-22,1014000,680.3,-75.7,-4.3,83.9,39.6,1.8,12.4,2.7,-2.5,37.0,-7.0,0.0,-3.6,-0.3
2025-01-23,1053000,1698.9,-545.9,497.6,95.2,-31.3,2.6,19.8,-1.4,3.5,104.5,-2.4,0.0,-45.9,-1.1
2025-01-24,1087000,1155.1,-310.9,131.6,187.4,4.5,8.5,9.4,0.1,2.0,163.4,-0.4,0.0,-8.3,0.1
2025-01-31,1081000,893.9,-9.2,-69.5,58.6,31.7,-2.9,-18.6,-0.1,0.0,74.5,-25.9,0.0,2.4,17.6
2025-02-03,1095000,1083.3,-58.7,7.5,55.0,-46.5,11.6,6.0,-0.0,3.5,89.3,-8.9,0.0,-3.1,-0.7
2025-02-04,1072000,1087.1,139.9,-127.3,-17.4,10.4,-14.4,-64.5,0.2,-0.1,58.2,-7.1,0.0,4.7,0.1
2025-02-05,1085000,630.5,-105.4,5.8,102.5,31.1,2.1,0.1,-0.1,0.0,57.8,11.7,0.0,-1.9,-0.9
2025-02-06,1089000,515.0,-53.8,24.9,30.6,11.4,1.0,-10.5,-0.0,0.0,31.5,-2.8,0.0,-1.2,-0.4
2025-02-07,1160000,2169.8,-813.1,769.5,102.1,13.4,-4.3,-3.2,-0.8,-0.4,90.6,6.8,0.0,-56.4,-2.2
2025-02-10,1130000,1122.8,98.1,-137.9,30.8,12.3,-14.8,-4.6,0.8,-0.6,43.6,-5.9,0.0,9.0,-0.1
2025-02-11,1174000,1069.9,-175.2,75.0,105.7,1.7,-2.3,9.8,-0.2,-0.9,81.1,16.5,0.0,-4.9,-0.6
2025-02-12,1157000,993.1,100.5,-199.9,107.9,101.0,1.2,-22.6,-0.2,0.0,31.0,-2.5,0.0,-10.1,1.6
2025-02-13,1179000,939.0,-83.1,44.5,38.9,-13.5,8.9,5.4,-1.0,0.0,61.8,-22.8,0.0,0.0,-0.2
2025-02-14,1180000,1131.2,-91.6,-65.7,189.3,94.5,-4.2,-9.7,-6.0,1.0,108.8,4.9,0.0,-31.9,-0.1
2025-02-17,1185000,545.5,-16.3,-13.7,27.1,43.2,-14.5,-5.7,1.6,-0.7,10.4,-7.4,0.0,3.6,-0.7
2025-02-18,1175000,637.3,18.7,-88.7,67.7,91.5,-13.1,-17.1,-4.2,0.0,14.2,-3.7,0.0,0.7,1.6
2025-02-19,1156000,904.3,55.4,-82.9,31.4,118.7,-27.4,-1.9,0.0,0.6,-48.3,-10.4,0.0,4.7,-8.6
2025-02-20,1149000,895.5,18.9,67.3,-79.4,15.4,-16.1,-42.1,-0.4,-1.4,-39.9,5.1,0.0,-5.0,-1.8
2025-02-21,1157000,535.2,-55.0,79.5,-24.7,32.5,-8.8,-41.7,-0.1,0.0,-12.1,5.5,0.0,0.4,-0.2
2025-02-24,1151000,408.2,-22.1,80.2,-58.9,-26.7,-11.0,-21.8,0.2,0.0,2.7,-2.4,0.0,0.6,0.2
2025-02-25,1178000,1289.2,-224.5,327.3,-63.0,-100.7,7.5,7.4,1.2,-5.3,52.4,-25.5,0.0,-39.9,0.0
2025-02-26,1168000,673.9,80.3,-82.9,-2.0,18.0,-10.5,-20.7,0.5,0.6,9.9,0.1,0.0,4.4,0.2
2025-02-27,1159000,418.2,47.6,-22.7,-30.8,-26.1,2.8,5.0,-0.6,-2.9,-6.7,-2.4,0.0,5.2,0.7
2025-02-28,1116000,1135.7,133.4,-41.5,-89.1,-53.2,-1.7,-41.2,0.2,-2.4,10.3,-1.1,0.0,-1.9,-0.9
2025-03-04,1120000,503.9,-40.1,53.8,-9.6,-15.1,5.9,4.3,0.0,3.2,-5.5,-2.5,0.0,-4.8,0.7
2025-03-05,1143000,594.8,-51.9,72.8,-23.6,-112.9,5.0,50.8,1.4,0.8,26.1,5.2,0.0,2.1,0.5
2025-03-06,1130000,485.6,73.5,-64.8,-13.8,4.3,-4.7,0.5,0.0,0.0,-6.8,-7.2,0.0,4.6,0.5
2025-03-07,1100000,551.8,114.8,-30.1,-85.7,-8.8,-12.7,-18.9,0.0,-4.2,-31.0,-10.1,0.0,1.0,-0.0
2025-03-10,1083000,692.4,54.5,-42.5,-15.5,37.5,-9.5,-47.1,0.2,0.6,21.8,-19.1,0.0,-4.2,7.8
2025-03-11,1068000,497.6,18.4,-52.7,35.6,-18.7,12.1,-16.6,1.4,-0.3,50.6,7.3,0.0,-1.2,-0.2
2025-03-12,1079000,602.0,-1.2,-128.1,12.5,-18.7,4.3,2.4,0.0,-2.2,26.5,0.2,0.0,117.4,-0.6
2025-03-13,1053000,1171.7,198.6,-275.2,23.2,37.0,-6.6,-62.9,-0.4,5.0,67.1,-16.1,0.0,53.2,0.2
2025-03-14,1051000,840.8,68.5,-147.4,52.4,53.2,2.8,-13.0,0.0,0.5,12.6,-3.8,0.0,26.1,0.4
2025-03-17,1069000,572.4,-47.0,41.2,3.1,66.8,-10.5,0.2,0.0,0.5,-48.7,-5.2,0.0,2.6,0.1
2025-03-18,1084000,482.0,-77.3,23.5,53.6,40.0,-3.2,-0.1,0.0,5.4,13.7,-2.1,0.0,0.4,-0.3
2025-03-19,1079000,423.9,27.7,-26.6,-18.4,4.0,-1.1,2.9,0.0,0.1,-23.5,-0.7,0.0,17.4,-0.1
2025-03-20,1072000,469.9,42.2,32.0,-87.5,6.5,-13.4,-30.3,-0.3,0.0,-37.4,-12.7,0.0,29.6,-16.3
2025-03-21,1095000,970.2,-140.6,137.2,5.3,-45.9,-3.0,-3.2,-0.5,0.0,65.3,-7.4,0.0,-1.9,-0.0
2025-03-24,1078000,255.1,55.7,8.7,-69.8,-15.6,-15.7,-36.0,-0.2,0.0,4.1,-6.5,0.0,5.5,-0.1
2025-03-25,1074000,461.4,32.3,-33.4,-0.7,28.5,-6.7,-0.8,-0.7,-1.0,-19.0,-0.9,0.0,1.8,0.0
