date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2025-11-24,1789000,9879.0,-610.6,-468.5,1214.3,-872.3,77.0,637.7,2.8,5.0,1111.3,252.8,0.0,-137.0,1.9
2025-11-25,1627000,3702.3,1104.3,-719.0,-436.7,58.5,-35.3,-246.6,-1.5,1.2,-108.0,-104.9,0.0,50.0,1.4
2025-11-26,1651000,1916.6,-275.1,384.7,-141.3,21.9,8.8,-126.1,3.2,2.2,-67.7,16.4,0.0,31.9,-0.2
2025-11-27,1646000,1178.9,-2.0,7.2,-9.1,3.0,-4.1,-6.0,0.0,0.0,19.5,-21.6,0.0,4.0,-0.1
2025-11-28,1607000,815.0,101.6,-42.4,-37.5,61.2,-7.1,-3.6,0.0,0.2,-41.4,-46.8,0.0,-21.7,-0.1
2025-12-01,1649000,895.5,-170.2,-57.1,237.1,-0.0,17.1,164.2,1.4,0.0,62.0,-7.5,0.0,-10.0,0.3
2025-12-02,1654000,556.2,103.2,-52.8,-53.1,13.7,-22.0,-29.8,0.0,0.1,5.9,-20.9,0.0,2.4,0.3
2025-12-03,1654000,736.1,144.1,-37.3,-87.7,50.2,0.5,-91.0,0.0,0.0,4.0,-51.5,0.0,-19.5,0.4
2025-12-04,1680000,580.0,6.9,14.7,-21.6,-6.9,-4.6,10.5,0.0,0.0,-21.0,0.3,0.0,-0.1,0.2
2025-12-05,1641000,896.7,319.6,-258.5,-80.8,62.9,-9.6,-23.2,-0.7,-3.1,-109.0,1.7,0.0,18.2,1.5
2025-12-08,1629000,598.1,30.0,112.8,-144.4,-33.1,-8.8,-8.0,-0.0,0.2,-99.2,4.5,0.0,1.1,0.6
2025-12-09,1660000,740.8,-211.4,224.0,-3.3,9.8,-7.7,-34.2,1.8,-1.0,32.5,-4.5,0.0,-9.5,0.2
2025-12-10,1665000,577.8,-45.4,86.4,-43.6,-8.8,-15.4,-11.8,0.0,0.0,2.8,-10.4,0.0,2.1,0.5
2025-12-11,1669000,1020.5,-80.0,173.1,-105.8,-148.1,-20.5,55.0,-2.0,-1.0,8.2,2.7,0.0,13.3,-0.6
2025-12-12,1692000,756.4,-53.3,-88.5,196.5,128.3,3.9,38.5,0.0,1.7,18.9,5.3,0.0,-54.6,-0.1
2025-12-15,1772000,1898.7,-616.5,87.5,568.2,24.1,24.6,302.7,-0.7,5.4,181.3,30.7,0.0,-41.1,1.9
2025-12-16,1790000,973.8,-95.8,-82.7,193.0,-9.0,5.1,64.7,0.0,2.5,126.2,3.6,0.0,-14.2,-0.3
2025-12-17,1750000,714.0,4.8,24.6,-17.5,46.5,-3.6,-13.0,0.0,0.2,-41.2,-6.4,0.0,-12.0,0.0
2025-12-18,1738000,678.6,39.9,-92.5,51.2,31.3,-1.1,14.9,3.1,0.4,13.7,-11.0,0.0,1.1,0.3
2025-12-19,1733000,788.1,95.0,-128.4,32.9,36.6,9.9,-6.4,0.4,0.4,-8.6,0.6,0.0,0.1,0.5
2025-12-22,1724000,736.6,153.9,-117.5,-38.8,73.7,-18.7,1.7,-0.1,0.2,-80.6,-14.9,0.0,1.8,0.6
2025-12-23,1720000,622.7,34.6,40.0,-65.8,9.0,-13.6,-15.3,0.0,0.1,-37.9,-8.0,0.0,-10.6,1.7
2025-12-24,1691000,626.5,190.4,-61.5,-148.3,-36.6,-5.7,-42.9,0.0,2.1,-42.8,-22.5,0.0,18.1,1.3
2025-12-26,1692000,454.7,41.7,-63.4,16.2,21.8,5.4,12.0,0.0,0.0,-15.7,-7.4,0.0,4.7,0.9
2025-12-29,1706000,440.1,4.8,85.7,-100.1,12.9,-7.2,-36.7,-3.1,0.2,-53.7,-12.5,0.0,8.9,0.7
2025-12-30,1695000,457.4,86.2,-14.7,-71.5,-2.8,0.3,-2.5,-0.2,0.1,-60.5,-5.8,0.0,0.1,-0.1
2026-01-02,1683000,787.0,350.0,-100.2,-260.2,-42.2,-30.6,-75.7,-0.4,3.1,-93.4,-21.0,0.0,11.6,-1.2
2026-01-05,1713000,875.1,-138.6,340.6,-196.3,-53.7,-34.7,-22.6,-0.5,-2.9,-67.1,-14.8,0.0,-3.4,-2.3
