date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2025-03-07,11100,4955.9,168.9,-20.2,-103.8,-19.0,-0.9,-15.9,-6.8,-0.8,-0.2,-60.2,0.0,-47.1,2.2
2025-03-10,12200,2892.2,-2.1,0.4,-0.5,0.0,0.0,-0.0,-0.1,0.0,0.0,-0.5,0.0,0.7,1.7
2025-03-11,11940,2158.0,-2.8,-1.4,3.0,2.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.9,2.1
2025-03-12,11830,953.3,-4.2,4.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.1,-1.7
2025-03-13,12000,1000.0,4.0,-4.8,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.3
2025-03-14,12110,391.8,-8.2,11.9,-1.6,-2.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,-0.6,-1.5
2025-03-17,11150,244.6,10.0,-10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.1
2025-03-18,10620,144.3,0.3,0.7,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5
2025-03-19,11210,712.4,-12.0,11.6,0.2,-0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.3,-0.1
2025-03-20,10720,109.5,4.1,-4.3,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.3,0.1
2025-03-21,10130,71.4,-1.9,0.8,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.2
2025-03-24,9680,61.0,-1.2,2.0,-0.7,0.2,0.0,0.2,0.0,0.0,0.0,-1.0,0.0,-0.0,-0.1
2025-03-25,9530,130.9,4.0,-4.1,-1.5,-0.2,0.0,-1.9,1.0,0.0,0.0,-0.3,0.0,0.3,1.2
2025-03-26,9380,48.8,-3.5,0.8,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,-0.0,2.4
2025-03-27,9000,45.7,1.6,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2
2025-03-28,8880,45.5,-1.2,-0.6,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,-0.1,1.6
2025-03-31,8200,24.7,0.2,-0.6,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.3
2025-04-01,8700,29.9,-6.1,3.3,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3,2.0
2025-04-02,9040,98.3,0.1,-1.6,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,1.2
2025-04-03,9120,64.1,-2.6,1.4,1.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.1,0.1
2025-04-04,8490,32.9,0.1,-0.8,0.4,0.1,0.0,0.2,0.0,0.0,0.0,0.1,0.0,-0.2,0.4
2025-04-07,8170,45.5,6.1,1.1,1.1,0.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,-8.8,0.5
2025-04-08,7730,37.3,8.3,-3.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,-5.8,0.2
2025-04-09,7650,17.6,-1.6,0.4,2.2,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.0,-1.1,0.1
2025-04-10,7850,29.0,5.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.5,0.7
2025-04-11,8240,51.1,7.8,1.3,-0.1,0.0,0.0,-0.1,0.0,0.0,0.0,-0.0,0.0,-9.3,0.3
2025-04-14,8440,38.2,3.4,-0.7,-0.8,-0.1,0.0,0.0,0.0,0.0,-0.7,0.0,0.0,-2.5,0.5
2025-04-15,8760,40.6,-2.0,3.4,1.5,-0.0,0.0,0.9,0.0,0.0,-0.8,1.4,0.0,-2.9,-0.0
2025-04-16,9260,261.6,-6.3,0.3,3.1,-0.1,0.0,2.2,0.0,0.0,-1.1,2.1,0.0,4.0,-1.1
2025-04-17,10680,1006.9,1.4,-0.9,0.5,0.0,0.0,1.3,-0.1,0.0,-1.8,1.0,0.0,-0.9,-0.1
2025-04-18,10590,175.0,-5.2,4.5,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2
2025-04-21,11340,1238.0,20.2,-16.1,-0.4,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3,-0.4
