date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2025-11-03,99800,255.0,33.1,38.9,-69.8,-30.9,-36.9,-5.8,0.0,0.0,5.8,-2.0,0.0,-2.1,-0.1
2025-11-04,98200,173.9,41.2,-4.3,-36.1,-28.8,-0.0,-3.0,0.0,0.0,-0.2,-4.1,0.0,-0.8,0.1
2025-11-05,93900,174.2,4.2,18.4,-17.3,-9.0,-6.3,-1.3,0.0,0.7,0.6,-1.9,0.0,-5.2,-0.0
2025-11-06,93800,115.7,15.3,0.7,-16.0,-6.6,-3.1,0.1,0.0,0.1,-0.1,-6.5,0.0,0.1,-0.1
2025-11-07,88200,223.9,58.6,-11.9,-50.3,-17.2,0.4,-12.7,0.0,1.2,-9.3,-12.7,0.0,3.6,0.0
2025-11-10,93000,98.8,-16.0,2.9,12.7,-2.5,-0.4,8.7,0.0,0.0,-0.2,7.1,0.0,0.6,-0.2
2025-11-11,93500,110.7,-0.5,8.9,-8.4,-7.5,-7.2,0.9,0.0,1.6,2.8,0.9,0.0,0.1,-0.1
2025-11-12,92800,72.2,18.1,6.3,-23.6,-13.1,2.8,-2.0,0.0,0.0,-10.9,-0.4,0.0,-0.8,0.0
2025-11-13,94000,72.5,-5.3,9.5,-3.8,-10.5,-1.4,6.6,0.0,0.0,3.9,-2.4,0.0,-0.3,0.0
2025-11-14,90400,82.6,34.2,-16.1,-18.0,-0.5,-0.7,0.3,-0.1,-1.1,-4.0,-11.9,0.0,-0.1,0.0
2025-11-17,91600,42.5,-2.6,9.5,-5.4,-3.1,-0.8,-0.3,0.0,0.0,-0.4,-0.8,0.0,-1.6,0.1
2025-11-18,88700,76.2,15.7,-1.7,-12.9,-12.7,0.5,-0.1,0.0,0.0,1.6,-2.2,0.0,-1.1,0.0
2025-11-19,89700,79.0,1.3,11.0,-10.1,-11.0,1.6,0.1,0.0,0.1,-2.5,1.6,0.0,-2.1,-0.0
2025-11-20,92300,83.5,-2.9,1.5,1.4,-2.6,-0.1,-1.3,0.0,0.0,-0.2,5.6,0.0,0.0,0.0
2025-11-21,90400,86.8,33.8,-16.1,-17.6,1.5,-0.1,-0.0,-0.1,0.0,-2.7,-16.3,0.0,-0.1,0.1
2025-11-24,95500,431.8,-12.3,-13.3,25.3,-9.3,0.8,16.5,0.0,-0.3,-2.1,19.7,0.0,-0.1,0.4
2025-11-25,92700,159.5,48.5,-47.2,-0.7,-1.5,0.8,0.9,0.0,0.0,1.3,-2.2,0.0,-0.7,0.0
2025-11-26,96900,171.3,-28.5,29.4,-2.1,-10.8,-0.8,5.3,0.0,0.0,-0.1,4.2,0.0,0.8,0.4
2025-11-27,94600,90.7,18.5,-5.6,-13.4,-3.0,-0.0,-5.0,0.0,0.0,-3.5,-1.8,0.0,0.5,0.1
2025-11-28,93800,115.8,21.4,3.2,-25.7,-1.4,-1.1,-4.5,0.0,0.0,-7.4,-11.2,0.0,1.0,0.0
2025-12-01,92800,92.6,26.1,-7.7,-18.5,-6.8,-0.6,-3.1,0.0,0.0,-3.8,-4.2,0.0,0.2,-0.0
2025-12-02,94900,92.0,5.3,7.5,-14.2,-13.8,0.0,3.1,-0.1,0.0,-2.7,-0.8,0.0,1.3,0.0
2025-12-03,95400,112.0,2.8,6.8,-10.6,-10.2,0.8,-0.4,0.0,0.0,0.0,-0.7,0.0,0.7,0.2
2025-12-04,95500,83.1,8.4,5.9,-15.8,-11.3,-0.3,-3.4,0.0,0.0,-0.0,-0.8,0.0,1.5,0.0
2025-12-05,96200,87.0,2.7,24.8,-27.8,-20.3,-0.3,-7.4,0.0,1.5,0.3,-1.6,0.0,0.2,-0.0
2025-12-08,96700,118.7,6.1,0.3,-14.9,-12.1,-0.3,1.1,0.0,0.3,-5.5,1.6,0.0,8.2,0.3
2025-12-09,97000,108.2,-0.1,9.8,-10.7,-4.4,-0.8,2.8,0.0,0.1,-8.4,-0.1,0.0,1.0,0.0
2025-12-10,99800,155.9,-24.0,9.2,16.2,2.4,-0.5,8.6,0.0,0.2,5.6,-0.1,0.0,-0.6,-0.9
2025-12-11,105600,484.9,-146.3,127.2,23.3,-14.7,8.9,18.9,0.0,0.3,1.5,8.5,0.0,-4.1,-0.1
2025-12-12,107800,273.1,-33.2,-1.1,33.1,-1.3,1.9,23.9,0.0,0.0,0.9,7.8,0.0,1.1,0.1
2025-12-15,109100,257.2,-36.4,-8.7,40.1,-4.6,9.3,8.1,0.0,-0.2,15.2,12.3,0.0,4.8,0.2
2025-12-16,105000,250.9,1.5,-1.5,-5.2,-24.4,-0.5,9.0,0.0,0.0,9.6,1.0,0.0,5.5,-0.3
2025-12-17,104800,161.0,10.9,-6.0,-6.3,-2.8,2.3,-17.3,0.0,0.0,11.3,0.2,0.0,0.4,1.0
2025-12-18,98900,188.0,15.9,-13.1,-5.4,-0.2,0.1,-7.2,0.0,0.2,8.0,-6.3,0.0,2.7,-0.0
2025-12-19,98700,178.6,36.0,-26.5,-9.4,-5.2,2.3,-0.8,0.0,0.2,-7.1,1.2,0.0,-0.3,0.1
2025-12-22,95500,309.4,133.0,-70.8,-63.0,-32.2,-0.7,-10.6,0.0,-0.2,-1.9,-17.4,0.0,0.8,-0.0
2025-12-23,93400,198.8,70.7,-17.5,-49.7,-3.4,-10.5,-28.4,0.0,0.1,-3.1,-4.4,0.0,-4.1,0.6
2025-12-24,94400,121.1,15.5,-27.4,13.5,-8.0,-0.2,15.8,0.0,0.1,7.1,-1.4,0.0,-1.6,-0.0
2025-12-26,93200,199.0,24.1,-59.7,33.6,-15.0,-0.8,36.5,0.0,0.0,13.9,-1.0,0.0,2.0,-0.0
2025-12-29,104500,537.2,-93.1,40.5,53.7,2.8,-1.6,19.9,0.0,-0.3,-3.7,36.7,0.0,-1.7,0.6
2025-12-30,98400,251.3,83.3,-103.3,18.3,0.5,10.3,2.7,0.0,0.0,7.1,-2.3,0.0,2.3,-0.6
2026-01-02,97400,114.7,49.2,-38.8,-19.0,-7.8,-0.7,-9.6,-0.0,0.0,-1.0,0.1,0.0,8.6,0.0
2026-01-05,102100,175.9,-23.8,34.8,-11.6,-16.6,4.1,-12.1,-0.1,-0.3,12.0,1.4,0.0,0.6,-0.0
2026-01-06,109900,427.7,-115.0,65.3,55.8,-27.0,27.8,35.1,-0.1,-0.3,6.8,13.3,0.0,-4.2,-1.9
2026-01-07,107400,145.3,-16.7,-2.3,20.6,2.1,0.9,9.8,0.1,0.0,9.8,-1.9,0.0,-1.6,-0.0
2026-01-08,103500,96.8,7.4,-13.5,4.9,-0.4,-1.2,3.0,-0.1,0.0,2.6,0.9,0.0,1.3,-0.1
2026-01-09,110000,224.2,-17.2,-8.4,20.6,-23.7,6.2,4.1,0.0,0.2,-5.5,39.2,0.0,5.0,0.1
2026-01-12,122100,537.4,-149.6,42.1,105.0,4.8,10.8,56.4,0.0,-0.6,-4.6,38.1,0.0,2.3,0.1
2026-01-13,122000,190.1,-19.1,-12.9,28.1,9.0,1.5,4.1,0.1,2.0,8.3,3.1,0.0,2.2,1.6
2026-01-14,120300,569.2,-1.5,-53.0,56.6,4.4,2.1,46.4,-1.3,-0.4,-14.4,19.8,0.0,-2.2,0.1
2026-01-15,121000,266.9,51.0,-4.5,-52.4,5.3,-2.9,-21.6,-0.1,-1.3,-48.2,16.3,0.0,6.0,-0.0
2026-01-16,119700,188.5,23.5,37.9,-60.6,2.5,-2.8,-4.2,0.1,-0.1,-49.8,-6.4,0.0,-0.8,0.0
2026-01-19,122400,263.0,4.8,27.8,-31.1,4.9,-0.4,-20.2,-0.0,0.0,-36.6,21.1,0.0,-1.4,0.0
2026-01-20,115800,331.4,193.9,-88.0,-105.9,12.2,-0.8,-37.4,0.0,-0.6,-40.8,-38.6,0.0,-0.3,0.3
