date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2025-04-01,39850,52.5,-4.3,4.1,4.0,4.3,0.2,-0.8,0.0,0.0,1.4,-1.2,0.0,-3.8,-0.1
2025-04-02,39900,59.0,5.9,-8.5,2.1,0.3,0.0,0.4,0.0,0.0,0.0,1.4,0.0,0.5,0.0
2025-04-03,37800,61.9,12.1,-2.3,-8.7,0.3,0.1,-8.8,0.0,0.0,0.0,-0.3,0.0,-1.1,0.0
2025-04-04,34950,82.5,-11.5,3.2,7.9,6.2,-0.3,0.3,0.0,0.0,0.0,1.7,0.0,0.1,0.3
2025-04-07,31250,39.7,11.6,-5.5,-7.1,-6.0,0.0,0.3,0.0,0.0,0.0,-1.4,0.0,0.1,1.0
2025-04-08,29600,51.6,9.0,4.2,-14.0,1.2,0.0,-9.4,0.0,0.0,-1.1,-4.7,0.0,0.2,0.6
2025-04-09,27800,33.3,-0.2,4.6,-4.7,-0.3,-0.0,-2.2,0.0,0.0,-1.9,-0.4,0.0,0.1,0.3
2025-04-10,31100,58.9,-9.5,7.0,4.5,1.2,-2.0,4.5,-0.0,0.0,-0.9,1.7,0.0,-1.9,-0.0
2025-04-11,31350,27.6,4.8,-1.0,-4.0,-1.1,-0.6,0.2,0.0,0.0,-3.1,0.7,0.0,0.1,0.0
2025-04-14,31300,15.2,3.9,-1.4,-2.6,-0.8,-0.5,1.1,0.0,0.0,-2.4,0.0,0.0,0.0,0.0
2025-04-15,31700,20.8,7.0,-1.9,-5.4,-0.5,-0.9,-1.1,0.0,0.0,-3.8,0.9,0.0,0.2,0.0
2025-04-16,31350,27.1,3.5,-5.1,1.6,-1.0,0.2,0.7,0.0,0.0,1.8,-0.1,0.0,0.0,0.0
2025-04-17,33550,50.1,-3.9,-4.1,8.5,0.8,0.0,7.4,0.0,0.0,0.0,0.3,0.0,-0.2,-0.3
2025-04-18,33600,25.9,3.9,-9.0,5.0,1.7,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2025-04-21,32500,32.9,-0.7,-4.2,4.7,-0.3,0.0,4.6,0.0,0.0,0.0,0.5,0.0,0.3,-0.0
2025-04-22,31900,13.3,4.4,-3.9,-0.6,0.1,0.0,0.2,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
2025-04-23,32200,10.9,0.8,-0.9,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-0.1,0.0
2025-04-24,32250,15.6,1.7,-1.4,-0.4,-0.6,0.0,-0.1,0.0,0.0,0.0,0.3,0.0,0.1,0.0
2025-04-25,32800,16.6,-0.8,1.6,-0.5,-0.2,0.0,0.3,0.0,0.0,0.0,-0.6,0.0,-0.3,0.0
2025-04-28,32100,13.9,-0.4,-3.3,3.8,-0.8,0.0,3.0,0.0,0.0,0.0,1.7,0.0,-0.1,-0.1
2025-04-29,32300,12.9,-2.9,2.7,0.3,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1
2025-04-30,32200,12.0,5.4,-3.9,-1.4,-1.3,0.0,0.1,0.0,0.0,0.0,-0.2,0.0,-0.0,0.0
2025-05-02,33750,36.6,-7.4,0.9,6.8,0.5,0.0,0.3,0.0,0.0,5.8,0.1,0.0,-0.0,-0.3
2025-05-07,33400,15.1,6.5,-6.8,0.3,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-08,34650,42.0,-3.9,6.5,-3.0,-2.6,0.0,-1.2,0.0,0.0,0.0,0.8,0.0,0.3,0.1
2025-05-09,32000,80.9,24.4,-13.4,-10.6,-3.2,0.0,-4.0,0.0,0.0,0.0,-3.5,0.0,-0.2,-0.1
2025-05-12,38250,220.9,-36.1,5.3,29.9,3.8,0.0,-7.1,0.0,0.0,8.6,24.6,0.0,1.0,-0.1
2025-05-13,37200,60.2,9.3,-3.0,-6.2,1.0,-1.0,-3.2,0.0,0.0,-4.2,1.2,0.0,-0.2,0.1
2025-05-14,38350,52.1,-0.8,-0.5,1.4,4.5,0.0,-1.6,0.0,0.0,0.0,-1.6,0.0,-0.0,0.0
2025-05-15,37900,31.2,3.5,-1.3,-2.6,3.1,0.0,-0.3,0.0,0.0,0.0,-5.4,0.0,0.3,0.0
2025-05-16,36550,43.3,5.6,4.1,-9.4,1.0,-0.1,-0.1,0.0,0.0,-1.8,-8.3,0.0,-0.4,0.0
2025-05-19,35250,20.2,-2.3,3.2,-0.9,0.0,0.0,-0.7,0.0,0.0,0.0,-0.3,0.0,0.0,0.0
2025-05-20,40350,100.0,-20.1,14.0,6.1,-0.9,-0.0,2.1,0.0,0.0,7.0,-2.1,0.0,0.0,-0.0
2025-05-21,45350,161.5,-9.2,-32.0,40.4,3.6,0.1,10.9,0.0,0.0,14.2,11.7,0.0,0.9,-0.1
2025-05-22,47700,196.0,3.0,-15.2,11.7,-8.8,-0.3,10.9,0.0,0.0,0.1,9.8,0.0,0.4,0.0
2025-05-23,43350,415.7,53.6,-3.8,-49.4,-13.9,-3.9,-4.3,0.0,0.4,-0.5,-27.2,0.0,-1.4,0.9
2025-05-26,38200,237.2,39.5,12.2,-52.6,6.0,-9.7,-14.8,0.0,0.0,-24.4,-9.7,0.0,0.2,0.7
2025-05-27,39000,106.1,8.4,-15.6,7.0,-0.5,0.2,-0.4,0.0,0.0,12.3,-4.7,0.0,0.1,0.1
2025-05-28,37950,65.8,9.3,-8.9,-0.4,0.2,0.1,-4.2,0.0,0.0,7.8,-4.4,0.0,-0.0,0.0
2025-05-29,37500,26.1,0.5,-1.5,0.8,1.4,0.1,0.0,0.0,0.0,0.2,-1.0,0.0,0.2,0.1
2025-05-30,36650,34.9,-0.4,0.2,-0.3,0.1,-0.2,-0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.2
2025-06-02,35750,29.3,-0.1,0.3,-0.5,0.2,0.0,-0.0,0.0,-0.0,-0.7,0.0,0.0,0.3,0.1
2025-06-04,36350,30.3,0.1,-3.8,4.1,4.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0
2025-06-05,35000,50.4,9.0,-3.5,-5.8,1.7,-0.7,-6.4,0.0,0.0,-0.7,0.3,0.0,0.3,0.1
2025-06-09,35450,20.1,-1.8,0.4,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2025-06-10,35000,50.5,25.6,-18.4,-7.2,-0.2,-1.6,-2.0,0.0,0.0,-3.0,-0.5,0.0,-0.1,0.1
2025-06-11,35750,29.0,-6.4,6.3,0.1,1.0,0.0,-0.2,0.0,0.0,-0.7,0.0,0.0,-0.0,0.0
2025-06-12,34550,57.2,38.3,-21.5,-17.5,2.2,0.0,-12.4,0.0,0.0,-4.5,-2.8,0.0,0.5,0.2
2025-06-13,32700,84.7,5.8,8.1,-14.6,1.1,0.0,-11.2,0.0,0.0,-4.4,0.0,0.0,0.3,0.4
2025-06-16,33050,29.4,3.4,-1.8,2.4,0.5,0.0,7.5,0.0,0.0,-0.7,-4.9,0.0,-4.0,0.1
2025-06-17,32550,32.8,9.2,6.3,-15.7,-2.9,0.0,-2.0,0.0,0.0,-10.7,0.0,0.0,0.2,0.0
2025-06-18,33000,20.9,1.5,4.6,-6.2,-6.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2025-06-19,32950,24.0,6.0,-5.5,-0.9,0.5,0.0,0.0,0.0,-0.3,-1.2,0.0,0.0,0.0,0.4
2025-06-20,34150,56.6,2.6,-2.6,-0.6,0.5,0.0,-1.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2025-06-23,33400,18.6,5.9,0.1,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2025-06-24,34100,20.0,-2.9,2.7,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2025-06-25,33400,23.4,3.6,-1.7,-1.5,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.4
2025-06-26,32650,21.3,6.9,-4.7,-2.4,-2.1,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.2,0.0
2025-06-27,32500,7.6,3.1,-3.1,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2025-06-30,33500,18.4,-2.3,4.3,-1.6,-1.0,-0.3,0.3,0.0,0.0,-0.6,0.0,0.0,-0.0,-0.4
