date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2025-01-02,22100,34.6,14.3,-9.9,-4.6,-3.6,0.0,-0.1,0.0,0.0,-0.8,-0.1,0.0,0.2,-0.0
2025-01-03,23600,63.0,-32.5,24.8,7.7,3.3,0.0,0.7,0.0,0.0,3.6,0.0,0.0,0.0,0.0
2025-01-06,25150,64.4,-15.7,7.1,8.5,1.9,-0.4,-0.2,0.0,0.0,7.2,-0.1,0.0,0.2,-0.1
2025-01-07,25150,39.9,-2.1,-2.2,4.4,-1.9,0.0,0.5,0.0,0.0,5.9,-0.1,0.0,-0.1,0.0
2025-01-08,25650,38.4,-1.0,1.2,-0.3,-2.9,0.7,0.3,0.0,0.0,1.6,-0.0,0.0,-0.0,0.1
2025-01-09,25450,55.0,3.0,7.6,-10.6,-8.3,0.0,-1.6,-0.1,-0.1,0.0,-0.5,0.0,0.0,-0.1
2025-01-10,25000,24.6,3.2,-0.4,-2.9,-3.0,-0.0,-1.2,0.0,0.0,1.7,-0.4,0.0,-0.0,0.1
2025-01-13,24800,19.3,-0.2,-0.5,0.8,1.1,0.0,-1.4,0.0,0.0,1.5,-0.5,0.0,-0.0,-0.1
2025-01-14,25500,38.4,-0.3,-4.6,6.2,3.0,0.8,1.4,0.0,0.0,1.1,-0.1,0.0,-1.3,-0.0
2025-01-15,24700,31.0,9.6,-4.5,-5.3,-4.8,0.0,-0.5,0.0,0.0,0.5,-0.4,0.0,0.0,0.1
2025-01-16,25100,25.1,-2.4,1.5,0.8,1.4,0.0,0.1,0.0,0.0,-0.3,-0.3,0.0,0.0,0.0
2025-01-17,24750,22.4,6.8,-6.6,-0.2,-0.6,-0.0,-0.1,0.0,0.0,0.7,-0.2,0.0,0.0,0.0
2025-01-20,25550,44.4,-5.6,1.5,4.2,6.1,0.0,-1.9,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.1
2025-01-21,23600,77.9,44.1,-35.4,-8.8,-7.5,0.0,-0.3,0.0,0.0,-1.0,-0.0,0.0,-0.1,0.1
2025-01-22,24150,39.4,-9.6,5.2,3.9,4.0,-0.1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.5,0.0
2025-01-23,23150,27.4,12.4,-7.9,-4.6,-3.5,0.0,-0.4,0.0,0.0,-0.7,-0.0,0.0,0.0,0.0
2025-01-24,23300,25.0,0.2,-1.3,1.1,1.0,-0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-31,23000,26.2,5.0,-7.0,2.0,2.1,0.0,-0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0
2025-02-03,21700,49.6,19.8,-12.6,-7.3,-6.6,0.0,-0.5,0.0,0.0,0.2,-0.5,0.0,0.1,0.0
2025-02-04,22300,41.2,-11.6,12.1,0.1,4.3,-0.3,-0.5,0.0,0.0,-3.5,0.0,0.0,-0.7,0.0
2025-02-05,23550,42.4,-8.0,1.0,7.1,3.8,-0.7,4.2,0.0,0.0,-0.4,0.1,0.0,-0.1,-0.0
2025-02-06,23700,55.7,6.0,-8.5,2.4,0.3,1.5,1.1,0.0,0.0,-0.6,0.1,0.0,0.0,0.1
2025-02-07,22900,35.1,11.9,-6.7,-5.3,-4.5,0.0,-0.3,0.0,0.0,-0.3,-0.3,0.0,0.1,0.1
2025-02-10,23500,32.6,-10.1,4.9,5.1,3.8,-0.5,0.1,0.0,0.0,1.7,-0.0,0.0,-0.1,0.1
2025-02-11,23400,30.5,1.8,-1.7,-0.1,1.3,-0.2,-0.2,0.0,0.0,-0.9,0.0,0.0,0.0,0.0
2025-02-12,23300,26.8,3.5,-3.0,-0.5,1.3,-0.1,-0.2,0.0,0.0,-1.4,-0.1,0.0,0.0,0.0
2025-02-13,24600,88.0,-26.9,20.0,7.0,7.9,-0.1,0.3,0.2,0.0,-1.4,0.0,0.0,0.0,-0.1
2025-02-14,24350,34.5,1.3,-6.4,5.1,1.6,-0.0,0.4,0.0,0.0,3.0,0.1,0.0,-0.0,-0.0
2025-02-17,25200,78.4,-12.8,6.0,6.8,2.0,-0.0,3.1,0.0,0.0,1.7,-0.0,0.0,-0.1,0.1
2025-02-18,25700,50.7,2.7,-10.5,7.7,0.9,2.6,1.6,0.0,0.0,2.5,0.1,0.0,0.0,0.1
