date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2023-11-17,57200,21970.1,2378.6,-1281.4,-1124.5,-89.9,-144.8,-338.1,-32.7,-2.5,-90.7,-425.8,0.0,13.7,13.6
2023-11-20,74300,6366.6,2.8,28.3,-55.8,-6.6,2.1,-20.2,-0.1,0.0,-13.1,-17.9,0.0,29.1,-4.4
2023-11-21,96500,15073.2,248.9,-102.3,-155.0,-10.4,-1.7,-43.8,0.0,0.0,18.9,-118.0,0.0,3.0,5.5
2023-11-22,91200,14463.8,206.9,-135.8,-100.7,-12.0,-2.3,-31.7,0.0,0.0,-10.2,-44.5,0.0,16.6,13.0
2023-11-23,99100,7319.4,-70.4,111.6,-17.8,-0.0,0.8,-22.1,0.0,0.0,2.1,1.4,0.0,-13.8,-9.6
2023-11-24,99100,4543.3,124.3,-77.1,-42.5,0.1,-1.3,-13.7,0.0,0.0,2.9,-30.5,0.0,1.6,-6.3
2023-11-27,124600,15564.9,-668.2,572.9,53.0,-9.1,2.8,7.6,0.0,-0.0,48.2,3.5,0.0,37.5,4.8
2023-11-28,133000,10448.2,349.2,-359.9,12.5,-0.7,-2.7,16.4,0.0,0.0,2.0,-2.5,0.0,-8.8,6.9
2023-11-29,136500,13133.6,207.5,-110.7,26.0,-5.5,0.5,30.4,0.0,0.0,-0.1,0.6,0.0,-125.3,2.6
2023-11-30,137000,4116.1,11.2,-7.4,10.3,-7.1,-0.5,12.3,0.0,0.0,0.0,5.6,0.0,-8.6,-5.5
2023-12-01,136400,2785.8,16.1,1.7,-16.4,-4.4,-0.5,7.7,0.0,0.0,-4.6,-14.6,0.0,-0.5,-0.9
2023-12-04,137500,4076.2,-4.9,2.0,29.8,-1.3,-0.1,14.1,0.0,0.0,21.1,-4.1,0.0,-29.0,2.1
2023-12-05,131800,2378.3,51.7,-2.2,-49.9,-1.3,0.5,-0.5,0.0,0.0,0.0,-48.5,0.0,2.5,-2.2
2023-12-06,121700,2951.1,-15.9,4.2,-0.7,-0.9,-5.5,2.0,0.0,0.0,-5.0,8.7,0.0,13.3,-0.9
2023-12-07,127000,4157.8,-70.6,32.7,25.4,-4.3,-1.6,18.7,-0.6,0.0,-1.8,15.0,0.0,-11.6,24.1
2023-12-08,134400,5018.6,-290.1,165.4,143.1,-2.0,0.0,139.9,0.0,0.0,0.0,5.2,0.0,2.5,-20.9
2023-12-11,140200,4192.6,-223.0,71.6,149.6,12.5,9.9,132.2,0.0,0.0,1.4,-6.5,0.0,2.4,-0.6
2023-12-12,140400,2322.6,-160.5,39.1,117.8,-10.0,1.8,124.1,0.0,0.0,-0.6,2.6,0.0,3.5,-0.0
2023-12-13,140500,1782.2,-100.3,69.8,44.9,-7.9,3.1,37.2,0.0,0.0,13.3,-0.8,0.0,-12.8,-1.5
2023-12-14,140500,2745.1,-39.2,-194.4,233.7,-25.0,34.7,289.0,0.1,0.0,-28.7,-36.4,0.0,5.8,-6.0
2023-12-15,169000,16756.3,-864.7,-24.4,897.9,-21.6,12.3,193.4,0.0,0.0,872.8,-158.9,0.0,-5.8,-3.0
2023-12-18,213000,18644.2,-866.3,470.5,366.8,2.6,40.1,195.3,0.0,0.0,511.3,-382.5,0.0,24.3,4.7
2023-12-19,205500,8582.2,313.5,-276.6,-23.5,-19.6,5.8,74.4,0.0,-0.6,8.9,-92.3,0.0,-12.3,-1.2
2023-12-20,205000,4081.7,-6.4,-1.8,-1.9,27.5,-0.8,-12.6,0.0,0.0,-4.9,-11.1,0.0,11.1,-0.9
2023-12-21,198900,2339.8,-29.2,38.8,-21.6,-11.1,-0.1,-8.4,0.0,0.0,0.2,-2.3,0.0,11.8,0.1
2023-12-22,188500,3464.6,-14.5,-23.3,38.6,10.0,0.1,35.6,0.0,0.0,5.8,-13.0,0.0,-2.7,1.9
2023-12-26,175800,2425.5,-166.7,74.7,79.8,16.8,-1.6,74.0,0.0,0.0,-8.1,-1.4,0.0,10.3,1.9
2023-12-27,171600,3759.4,127.3,-182.6,41.7,15.2,3.6,22.1,0.0,0.0,0.6,0.1,0.0,8.4,5.2
2023-12-28,188500,6941.9,-219.6,62.2,154.4,47.8,-0.1,103.9,0.0,0.0,3.6,-0.8,0.0,4.9,-1.8
2024-01-02,199900,2878.9,51.1,-7.5,-43.8,-13.8,0.0,-7.3,0.0,0.0,-22.6,-0.1,0.0,0.4,-0.2
2024-01-03,206000,2868.3,-2.2,44.9,-42.8,-45.5,0.8,3.1,-0.1,0.0,-1.0,-0.0,0.0,0.4,-0.3
2024-01-04,213000,2636.8,-78.7,65.6,-0.8,-12.5,3.2,9.5,0.0,0.0,14.2,-15.2,0.0,16.4,-2.6
2024-01-05,201000,10356.5,130.4,-28.4,-90.2,-9.1,8.8,12.3,0.3,0.5,41.5,-144.7,0.0,-14.7,2.9
2024-01-08,216000,5122.9,-377.5,257.6,103.4,-6.1,-1.2,11.1,0.0,0.0,106.1,-6.5,0.0,14.4,2.1
2024-01-09,220500,4858.3,-406.3,232.8,178.0,4.7,8.5,14.7,0.0,0.0,131.8,18.3,0.0,-2.9,-1.6
