date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2024-05-17,28700,10717.0,467.1,-45.4,-311.1,-36.8,-2.2,-62.3,-44.0,-2.6,-9.7,-153.5,0.0,-113.8,3.2
2024-05-20,22800,1618.1,9.0,-0.7,-3.9,0.0,-0.0,-2.3,0.0,0.0,-0.0,-1.5,0.0,-2.0,-2.5
2024-05-21,21350,737.3,45.5,1.1,-44.3,0.0,0.0,0.4,-0.0,-44.7,0.0,0.0,0.0,0.6,-2.9
2024-05-22,21200,458.3,-1.2,1.2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.5,-0.5
2024-05-23,20950,918.5,0.5,-0.4,1.1,0.0,0.0,1.1,0.0,0.0,0.0,-0.0,0.0,-0.7,-0.5
2024-05-24,20350,1091.2,-0.2,-1.9,-1.9,0.0,0.0,-0.8,0.0,0.0,0.0,-1.1,0.0,3.6,0.4
2024-05-27,18710,302.2,-0.3,3.2,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2.5,-0.4
2024-05-28,18160,225.0,1.3,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.1
2024-05-29,16810,185.6,-1.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2024-05-30,16200,201.4,1.4,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.3
2024-05-31,15810,143.3,0.7,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0
2024-06-03,15170,124.9,3.4,-0.9,-1.6,0.0,0.0,-0.1,0.0,0.0,0.0,-1.6,0.0,-0.1,-0.7
2024-06-04,14750,81.2,-0.5,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.1,-0.3
2024-06-05,14680,51.1,0.1,-0.1,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2024-06-07,14500,45.2,0.7,-0.2,-0.4,0.0,0.0,-0.4,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
2024-06-10,14890,231.8,-2.6,0.8,1.4,0.0,0.0,-0.1,0.0,0.0,0.0,1.5,0.0,0.3,0.1
2024-06-11,14290,67.6,1.1,-0.4,-0.2,0.0,0.0,-0.2,0.0,0.0,0.0,-0.0,0.0,-0.5,-0.0
2024-06-12,13280,66.6,1.1,-1.3,-0.1,0.0,0.0,-0.1,0.0,0.0,0.0,-0.0,0.0,-0.1,0.4
2024-06-13,13030,45.0,-0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.1
2024-06-14,12180,65.8,-0.4,-0.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,-0.1,-1.4
2024-06-17,11620,377.5,55.0,0.6,-20.0,-0.2,0.0,-0.1,-8.9,0.0,-9.7,-1.0,0.0,-35.7,0.1
2024-06-18,11770,109.5,10.6,1.6,-12.2,0.1,0.0,0.0,-12.5,0.0,0.0,0.2,0.0,-0.0,0.0
2024-06-19,11210,78.5,1.5,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.1
2024-06-20,11420,117.0,4.5,1.3,-3.7,0.0,0.0,0.0,0.0,0.0,-0.9,-2.8,0.0,-2.2,0.0
2024-06-21,11430,60.4,0.7,-0.7,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0
2024-06-24,10720,49.6,-1.2,1.3,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.1
2024-06-25,10190,42.4,4.6,0.2,-4.8,0.0,0.0,0.0,0.0,-5.1,0.0,0.3,0.0,-0.1,0.1
2024-06-26,10120,32.4,2.0,2.9,-4.9,0.0,0.0,0.0,0.0,-5.1,0.0,0.2,0.0,0.0,-0.0
2024-06-27,9720,39.9,5.5,-2.5,-2.9,0.0,0.0,0.0,0.0,-3.0,0.0,0.1,0.0,0.0,-0.1
2024-06-28,9430,30.7,-0.4,3.2,-2.9,0.0,0.0,0.0,0.0,-2.9,0.0,0.0,0.0,0.0,0.1
2024-07-01,9680,44.5,-2.2,7.7,-2.8,0.0,0.0,0.0,0.0,-2.9,0.0,0.1,0.0,-2.8,0.1
2024-07-02,9180,24.9,1.4,0.1,-1.2,0.0,0.0,0.0,0.0,-2.2,0.0,1.0,0.0,-0.3,-0.0
2024-07-03,9120,23.2,-2.4,2.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,-0.2
2024-07-04,9100,241.7,12.2,-6.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,-6.6,0.0
2024-07-05,9030,19.5,-2.8,2.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
2024-07-08,9240,25.1,-2.7,2.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
2024-07-09,9430,26.7,-1.6,1.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1
2024-07-10,9130,16.1,4.2,-4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-11,9120,19.9,1.1,-0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-0.2
2024-07-12,8650,21.4,4.2,-4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2024-07-15,8580,14.2,-0.5,0.6,-0.2,0.0,0.0,-0.0,-0.1,0.0,0.0,-0.1,0.0,0.0,0.0
2024-07-16,8280,11.4,1.9,-1.8,0.1,0.0,0.0,0.0,-0.0,0.0,0.0,0.1,0.0,0.0,-0.1
2024-07-17,8380,21.8,-0.1,2.9,-2.8,0.0,0.0,0.0,-2.8,0.0,0.0,0.1,0.0,0.0,0.0
2024-07-18,8470,17.1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2024-07-19,8280,7.9,1.7,-1.7,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2024-07-22,8240,25.0,-0.0,-0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
2024-07-23,8200,10.7,0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2024-07-24,8210,9.7,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2024-07-25,7950,10.3,0.2,-0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
2024-07-26,8030,7.7,-0.6,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
2024-07-29,8180,15.3,-3.3,3.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
2024-07-30,8020,8.5,3.6,-3.3,-0.2,0.0,0.0,0.1,0.0,0.0,0.0,-0.3,0.0,-0.0,0.0
2024-07-31,7980,8.3,0.3,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2024-08-01,8040,5.0,-0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-02,7590,11.2,2.8,-2.7,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
2024-08-05,6410,16.9,-2.2,2.3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.1
2024-08-06,6720,10.7,-2.9,2.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
2024-08-07,6860,5.5,-0.6,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
2024-08-08,6560,5.3,0.6,-0.5,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
2024-08-09,7050,10.2,-3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12,7200,5.8,-0.5,0.6,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,-0.0
2024-08-13,6920,26.0,5.0,2.3,-7.3,0.0,0.0,0.0,-7.3,0.0,0.0,-0.0,0.0,-0.0,0.0
2024-08-14,6870,12.4,1.2,3.2,-3.1,0.0,0.0,0.0,0.0,0.0,-2.2,-0.9,0.0,-1.4,0.0
2024-08-16,6870,9.3,0.3,0.5,-0.4,0.0,0.0,0.0,0.0,0.0,-0.3,-0.1,0.0,-0.4,-0.0
2024-08-19,6650,10.8,-1.4,1.5,-0.1,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2024-08-20,6990,13.2,-1.2,3.4,-1.3,0.0,0.0,0.0,0.0,0.0,-0.8,-0.6,0.0,-0.9,-0.0
2024-08-21,6780,4.5,0.7,-0.7,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2024-08-22,6650,5.2,-0.0,-0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
2024-08-23,8640,562.8,41.3,-5.5,-23.2,0.1,0.0,0.0,0.0,0.0,-13.6,-9.7,0.0,-12.6,0.0
2024-08-26,8300,486.5,11.4,-7.3,-0.6,-0.3,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,-3.6,0.1
2024-08-27,9950,1517.0,4.7,-10.6,4.8,3.9,0.0,-0.1,0.0,0.0,0.0,1.1,0.0,0.5,0.6
2024-08-28,9640,585.8,-3.7,-0.8,5.3,1.1,0.0,0.5,0.0,0.0,0.0,3.7,0.0,-0.3,-0.5
2024-08-29,9840,861.8,0.7,-2.4,-0.2,-0.1,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,1.1,0.8
2024-08-30,10090,723.1,-4.5,0.5,5.6,0.0,0.0,1.9,0.0,0.0,0.0,3.8,0.0,-0.9,-0.6
2024-09-02,9270,156.6,5.4,0.2,-5.5,-0.1,0.0,-1.6,0.0,0.0,0.0,-3.8,0.0,0.1,-0.2
2024-09-03,9450,152.4,-10.7,6.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,-0.1,0.0
2024-09-04,8880,144.0,13.3,2.5,-15.6,-4.2,0.0,-0.1,0.0,0.0,0.0,-11.3,0.0,-0.1,-0.0
2024-09-05,11540,2672.9,39.3,-16.1,-6.6,0.0,0.0,0.1,0.0,0.0,0.0,-6.7,0.0,-17.1,0.5
2024-09-06,10810,1110.4,-0.3,-0.8,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,0.0,1.0,1.0
2024-09-09,11130,504.8,0.2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1
2024-09-10,9820,308.6,11.1,1.5,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-11.8,-0.7
2024-09-11,9210,193.6,-0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,-0.1
2024-09-12,9350,129.2,-6.0,5.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1
2024-09-13,8850,167.1,4.5,-4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2024-09-19,9150,96.9,-6.1,5.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.1
2024-09-20,8700,118.6,7.5,-7.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.0,0.0,0.2,-0.4
2024-09-23,8780,37.2,0.6,-0.3,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,-0.4,-0.1
2024-09-24,8860,141.2,-0.7,-0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.6,0.1
2024-09-25,8790,177.5,-1.1,1.2,-0.1,0.0,0.0,-0.1,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
2024-09-26,9410,600.6,-14.0,14.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.1
2024-09-27,8830,82.3,12.5,-12.8,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.6,-0.1
