date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2025-11-03,62200,55.0,-8.1,4.7,0.7,0.9,-0.0,0.0,0.0,0.0,-0.1,-0.0,0.0,2.6,-0.0
2025-11-04,61200,23.2,6.2,-5.8,-0.5,-1.2,-0.0,0.0,0.0,0.0,0.7,-0.0,0.0,0.1,0.0
2025-11-05,59200,35.8,12.0,-11.0,0.4,0.3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,0.0
2025-11-06,59600,23.0,-2.2,1.6,0.6,0.2,-0.0,0.0,0.0,0.0,0.5,-0.0,0.0,-0.1,0.0
2025-11-07,58000,28.2,13.0,-15.0,1.7,-0.6,0.3,0.3,0.0,0.0,1.5,0.2,0.0,0.3,0.0
2025-11-10,59000,18.3,-7.0,6.0,1.0,2.0,-0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.1,0.0
2025-11-11,59500,32.0,-6.7,6.1,0.7,0.6,0.2,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1
2025-11-12,62200,52.8,-30.1,24.0,5.7,0.5,0.5,0.0,0.0,0.0,4.7,-0.0,0.0,0.3,0.1
2025-11-13,62400,34.3,-0.6,1.5,-0.8,-0.8,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
2025-11-14,60300,20.7,7.5,-6.0,-1.1,-1.1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.2,-0.2
2025-11-17,61400,22.1,2.9,-4.4,1.8,-0.7,0.2,0.1,0.0,0.0,2.2,0.0,0.0,-0.3,0.0
2025-11-18,59500,20.9,10.5,-9.4,-1.1,-1.1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-19,58300,22.1,10.0,-8.2,-1.8,1.1,-0.0,-0.7,0.0,0.0,-2.2,0.0,0.0,0.0,0.0
2025-11-20,59600,16.9,-4.9,4.9,0.0,1.8,-0.3,-0.6,0.0,0.0,-0.9,0.0,0.0,-0.1,0.0
2025-11-21,58200,18.3,11.0,-10.8,-0.2,-0.5,0.0,-0.0,-0.1,0.0,0.4,0.0,0.0,-0.0,0.0
2025-11-24,57200,16.3,11.5,-11.8,0.2,0.7,0.0,0.1,0.0,0.0,-0.6,0.0,0.0,0.1,0.0
2025-11-25,57300,9.3,3.3,-2.1,-1.3,-0.1,-0.0,-0.0,0.0,0.0,-1.1,-0.0,0.0,0.0,0.0
2025-11-26,58600,13.1,-4.5,3.8,0.5,0.5,0.0,0.1,0.0,0.0,-0.1,0.0,0.0,0.2,0.0
2025-11-27,59400,17.3,-6.4,6.1,0.2,-0.3,-0.0,-0.0,0.0,0.0,0.6,0.0,0.0,0.1,0.0
2025-11-28,59600,11.2,-1.8,0.3,1.5,0.8,-0.1,-0.1,0.0,0.0,0.8,0.0,0.0,-0.0,0.0
2025-12-01,59600,13.8,0.3,-0.6,0.4,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.0,-0.1,0.0
2025-12-02,59600,13.3,-1.1,1.3,-0.2,0.1,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,-0.1,0.0
2025-12-03,60600,20.5,-6.5,5.5,0.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.1
2025-12-04,60000,16.2,3.7,-3.1,-0.3,-0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-0.2,-0.0
2025-12-05,60800,19.9,-1.7,-0.0,1.7,1.7,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2025-12-08,62000,26.9,-3.4,4.5,-1.0,-0.8,-0.0,-0.0,0.0,0.0,-0.0,-0.1,0.0,-0.1,0.0
2025-12-09,61600,14.5,-0.0,0.8,-0.7,-0.4,-0.1,-0.0,0.0,0.0,-0.3,0.0,0.0,0.0,-0.1
2025-12-10,61000,17.8,-3.9,3.9,-0.1,0.6,-0.3,-0.2,0.0,0.0,-0.0,-0.1,0.0,0.0,0.0
2025-12-11,60700,96.4,11.9,47.7,-59.4,5.6,-11.5,-48.2,0.0,0.0,-2.8,-2.5,0.0,-0.2,0.0
2025-12-12,61500,23.3,-3.0,6.7,-3.7,1.2,-0.1,-3.5,0.0,0.0,-0.7,-0.6,0.0,0.0,0.0
2025-12-15,61500,18.9,-3.1,2.8,0.2,-0.1,-0.0,-0.1,0.0,0.0,0.5,0.0,0.0,0.0,-0.0
2025-12-16,60400,20.6,6.7,-6.6,-0.1,-0.5,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0
2025-12-17,60700,25.6,4.0,-2.4,-1.3,-0.7,0.0,-0.6,0.0,0.0,0.0,-0.0,0.0,-0.3,0.0
2025-12-18,59600,16.3,8.2,-7.6,-0.4,-0.6,0.0,0.0,0.0,0.0,0.1,-0.0,0.0,-0.2,-0.0
2025-12-19,60000,15.4,3.6,0.1,-3.6,0.1,0.0,0.1,0.0,0.0,-3.8,0.0,0.0,-0.1,-0.0
2025-12-22,62000,33.6,-15.9,15.0,0.9,-0.2,-0.0,0.2,0.0,0.0,0.9,-0.0,0.0,-0.1,0.1
2025-12-23,61800,21.6,-2.4,2.6,-0.3,-0.3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2025-12-24,62000,12.3,1.3,-0.8,-0.3,-0.5,0.0,-0.1,0.0,0.0,0.0,0.3,0.0,0.0,-0.1
2025-12-26,60400,22.0,11.3,-9.4,-0.3,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,-0.1
2025-12-29,59500,17.5,9.6,-9.3,-0.3,-0.2,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,-0.1,0.0
2025-12-30,59600,11.9,2.1,-1.0,-1.2,-0.1,-0.1,-0.3,0.0,0.0,-0.7,-0.0,0.0,0.0,0.0
