date,close,trde_prica,indiv,frgn,orgn,fin_invt,insur,invtrt,etc_fin,bank,pension,pe_fund,natn,etc_corp,natfor
2025-11-03,158400,377.1,-33.0,53.8,4.3,12.0,-1.1,-26.8,-10.1,0.0,0.4,29.9,0.0,-25.0,-0.1
2025-11-04,165000,458.4,-52.1,38.2,19.2,-13.0,1.1,15.5,-11.9,0.0,2.6,24.9,0.0,-5.3,0.1
2025-11-05,160900,307.9,15.9,-32.8,20.0,-0.9,-0.1,4.5,0.0,0.0,4.5,12.0,0.0,-3.5,0.4
2025-11-06,127900,1393.5,644.4,-257.8,-376.2,-15.6,-38.0,-73.8,-1.2,-0.1,-93.7,-153.8,0.0,-10.5,0.1
2025-11-07,121900,322.6,18.0,38.8,-45.6,-19.0,-0.5,-5.2,-0.3,0.0,-19.1,-1.4,0.0,-11.3,0.0
2025-11-10,121200,295.6,-10.6,29.9,-19.5,2.0,-0.0,2.5,0.0,0.0,-16.0,-8.0,0.0,0.3,-0.1
2025-11-11,122100,259.4,-41.4,39.3,2.3,8.5,-0.5,-1.2,0.0,0.0,-2.0,-2.4,0.0,-0.1,-0.1
2025-11-12,126300,248.8,-25.7,43.1,-16.2,5.3,-3.8,8.8,-2.2,0.0,-27.6,3.3,0.0,-1.3,0.2
2025-11-13,127800,116.2,-9.8,12.1,-4.2,0.3,-0.0,5.0,0.0,0.0,-11.5,2.0,0.0,1.9,0.0
2025-11-14,127900,135.2,-43.5,34.6,7.2,7.0,0.0,0.7,0.0,0.0,-2.0,1.4,0.0,1.4,0.3
2025-11-17,130000,117.7,-35.5,45.1,-7.8,3.6,-0.0,0.1,0.0,0.0,-12.2,0.7,0.0,-1.6,-0.2
2025-11-18,131000,103.7,-13.6,4.9,8.6,2.9,0.2,0.2,0.0,0.0,2.9,2.5,0.0,0.0,-0.0
2025-11-19,133300,168.3,-43.3,-4.7,47.1,2.2,-0.2,21.8,0.0,0.0,13.6,9.7,0.0,0.7,0.1
2025-11-20,133300,112.3,4.1,-2.9,-0.8,-1.4,-0.5,-0.1,-5.6,0.0,3.7,3.1,0.0,-0.4,-0.0
2025-11-21,131800,136.8,-35.5,40.8,-0.6,2.8,-0.0,2.9,-5.3,-0.1,0.0,-0.9,0.0,-4.9,0.2
2025-11-24,130100,177.1,13.3,72.7,-72.0,-13.4,-1.6,-14.4,-1.7,-0.1,-9.8,-30.8,0.0,-14.2,0.0
2025-11-25,130700,128.7,-25.1,59.2,-25.5,-6.5,0.5,-16.4,-0.3,0.0,-0.2,-2.6,0.0,-8.6,0.0
2025-11-26,129200,67.0,-9.6,24.0,-12.1,-2.4,-0.1,1.1,0.0,0.0,-9.2,-1.4,0.0,-2.4,0.0
2025-11-27,129300,112.8,-33.0,28.4,8.5,-1.6,2.2,1.4,-2.8,0.0,16.1,-6.7,0.0,-3.9,0.0
2025-11-28,135000,219.0,-47.3,27.6,26.4,-2.1,0.0,-1.3,-3.0,0.0,11.9,20.9,0.0,-6.8,0.1
2025-12-01,131200,164.7,6.2,-8.9,9.7,0.2,-0.1,-3.5,-0.2,0.0,23.2,-10.0,0.0,-7.0,-0.0
2025-12-02,131400,88.0,-7.7,3.5,5.4,0.8,-0.7,-6.8,0.0,0.0,19.3,-7.2,0.0,-1.4,0.2
2025-12-03,129700,83.6,14.9,-11.0,-5.4,0.3,0.6,-12.0,-4.5,0.0,13.3,-3.2,0.0,1.6,0.0
2025-12-04,130000,61.7,-0.1,-0.5,1.1,1.8,-0.9,-1.6,0.0,0.0,6.3,-4.5,0.0,-0.2,-0.3
2025-12-05,129500,82.2,13.7,-4.7,-10.7,0.2,-0.1,-7.6,-0.1,0.0,4.7,-7.8,0.0,1.6,0.0
2025-12-08,136100,246.0,-85.0,96.9,-6.7,-10.7,-0.2,-0.8,-0.9,-0.0,9.5,-3.5,0.0,-5.2,-0.0
2025-12-09,138200,170.2,-31.8,-16.9,48.8,4.5,1.2,5.4,-2.8,0.0,39.4,1.1,0.0,0.1,-0.1
2025-12-10,143500,261.6,-53.7,-16.0,66.4,-2.4,1.9,15.3,0.1,0.0,54.4,-2.9,0.0,3.6,-0.4
2025-12-11,149500,300.0,-134.2,50.9,87.4,-1.9,2.7,12.5,-20.4,0.0,92.6,1.9,0.0,-3.8,-0.3
2025-12-12,151000,223.6,-50.3,25.9,25.7,0.2,3.7,4.4,-5.3,0.0,25.9,-3.2,0.0,-1.1,-0.1
