date,close,volume,bm_close,bm_name
2024-03-04,5895.0,180324,2674.27,KOSPI
2024-03-05,6087.0,304343,2649.4,KOSPI
2024-03-06,6142.0,304621,2641.49,KOSPI
2024-03-07,5868.0,287691,2647.62,KOSPI
2024-03-08,6032.0,277118,2680.35,KOSPI
2024-03-11,6069.0,320332,2659.84,KOSPI
2024-03-12,5941.0,268607,2681.81,KOSPI
2024-03-13,5913.0,235640,2693.57,KOSPI
2024-03-14,5877.0,258322,2718.76,KOSPI
2024-03-15,5840.0,131551,2666.84,KOSPI
2024-03-18,5923.0,164066,2685.84,KOSPI
2024-03-19,5804.0,252347,2656.17,KOSPI
2024-03-20,5977.0,631553,2690.14,KOSPI
2024-03-21,5959.0,213209,2754.86,KOSPI
2024-03-22,6124.0,663048,2748.56,KOSPI
2024-03-25,6663.0,12651916,2737.57,KOSPI
2024-03-26,6535.0,2280904,2757.09,KOSPI
2024-03-27,6672.0,8096676,2755.11,KOSPI
2024-03-28,6480.0,4509292,2745.82,KOSPI
2024-03-29,6087.0,1517451,2746.63,KOSPI
2024-04-01,6133.0,592863,2747.86,KOSPI
2024-04-02,5904.0,574168,2753.16,KOSPI
2024-04-03,5868.0,328876,2706.97,KOSPI
2024-04-04,5804.0,266855,2742.0,KOSPI
2024-04-05,5676.0,331444,2714.21,KOSPI
2024-04-08,5511.0,375103,2717.65,KOSPI
2024-04-09,5511.0,163196,2705.16,KOSPI
2024-04-11,5456.0,358729,2706.96,KOSPI
2024-04-12,5548.0,161586,2681.82,KOSPI
2024-04-15,5548.0,184642,2670.43,KOSPI
2024-04-16,5438.0,181440,2609.63,KOSPI
2024-04-17,5484.0,917667,2584.18,KOSPI
2024-04-18,5566.0,163297,2634.7,KOSPI
2024-04-19,5475.0,129546,2591.86,KOSPI
2024-04-22,5630.0,161842,2629.44,KOSPI
2024-04-23,5603.0,149284,2623.02,KOSPI
2024-04-24,5657.0,115683,2675.75,KOSPI
2024-04-25,5621.0,77176,2628.62,KOSPI
2024-04-26,5621.0,77666,2656.33,KOSPI
2024-04-29,5667.0,103749,2687.44,KOSPI
2024-04-30,5813.0,233055,2692.06,KOSPI
2024-05-02,5831.0,120908,2683.65,KOSPI
2024-05-03,5804.0,108315,2676.63,KOSPI
2024-05-07,5822.0,102934,2734.36,KOSPI
2024-05-08,5977.0,252790,2745.05,KOSPI
2024-05-09,6142.0,721687,2712.14,KOSPI
2024-05-10,6032.0,202995,2727.63,KOSPI
2024-05-13,6105.0,216293,2727.21,KOSPI
2024-05-14,6105.0,165710,2730.34,KOSPI
2024-05-16,6142.0,194429,2753.0,KOSPI
2024-05-17,5987.0,284727,2724.62,KOSPI
2024-05-20,5968.0,149485,2742.14,KOSPI
2024-05-21,5950.0,120099,2724.18,KOSPI
2024-05-22,5429.0,1320776,2723.46,KOSPI
2024-05-23,5484.0,252551,2721.81,KOSPI
2024-05-24,5392.0,208087,2687.6,KOSPI
2024-05-27,5328.0,275203,2722.99,KOSPI
2024-05-28,5310.0,165696,2722.85,KOSPI
2024-05-29,5255.0,139149,2677.3,KOSPI
2024-05-30,5173.0,168375,2635.44,KOSPI
2024-05-31,5246.0,50020,2636.52,KOSPI
2024-06-03,5274.0,83232,2682.52,KOSPI
2024-06-04,5246.0,73139,2662.1,KOSPI
2024-06-05,5255.0,72724,2689.5,KOSPI
2024-06-07,5310.0,77388,2722.67,KOSPI
2024-06-10,5264.0,48114,2701.17,KOSPI
2024-06-11,5255.0,101485,2705.32,KOSPI
2024-06-12,5237.0,49703,2728.17,KOSPI
2024-06-13,5228.0,87885,2754.89,KOSPI
2024-06-14,5173.0,118935,2758.42,KOSPI
2024-06-17,5146.0,115768,2744.1,KOSPI
2024-06-18,5127.0,93950,2763.92,KOSPI
2024-06-19,5091.0,147872,2797.33,KOSPI
2024-06-20,5082.0,74105,2807.63,KOSPI
2024-06-21,4963.0,231975,2784.26,KOSPI
2024-06-24,4780.0,306580,2764.73,KOSPI
2024-06-25,4881.0,131788,2774.39,KOSPI
2024-06-26,4926.0,796054,2792.05,KOSPI
2024-06-27,4826.0,173807,2784.06,KOSPI
2024-06-28,4871.0,133904,2797.82,KOSPI
2024-07-01,4954.0,110717,2804.31,KOSPI
2024-07-02,4926.0,45110,2780.86,KOSPI
2024-07-03,4871.0,101887,2794.01,KOSPI
2024-07-04,4963.0,87164,2824.94,KOSPI
2024-07-05,4999.0,93847,2862.23,KOSPI
2024-07-08,4963.0,110168,2857.76,KOSPI
2024-07-09,5027.0,131454,2867.38,KOSPI
2024-07-10,5063.0,125867,2867.99,KOSPI
2024-07-11,4926.0,162200,2891.35,KOSPI
2024-07-12,4981.0,165694,2857.0,KOSPI
2024-07-15,5009.0,71926,2860.92,KOSPI
2024-07-16,4945.0,105709,2866.09,KOSPI
2024-07-17,4990.0,178789,2843.29,KOSPI
2024-07-18,4890.0,132294,2824.35,KOSPI
2024-07-19,4753.0,253125,2795.46,KOSPI
2024-07-22,4707.0,119304,2763.51,KOSPI
2024-07-23,4716.0,105723,2774.29,KOSPI
2024-07-24,4835.0,167542,2758.71,KOSPI
2024-07-25,4771.0,120123,2710.65,KOSPI
2024-07-26,4780.0,87066,2731.9,KOSPI
2024-07-29,4807.0,95085,2765.53,KOSPI
2024-07-30,4890.0,325615,2738.19,KOSPI
2024-07-31,4871.0,98939,2770.69,KOSPI
2024-08-01,4990.0,1463063,2777.68,KOSPI
2024-08-02,4817.0,262949,2676.19,KOSPI
2024-08-05,4277.0,558769,2441.55,KOSPI
2024-08-06,4510.0,465949,2522.15,KOSPI
2024-08-07,4707.0,201306,2568.41,KOSPI
2024-08-08,4862.0,1609154,2556.73,KOSPI
2024-08-09,4908.0,343133,2588.43,KOSPI
2024-08-12,5009.0,495876,2618.3,KOSPI
2024-08-13,4881.0,123932,2621.5,KOSPI
2024-08-14,4917.0,151540,2644.5,KOSPI
2024-08-16,4972.0,197996,2697.23,KOSPI
2024-08-19,5063.0,299793,2674.36,KOSPI
2024-08-20,5036.0,233665,2696.63,KOSPI
2024-08-21,4963.0,196275,2701.13,KOSPI
2024-08-22,4844.0,169283,2707.67,KOSPI
2024-08-23,4780.0,151731,2701.69,KOSPI
2024-08-26,4817.0,133821,2698.01,KOSPI
2024-08-27,4789.0,99130,2689.25,KOSPI
2024-08-28,4734.0,56980,2689.83,KOSPI
2024-08-29,4615.0,212843,2662.28,KOSPI
2024-08-30,4734.0,93695,2674.31,KOSPI
2024-09-02,4679.0,117205,2681.0,KOSPI
2024-09-03,4625.0,66723,2664.63,KOSPI
2024-09-04,4474.0,176514,2580.8,KOSPI
2024-09-05,4387.0,185893,2575.5,KOSPI
2024-09-06,4282.0,163630,2544.28,KOSPI
2024-09-09,4355.0,75196,2535.93,KOSPI
2024-09-10,4378.0,58868,2523.43,KOSPI
2024-09-11,4387.0,78773,2513.37,KOSPI
2024-09-12,4725.0,432889,2572.09,KOSPI
2024-09-13,4588.0,90088,2575.41,KOSPI
2024-09-19,4588.0,85583,2580.8,KOSPI
2024-09-20,4579.0,93289,2593.37,KOSPI
2024-09-23,4835.0,6997222,2602.01,KOSPI
2024-09-24,4743.0,754874,2631.68,KOSPI
2024-09-25,4615.0,409648,2596.32,KOSPI
2024-09-26,4743.0,204427,2671.57,KOSPI
2024-09-27,4707.0,146903,2649.78,KOSPI
2024-09-30,4634.0,151616,2593.27,KOSPI
2024-10-02,4579.0,103656,2561.69,KOSPI
2024-10-04,4597.0,69720,2569.71,KOSPI
2024-10-07,4597.0,73135,2610.38,KOSPI
2024-10-08,4625.0,73806,2594.36,KOSPI
2024-10-10,4597.0,84015,2599.16,KOSPI
2024-10-11,4597.0,57903,2596.91,KOSPI
2024-10-14,4597.0,95104,2623.29,KOSPI
2024-10-15,4579.0,114653,2633.45,KOSPI
2024-10-16,4606.0,68960,2610.36,KOSPI
2024-10-17,4634.0,181466,2609.3,KOSPI
2024-10-18,4661.0,131092,2593.82,KOSPI
2024-10-21,4707.0,146846,2604.92,KOSPI
2024-10-22,4597.0,335267,2570.7,KOSPI
2024-10-23,4652.0,257115,2599.62,KOSPI
2024-10-24,4506.0,238251,2581.03,KOSPI
2024-10-25,4410.0,190892,2583.27,KOSPI
2024-10-28,4474.0,103077,2612.43,KOSPI
2024-10-29,4474.0,104074,2617.8,KOSPI
2024-10-30,4465.0,105327,2593.79,KOSPI
2024-10-31,4446.0,78616,2556.15,KOSPI
2024-11-01,4410.0,64185,2542.36,KOSPI
2024-11-04,4515.0,116975,2588.97,KOSPI
2024-11-05,4524.0,59200,2576.88,KOSPI
2024-11-06,4506.0,116298,2563.51,KOSPI
2024-11-07,4428.0,116932,2564.63,KOSPI
2024-11-08,4405.0,131613,2561.15,KOSPI
2024-11-11,4282.0,174877,2531.66,KOSPI
2024-11-12,4131.0,214168,2482.57,KOSPI
2024-11-13,3985.0,251959,2417.08,KOSPI
2024-11-14,3962.0,162732,2418.86,KOSPI
2024-11-15,3994.0,152375,2416.86,KOSPI
2024-11-18,4067.0,120363,2469.07,KOSPI
2024-11-19,4113.0,83198,2471.95,KOSPI
2024-11-20,4113.0,128728,2482.29,KOSPI
2024-11-21,4186.0,113036,2480.63,KOSPI
2024-11-22,4168.0,70011,2501.24,KOSPI
2024-11-25,4200.0,86277,2534.34,KOSPI
2024-11-26,4245.0,68818,2520.36,KOSPI
2024-11-27,4442.0,6826672,2503.06,KOSPI
2024-11-28,4442.0,701524,2504.67,KOSPI
2024-11-29,4296.0,309206,2455.91,KOSPI
2024-12-02,4200.0,269638,2454.48,KOSPI
2024-12-03,4286.0,142527,2500.1,KOSPI
2024-12-04,4222.0,190288,2464.0,KOSPI
2024-12-05,4122.0,161691,2441.85,KOSPI
