date,close,volume,bm_close,bm_name
2020-08-06,59800.0,1665799,854.12,KOSDAQ
2020-08-07,75000.0,5624097,857.63,KOSDAQ
2020-08-10,66900.0,1207030,862.76,KOSDAQ
2020-08-11,64300.0,484444,860.23,KOSDAQ
2020-08-12,61400.0,927751,845.6,KOSDAQ
2020-08-13,61500.0,294493,854.77,KOSDAQ
2020-08-14,57900.0,349744,835.03,KOSDAQ
2020-08-18,51700.0,359395,800.22,KOSDAQ
2020-08-19,48750.0,648565,818.74,KOSDAQ
2020-08-20,46150.0,428259,791.14,KOSDAQ
2020-08-21,46000.0,348883,796.01,KOSDAQ
2020-08-24,46650.0,194440,815.74,KOSDAQ
2020-08-25,49950.0,390456,836.31,KOSDAQ
2020-08-26,48650.0,285627,841.35,KOSDAQ
2020-08-27,46600.0,254524,836.4,KOSDAQ
2020-08-28,46450.0,189454,841.3,KOSDAQ
2020-08-31,46500.0,122411,848.24,KOSDAQ
2020-09-01,47800.0,140840,853.37,KOSDAQ
2020-09-02,47400.0,126518,866.74,KOSDAQ
2020-09-03,51400.0,692515,874.13,KOSDAQ
2020-09-04,50100.0,242753,866.04,KOSDAQ
2020-09-07,50800.0,194783,878.88,KOSDAQ
2020-09-08,49350.0,177876,878.29,KOSDAQ
2020-09-09,47700.0,177077,869.47,KOSDAQ
2020-09-10,48200.0,93300,884.3,KOSDAQ
2020-09-11,48150.0,112290,888.44,KOSDAQ
2020-09-14,48450.0,104801,894.17,KOSDAQ
2020-09-15,50000.0,383696,899.46,KOSDAQ
2020-09-16,49250.0,171262,896.28,KOSDAQ
2020-09-17,49100.0,162045,885.18,KOSDAQ
2020-09-18,49500.0,92433,888.88,KOSDAQ
2020-09-21,47850.0,119617,866.99,KOSDAQ
2020-09-22,46050.0,125650,842.72,KOSDAQ
2020-09-23,44550.0,138287,843.45,KOSDAQ
2020-09-24,42450.0,120643,806.95,KOSDAQ
2020-09-25,42800.0,58768,808.28,KOSDAQ
2020-09-28,45150.0,67168,835.91,KOSDAQ
2020-09-29,45650.0,55620,848.15,KOSDAQ
2020-10-05,45950.0,45495,858.39,KOSDAQ
2020-10-06,45650.0,48044,862.58,KOSDAQ
2020-10-07,46400.0,61781,869.66,KOSDAQ
2020-10-08,44050.0,220144,871.62,KOSDAQ
2020-10-12,44500.0,62400,873.5,KOSDAQ
2020-10-13,43550.0,96923,871.92,KOSDAQ
2020-10-14,43050.0,79434,861.48,KOSDAQ
2020-10-15,42300.0,87330,844.44,KOSDAQ
2020-10-16,42800.0,70814,833.84,KOSDAQ
2020-10-19,43000.0,55725,822.25,KOSDAQ
2020-10-20,43650.0,55256,824.65,KOSDAQ
2020-10-21,44400.0,64074,830.67,KOSDAQ
2020-10-22,43300.0,38885,812.7,KOSDAQ
2020-10-23,43200.0,38563,807.98,KOSDAQ
2020-10-26,42050.0,61426,778.02,KOSDAQ
2020-10-27,42850.0,81009,783.73,KOSDAQ
2020-10-28,44100.0,68299,806.2,KOSDAQ
2020-10-29,44850.0,75928,813.93,KOSDAQ
2020-10-30,42800.0,56187,792.65,KOSDAQ
2020-11-02,43200.0,26251,802.95,KOSDAQ
2020-11-03,44000.0,40952,818.46,KOSDAQ
2020-11-04,44700.0,65627,826.97,KOSDAQ
2020-11-05,44750.0,45229,844.8,KOSDAQ
2020-11-06,44850.0,51403,836.78,KOSDAQ
2020-11-09,44600.0,53773,851.21,KOSDAQ
2020-11-10,43300.0,100955,840.79,KOSDAQ
2020-11-11,42900.0,51369,839.9,KOSDAQ
2020-11-12,42750.0,36373,840.08,KOSDAQ
2020-11-13,43350.0,39461,839.14,KOSDAQ
2020-11-16,44150.0,78397,847.33,KOSDAQ
2020-11-17,43800.0,50835,839.47,KOSDAQ
2020-11-18,43450.0,44776,851.74,KOSDAQ
2020-11-19,43850.0,60492,859.94,KOSDAQ
2020-11-20,44350.0,52003,870.18,KOSDAQ
2020-11-23,44100.0,42438,873.29,KOSDAQ
2020-11-24,43550.0,53662,872.1,KOSDAQ
2020-11-25,43000.0,71241,865.12,KOSDAQ
2020-11-26,42800.0,44542,874.53,KOSDAQ
2020-11-27,43450.0,41948,885.56,KOSDAQ
2020-11-30,43100.0,41097,886.11,KOSDAQ
2020-12-01,43000.0,43990,891.29,KOSDAQ
2020-12-02,42800.0,49128,899.34,KOSDAQ
2020-12-03,42750.0,41091,907.61,KOSDAQ
2020-12-04,42400.0,64723,913.76,KOSDAQ
2020-12-07,42250.0,47061,926.88,KOSDAQ
2020-12-08,41850.0,57498,906.84,KOSDAQ
2020-12-09,42400.0,54214,913.81,KOSDAQ
2020-12-10,42200.0,50009,921.7,KOSDAQ
2020-12-11,43700.0,69043,928.44,KOSDAQ
2020-12-14,42700.0,49355,929.54,KOSDAQ
