date,close,volume,bm_close,bm_name
2024-01-02,14154.0,390896,878.93,KOSDAQ
2024-01-03,13960.0,187100,871.57,KOSDAQ
2024-01-04,12716.0,758586,866.25,KOSDAQ
2024-01-05,12707.0,242369,878.33,KOSDAQ
2024-01-08,12596.0,224580,879.34,KOSDAQ
2024-01-09,12818.0,126843,884.64,KOSDAQ
2024-01-10,12495.0,138737,875.46,KOSDAQ
2024-01-11,12532.0,163888,882.53,KOSDAQ
2024-01-12,12301.0,128162,868.08,KOSDAQ
2024-01-15,12071.0,149849,859.71,KOSDAQ
2024-01-16,12117.0,151429,854.83,KOSDAQ
2024-01-17,12320.0,249961,833.05,KOSDAQ
2024-01-18,12707.0,357316,840.33,KOSDAQ
2024-01-19,12431.0,198830,842.67,KOSDAQ
2024-01-22,12541.0,118433,839.69,KOSDAQ
2024-01-23,12993.0,2055004,840.11,KOSDAQ
2024-01-24,12560.0,335096,836.21,KOSDAQ
2024-01-25,13158.0,570713,823.74,KOSDAQ
2024-01-26,13923.0,2061320,837.24,KOSDAQ
2024-01-29,15269.0,10064274,819.14,KOSDAQ
2024-01-30,16494.0,3371856,818.86,KOSDAQ
2024-01-31,16872.0,3038800,799.24,KOSDAQ
2024-02-01,16310.0,1577282,798.73,KOSDAQ
2024-02-02,17646.0,2688588,814.77,KOSDAQ
2024-02-05,19581.0,5525105,807.99,KOSDAQ
2024-02-06,20134.0,2347843,807.03,KOSDAQ
2024-02-07,19858.0,1866932,811.92,KOSDAQ
2024-02-08,19167.0,1087135,826.58,KOSDAQ
2024-02-13,18890.0,770546,845.15,KOSDAQ
2024-02-14,17895.0,769494,853.3,KOSDAQ
2024-02-15,16817.0,1053497,859.21,KOSDAQ
2024-02-16,16725.0,692097,857.6,KOSDAQ
2024-02-19,17941.0,1563539,858.47,KOSDAQ
2024-02-20,17849.0,865529,866.17,KOSDAQ
2024-02-21,17692.0,863655,864.07,KOSDAQ
2024-02-22,17259.0,377549,870.11,KOSDAQ
2024-02-23,17056.0,479498,868.57,KOSDAQ
2024-02-26,16660.0,377758,867.4,KOSDAQ
2024-02-27,16402.0,409445,853.75,KOSDAQ
2024-02-28,16596.0,252554,863.39,KOSDAQ
2024-02-29,16762.0,280225,862.96,KOSDAQ
2024-03-04,19351.0,2118040,872.97,KOSDAQ
2024-03-05,18429.0,739109,866.37,KOSDAQ
2024-03-06,19535.0,920051,870.67,KOSDAQ
