date,close,volume,bm_close,bm_name
2024-01-02,70404.0,2568918,878.93,KOSDAQ
2024-01-03,69635.0,1793017,871.57,KOSDAQ
2024-01-04,68096.0,1329266,866.25,KOSDAQ
2024-01-05,68865.0,1380632,878.33,KOSDAQ
2024-01-08,67173.0,1018546,879.34,KOSDAQ
2024-01-09,71559.0,1639140,884.64,KOSDAQ
2024-01-10,74867.0,1741175,875.46,KOSDAQ
2024-01-11,72097.0,1117607,882.53,KOSDAQ
2024-01-12,72944.0,867038,868.08,KOSDAQ
2024-01-15,68712.0,1487608,859.71,KOSDAQ
2024-01-16,69558.0,1158825,854.83,KOSDAQ
2024-01-17,67557.0,931059,833.05,KOSDAQ
2024-01-18,63864.0,1575520,840.33,KOSDAQ
2024-01-19,58170.0,3155610,842.67,KOSDAQ
2024-01-22,58863.0,1122430,839.69,KOSDAQ
2024-01-23,58478.0,1151126,840.11,KOSDAQ
2024-01-24,55785.0,1075399,836.21,KOSDAQ
2024-01-25,56631.0,674921,823.74,KOSDAQ
2024-01-26,58940.0,1073233,837.24,KOSDAQ
2024-01-29,57324.0,1229242,819.14,KOSDAQ
2024-01-30,62171.0,1736152,818.86,KOSDAQ
2024-01-31,59478.0,1125224,799.24,KOSDAQ
2024-02-01,54938.0,2133570,798.73,KOSDAQ
2024-02-02,58786.0,1063629,814.77,KOSDAQ
2024-02-05,58401.0,1037446,807.99,KOSDAQ
2024-02-06,59478.0,663132,807.03,KOSDAQ
2024-02-07,59017.0,660256,811.92,KOSDAQ
2024-02-08,59093.0,781807,826.58,KOSDAQ
2024-02-13,66634.0,2309021,845.15,KOSDAQ
2024-02-14,66942.0,1847693,853.3,KOSDAQ
2024-02-15,67327.0,1604585,859.21,KOSDAQ
2024-02-16,69789.0,1665034,857.6,KOSDAQ
2024-02-19,68789.0,916224,858.47,KOSDAQ
2024-02-20,67019.0,854901,866.17,KOSDAQ
2024-02-21,72251.0,2708697,864.07,KOSDAQ
2024-02-22,80792.0,7770156,870.11,KOSDAQ
2024-02-23,100952.0,12163289,868.57,KOSDAQ
2024-02-26,120496.0,10771000,867.4,KOSDAQ
2024-02-27,121188.0,5157844,853.75,KOSDAQ
2024-02-28,126574.0,2809587,863.39,KOSDAQ
2024-02-29,123574.0,3076226,862.96,KOSDAQ
2024-03-04,128652.0,1956243,872.97,KOSDAQ
2024-03-05,147888.0,4298535,866.37,KOSDAQ
2024-03-06,149427.0,1964025,870.67,KOSDAQ
2024-03-07,141887.0,2108110,863.37,KOSDAQ
2024-03-08,146811.0,2042193,873.18,KOSDAQ
2024-03-11,138501.0,1336658,875.93,KOSDAQ
2024-03-12,148889.0,1969414,889.71,KOSDAQ
2024-03-13,154659.0,2409578,889.93,KOSDAQ
2024-03-14,158891.0,1378169,887.52,KOSDAQ
2024-03-15,157353.0,1238825,880.46,KOSDAQ
2024-03-18,155429.0,3463113,894.48,KOSDAQ
2024-03-19,160815.0,1794183,891.91,KOSDAQ
2024-03-20,150889.0,1246846,891.45,KOSDAQ
2024-03-21,151428.0,1706867,904.29,KOSDAQ
2024-03-22,156968.0,2094577,903.98,KOSDAQ
2024-03-25,164278.0,1552715,913.69,KOSDAQ
2024-03-26,168894.0,2163486,916.09,KOSDAQ
2024-03-27,150504.0,9393852,911.25,KOSDAQ
2024-03-28,159661.0,3049855,910.05,KOSDAQ
2024-03-29,151889.0,1749837,905.5,KOSDAQ
2024-04-01,143348.0,2573862,912.45,KOSDAQ
2024-04-02,130806.0,4237267,891.59,KOSDAQ
2024-04-03,131268.0,2950737,879.96,KOSDAQ
2024-04-04,128113.0,1869825,882.9,KOSDAQ
2024-04-05,123881.0,2352476,872.29,KOSDAQ
2024-04-08,124882.0,1615639,860.57,KOSDAQ
2024-04-09,133269.0,2919457,859.33,KOSDAQ
2024-04-11,133500.0,1457769,858.1,KOSDAQ
2024-04-12,137501.0,1950542,860.47,KOSDAQ
2024-04-15,131807.0,1172377,852.42,KOSDAQ
2024-04-16,129498.0,1282634,832.81,KOSDAQ
2024-04-17,123727.0,1495377,833.03,KOSDAQ
2024-04-18,135577.0,1667020,855.65,KOSDAQ
2024-04-19,129575.0,1810574,841.91,KOSDAQ
2024-04-22,127959.0,1648435,845.82,KOSDAQ
2024-04-23,133807.0,1472826,845.44,KOSDAQ
2024-04-24,137193.0,1557884,862.23,KOSDAQ
2024-04-25,133653.0,882136,853.26,KOSDAQ
2024-04-26,133653.0,3764371,856.82,KOSDAQ
2024-04-29,135808.0,1310164,869.72,KOSDAQ
2024-04-30,136116.0,1308286,868.93,KOSDAQ
2024-05-02,139117.0,1106096,867.48,KOSDAQ
2024-05-03,136346.0,1249376,865.59,KOSDAQ
2024-05-07,136423.0,1107821,871.26,KOSDAQ
2024-05-08,133961.0,1335929,872.42,KOSDAQ
2024-05-09,130729.0,793375,870.15,KOSDAQ
2024-05-10,130960.0,707470,864.16,KOSDAQ
2024-05-13,126497.0,1688239,854.43,KOSDAQ
2024-05-14,134269.0,1757640,862.15,KOSDAQ
2024-05-16,136962.0,2488125,870.37,KOSDAQ
2024-05-17,145888.0,4156217,855.06,KOSDAQ
2024-05-20,146195.0,1585467,847.08,KOSDAQ
2024-05-21,145734.0,864274,846.51,KOSDAQ
2024-05-22,147965.0,2609948,845.72,KOSDAQ
2024-05-23,143041.0,1227647,846.58,KOSDAQ
2024-05-24,148581.0,1563037,839.41,KOSDAQ
2024-05-27,146042.0,1019591,847.99,KOSDAQ
2024-05-28,143118.0,1003876,851.01,KOSDAQ
2024-05-29,140117.0,840218,838.45,KOSDAQ
2024-05-30,138501.0,1152128,831.99,KOSDAQ
2024-05-31,143041.0,6591392,839.98,KOSDAQ
2024-06-03,153121.0,1909577,844.72,KOSDAQ
2024-06-04,179667.0,6227583,845.84,KOSDAQ
2024-06-05,183129.0,2711945,850.75,KOSDAQ
2024-06-07,206982.0,3714255,866.18,KOSDAQ
2024-06-10,194671.0,2257307,864.71,KOSDAQ
2024-06-11,218139.0,3862788,868.36,KOSDAQ
2024-06-12,212368.0,1798115,870.67,KOSDAQ
