date,close,volume,bm_close,bm_name
2024-01-02,2670.0,36224,878.93,KOSDAQ
2024-01-03,2700.0,20778,871.57,KOSDAQ
2024-01-04,2670.0,9792,866.25,KOSDAQ
2024-01-05,2690.0,66475,878.33,KOSDAQ
2024-01-08,2945.0,223166,879.34,KOSDAQ
2024-01-09,3025.0,320215,884.64,KOSDAQ
2024-01-10,2960.0,77153,875.46,KOSDAQ
2024-01-11,3015.0,36228,882.53,KOSDAQ
2024-01-12,2980.0,63812,868.08,KOSDAQ
2024-01-15,2945.0,19630,859.71,KOSDAQ
2024-01-16,3220.0,4980213,854.83,KOSDAQ
2024-01-17,3005.0,371186,833.05,KOSDAQ
2024-01-18,2925.0,133407,840.33,KOSDAQ
2024-01-19,2925.0,57284,842.67,KOSDAQ
2024-01-22,2895.0,46284,839.69,KOSDAQ
2024-01-23,2950.0,73885,840.11,KOSDAQ
2024-01-24,2890.0,18504,836.21,KOSDAQ
2024-01-25,2820.0,55319,823.74,KOSDAQ
2024-01-26,2860.0,12840,837.24,KOSDAQ
2024-01-29,2860.0,41697,819.14,KOSDAQ
2024-01-30,2820.0,25851,818.86,KOSDAQ
2024-01-31,2740.0,24880,799.24,KOSDAQ
2024-02-01,2780.0,31058,798.73,KOSDAQ
2024-02-02,2800.0,6296,814.77,KOSDAQ
2024-02-05,2740.0,13216,807.99,KOSDAQ
2024-02-06,2775.0,29031,807.03,KOSDAQ
2024-02-07,2705.0,12095,811.92,KOSDAQ
2024-02-08,2670.0,16921,826.58,KOSDAQ
2024-02-13,2545.0,110545,845.15,KOSDAQ
2024-02-14,2595.0,9831,853.3,KOSDAQ
2024-02-15,2670.0,28430,859.21,KOSDAQ
2024-02-16,2620.0,28266,857.6,KOSDAQ
2024-02-19,2615.0,15641,858.47,KOSDAQ
2024-02-20,2655.0,1203147,866.17,KOSDAQ
2024-02-21,2685.0,56012,864.07,KOSDAQ
2024-02-22,2620.0,42867,870.11,KOSDAQ
2024-02-23,2600.0,58304,868.57,KOSDAQ
2024-02-26,2530.0,48386,867.4,KOSDAQ
2024-02-27,2480.0,28601,853.75,KOSDAQ
2024-02-28,2505.0,29673,863.39,KOSDAQ
2024-02-29,2460.0,13750,862.96,KOSDAQ
2024-03-04,2430.0,16855,872.97,KOSDAQ
2024-03-05,2390.0,49138,866.37,KOSDAQ
2024-03-06,2385.0,5642,870.67,KOSDAQ
2024-03-07,2360.0,15438,863.37,KOSDAQ
2024-03-08,2445.0,11428,873.18,KOSDAQ
2024-03-11,2475.0,6075,875.93,KOSDAQ
2024-03-12,2470.0,11617,889.71,KOSDAQ
2024-03-13,2525.0,36928,889.93,KOSDAQ
2024-03-14,2550.0,16250,887.52,KOSDAQ
2024-03-15,2495.0,6060,880.46,KOSDAQ
2024-03-18,2495.0,7609,894.48,KOSDAQ
2024-03-19,2495.0,6197,891.91,KOSDAQ
2024-03-20,2460.0,11206,891.45,KOSDAQ
2024-03-21,2420.0,9776,904.29,KOSDAQ
2024-03-22,2400.0,16527,903.98,KOSDAQ
2024-03-25,2320.0,30792,913.69,KOSDAQ
2024-03-26,2325.0,39682,916.09,KOSDAQ
2024-03-27,2325.0,11727,911.25,KOSDAQ
2024-03-28,2355.0,10194,910.05,KOSDAQ
2024-03-29,2380.0,5843,905.5,KOSDAQ
2024-04-01,2385.0,7016,912.45,KOSDAQ
2024-04-02,2380.0,10077,891.59,KOSDAQ
2024-04-03,2255.0,50009,879.96,KOSDAQ
2024-04-04,2235.0,22371,882.9,KOSDAQ
2024-04-05,2200.0,14696,872.29,KOSDAQ
2024-04-08,2175.0,32944,860.57,KOSDAQ
2024-04-09,2165.0,14184,859.33,KOSDAQ
2024-04-11,2160.0,14641,858.1,KOSDAQ
2024-04-12,2460.0,4943271,860.47,KOSDAQ
2024-04-15,2385.0,900580,852.42,KOSDAQ
2024-04-16,2250.0,179018,832.81,KOSDAQ
2024-04-17,2160.0,152963,833.03,KOSDAQ
2024-04-18,2210.0,46364,855.65,KOSDAQ
2024-04-19,2160.0,48558,841.91,KOSDAQ
2024-04-22,2080.0,67267,845.82,KOSDAQ
2024-04-23,2085.0,12483,845.44,KOSDAQ
2024-04-24,2105.0,22933,862.23,KOSDAQ
2024-04-25,2125.0,15899,853.26,KOSDAQ
2024-04-26,2135.0,20187,856.82,KOSDAQ
2024-04-29,2150.0,12958,869.72,KOSDAQ
2024-04-30,2150.0,14152,868.93,KOSDAQ
2024-05-02,2090.0,34925,867.48,KOSDAQ
2024-05-03,2075.0,22010,865.59,KOSDAQ
2024-05-07,2070.0,35397,871.26,KOSDAQ
2024-05-08,2040.0,67180,872.42,KOSDAQ
2024-05-09,1983.0,65569,870.15,KOSDAQ
2024-05-10,1938.0,83487,864.16,KOSDAQ
2024-05-13,1907.0,39120,854.43,KOSDAQ
2024-05-14,1915.0,30374,862.15,KOSDAQ
2024-05-16,1914.0,37635,870.37,KOSDAQ
2024-05-17,1914.0,35730,855.06,KOSDAQ
2024-05-20,1890.0,45161,847.08,KOSDAQ
2024-05-21,1843.0,43766,846.51,KOSDAQ
2024-05-22,1848.0,21883,845.72,KOSDAQ
2024-05-23,1962.0,67414,846.58,KOSDAQ
2024-05-24,1980.0,16266,839.41,KOSDAQ
2024-05-27,1963.0,33775,847.99,KOSDAQ
2024-05-28,1870.0,84854,851.01,KOSDAQ
2024-05-29,1819.0,36444,838.45,KOSDAQ
2024-05-30,1803.0,22912,831.99,KOSDAQ
2024-05-31,1832.0,18852,839.98,KOSDAQ
2024-06-03,1888.0,23484,844.72,KOSDAQ
2024-06-04,1848.0,21909,845.84,KOSDAQ
2024-06-05,1819.0,7799,850.75,KOSDAQ
2024-06-07,1779.0,19662,866.18,KOSDAQ
2024-06-10,1784.0,13998,864.71,KOSDAQ
2024-06-11,1754.0,12893,868.36,KOSDAQ
2024-06-12,1764.0,13334,870.67,KOSDAQ
2024-06-13,1753.0,12791,871.33,KOSDAQ
2024-06-14,1759.0,8698,862.19,KOSDAQ
2024-06-17,1678.0,28952,858.96,KOSDAQ
2024-06-18,1662.0,19337,858.95,KOSDAQ
2024-06-19,1534.0,93102,861.17,KOSDAQ
2024-06-20,1651.0,1305301,857.51,KOSDAQ
2024-06-21,1574.0,110464,852.67,KOSDAQ
2024-06-24,1566.0,29937,841.52,KOSDAQ
2024-06-25,1545.0,10573,841.99,KOSDAQ
2024-06-26,1593.0,14340,842.12,KOSDAQ
2024-06-27,1599.0,5357,838.65,KOSDAQ
2024-06-28,1599.0,12641,840.44,KOSDAQ
2024-07-01,1673.0,19376,847.15,KOSDAQ
2024-07-02,1809.0,2437771,829.91,KOSDAQ
2024-07-03,1749.0,157989,836.1,KOSDAQ
2024-07-04,1675.0,90912,840.81,KOSDAQ
2024-07-05,1799.0,2059722,847.49,KOSDAQ
2024-07-08,1937.0,231795,859.27,KOSDAQ
2024-07-09,1864.0,92612,860.42,KOSDAQ
2024-07-10,1921.0,54327,858.55,KOSDAQ
2024-07-11,1867.0,47236,852.42,KOSDAQ
2024-07-12,1878.0,27793,850.37,KOSDAQ
2024-07-15,1876.0,39512,852.88,KOSDAQ
2024-07-16,1850.0,16768,839.61,KOSDAQ
2024-07-17,1761.0,47404,829.41,KOSDAQ
2024-07-18,1695.0,40143,822.48,KOSDAQ
2024-07-19,1714.0,14071,828.72,KOSDAQ
