date,close,volume,bm_close,bm_name
2024-01-02,80900.0,183163,2669.81,KOSPI
2024-01-03,81100.0,236602,2607.31,KOSPI
2024-01-04,83600.0,244261,2587.02,KOSPI
2024-01-05,85200.0,415226,2578.08,KOSPI
2024-01-08,81900.0,170350,2567.82,KOSPI
2024-01-09,83600.0,126753,2561.24,KOSPI
2024-01-10,83000.0,183651,2541.98,KOSPI
2024-01-11,82800.0,207375,2540.27,KOSPI
2024-01-12,82000.0,121065,2525.05,KOSPI
2024-01-15,80100.0,124273,2525.99,KOSPI
2024-01-16,80200.0,122802,2497.59,KOSPI
2024-01-17,75000.0,268881,2435.9,KOSPI
2024-01-18,74400.0,199349,2440.04,KOSPI
2024-01-19,75000.0,212325,2472.74,KOSPI
2024-01-22,72100.0,274012,2464.35,KOSPI
2024-01-23,73200.0,144779,2478.61,KOSPI
2024-01-24,77400.0,236104,2469.69,KOSPI
2024-01-25,78900.0,179011,2470.34,KOSPI
2024-01-26,78000.0,141616,2478.56,KOSPI
2024-01-29,76300.0,143080,2500.65,KOSPI
2024-01-30,74500.0,145086,2498.81,KOSPI
2024-01-31,74200.0,109192,2497.09,KOSPI
2024-02-01,74800.0,118841,2542.46,KOSPI
2024-02-02,76000.0,424939,2615.31,KOSPI
2024-02-05,67800.0,854006,2591.31,KOSPI
2024-02-06,65500.0,383044,2576.2,KOSPI
2024-02-07,67000.0,268480,2609.58,KOSPI
2024-02-08,67000.0,294971,2620.32,KOSPI
2024-02-13,67100.0,177593,2649.64,KOSPI
2024-02-14,67600.0,167863,2620.42,KOSPI
2024-02-15,68700.0,173985,2613.8,KOSPI
2024-02-16,69700.0,278820,2648.76,KOSPI
2024-02-19,70000.0,140342,2680.26,KOSPI
2024-02-20,70900.0,157487,2657.79,KOSPI
2024-02-21,71700.0,233141,2653.31,KOSPI
2024-02-22,71600.0,146590,2664.27,KOSPI
2024-02-23,71100.0,116767,2667.7,KOSPI
2024-02-26,71400.0,102464,2647.08,KOSPI
2024-02-27,70800.0,100980,2625.05,KOSPI
2024-02-28,71600.0,101756,2652.29,KOSPI
2024-02-29,73300.0,397420,2642.36,KOSPI
2024-03-04,72000.0,135826,2674.27,KOSPI
2024-03-05,71800.0,148758,2649.4,KOSPI
2024-03-06,70900.0,134997,2641.49,KOSPI
2024-03-07,71700.0,119170,2647.62,KOSPI
2024-03-08,71200.0,150686,2680.35,KOSPI
2024-03-11,71200.0,80623,2659.84,KOSPI
2024-03-12,74600.0,288978,2681.81,KOSPI
2024-03-13,75200.0,142169,2693.57,KOSPI
2024-03-14,75000.0,183232,2718.76,KOSPI
2024-03-15,72600.0,178072,2666.84,KOSPI
2024-03-18,75600.0,199957,2685.84,KOSPI
2024-03-19,76800.0,189724,2656.17,KOSPI
2024-03-20,74900.0,148430,2690.14,KOSPI
2024-03-21,75800.0,110830,2754.86,KOSPI
2024-03-22,74700.0,82144,2748.56,KOSPI
